"Plot Title: 20568277"
"#","Date Time, GMT-08:00","DO conc, mg/L (LGR S/N: 20568277, SEN S/N: 20568277)","Temp, °C (LGR S/N: 20568277, SEN S/N: 20568277)","Coupler Attached (LGR S/N: 20568277)","Host Connected (LGR S/N: 20568277)","Stopped (LGR S/N: 20568277)","End Of File (LGR S/N: 20568277)"
98,01/25/20 01:15:00 PM,11.46,13.10,,,,
99,01/25/20 01:30:00 PM,11.61,13.18,,,,
100,01/25/20 01:45:00 PM,11.84,13.24,,,,
101,01/25/20 02:00:00 PM,11.97,13.32,,,,
102,01/25/20 02:15:00 PM,11.97,13.36,,,,
103,01/25/20 02:30:00 PM,12.06,13.42,,,,
104,01/25/20 02:45:00 PM,12.02,13.50,,,,
105,01/25/20 03:00:00 PM,11.95,13.56,,,,
106,01/25/20 03:15:00 PM,11.95,13.60,,,,
107,01/25/20 03:30:00 PM,11.86,13.64,,,,
108,01/25/20 03:45:00 PM,11.74,13.68,,,,
109,01/25/20 04:00:00 PM,11.31,13.80,,,,
110,01/25/20 04:15:00 PM,11.12,13.88,,,,
111,01/25/20 04:30:00 PM,11.06,13.92,,,,
112,01/25/20 04:45:00 PM,10.94,13.92,,,,
113,01/25/20 05:00:00 PM,10.74,13.92,,,,
114,01/25/20 05:15:00 PM,10.60,13.92,,,,
115,01/25/20 05:30:00 PM,10.50,13.94,,,,
116,01/25/20 05:45:00 PM,10.45,13.94,,,,
117,01/25/20 06:00:00 PM,10.41,13.96,,,,
118,01/25/20 06:15:00 PM,10.44,13.96,,,,
119,01/25/20 06:30:00 PM,10.44,13.98,,,,
120,01/25/20 06:45:00 PM,10.41,13.98,,,,
121,01/25/20 07:00:00 PM,10.41,13.98,,,,
122,01/25/20 07:15:00 PM,10.42,13.98,,,,
123,01/25/20 07:30:00 PM,10.40,13.96,,,,
124,01/25/20 07:45:00 PM,10.40,13.96,,,,
125,01/25/20 08:00:00 PM,10.38,13.94,,,,
126,01/25/20 08:15:00 PM,10.34,13.94,,,,
127,01/25/20 08:30:00 PM,10.25,13.92,,,,
128,01/25/20 08:45:00 PM,10.23,13.88,,,,
129,01/25/20 09:00:00 PM,10.21,13.88,,,,
130,01/25/20 09:15:00 PM,10.17,13.88,,,,
131,01/25/20 09:30:00 PM,10.10,13.88,,,,
132,01/25/20 09:45:00 PM,10.11,13.88,,,,
133,01/25/20 10:00:00 PM,10.12,13.86,,,,
134,01/25/20 10:15:00 PM,10.26,13.86,,,,
135,01/25/20 10:30:00 PM,10.32,13.86,,,,
136,01/25/20 10:45:00 PM,10.46,13.86,,,,
137,01/25/20 11:00:00 PM,10.56,13.84,,,,
138,01/25/20 11:15:00 PM,10.61,13.84,,,,
139,01/25/20 11:30:00 PM,10.50,13.84,,,,
140,01/25/20 11:45:00 PM,10.54,13.80,,,,
141,01/26/20 12:00:00 AM,10.57,13.74,,,,
142,01/26/20 12:15:00 AM,10.58,13.70,,,,
143,01/26/20 12:30:00 AM,10.53,13.66,,,,
144,01/26/20 12:45:00 AM,10.52,13.64,,,,
145,01/26/20 01:00:00 AM,10.50,13.60,,,,
146,01/26/20 01:15:00 AM,10.48,13.60,,,,
147,01/26/20 01:30:00 AM,10.44,13.58,,,,
148,01/26/20 01:45:00 AM,10.40,13.58,,,,
149,01/26/20 02:00:00 AM,10.32,13.58,,,,
150,01/26/20 02:15:00 AM,10.23,13.60,,,,
151,01/26/20 02:30:00 AM,10.12,13.60,,,,
152,01/26/20 02:45:00 AM,10.06,13.60,,,,
153,01/26/20 03:00:00 AM,10.08,13.56,,,,
154,01/26/20 03:15:00 AM,10.15,13.52,,,,
155,01/26/20 03:30:00 AM,10.09,13.50,,,,
156,01/26/20 03:45:00 AM,10.03,13.48,,,,
157,01/26/20 04:00:00 AM,10.00,13.46,,,,
158,01/26/20 04:15:00 AM,9.91,13.44,,,,
159,01/26/20 04:30:00 AM,9.84,13.46,,,,
160,01/26/20 04:45:00 AM,9.87,13.44,,,,
161,01/26/20 05:00:00 AM,9.84,13.40,,,,
162,01/26/20 05:15:00 AM,9.79,13.40,,,,
163,01/26/20 05:30:00 AM,9.71,13.40,,,,
164,01/26/20 05:45:00 AM,9.69,13.38,,,,
165,01/26/20 06:00:00 AM,9.65,13.36,,,,
166,01/26/20 06:15:00 AM,9.61,13.36,,,,
167,01/26/20 06:30:00 AM,9.54,13.34,,,,
168,01/26/20 06:45:00 AM,9.46,13.32,,,,
169,01/26/20 07:00:00 AM,9.31,13.34,,,,
170,01/26/20 07:15:00 AM,9.28,13.32,,,,
171,01/26/20 07:30:00 AM,9.26,13.30,,,,
172,01/26/20 07:45:00 AM,9.25,13.26,,,,
173,01/26/20 08:00:00 AM,9.30,13.24,,,,
174,01/26/20 08:15:00 AM,9.28,13.22,,,,
175,01/26/20 08:30:00 AM,9.33,13.18,,,,
176,01/26/20 08:45:00 AM,9.41,13.16,,,,
177,01/26/20 09:00:00 AM,9.50,13.18,,,,
178,01/26/20 09:15:00 AM,9.49,13.16,,,,
179,01/26/20 09:30:00 AM,9.46,13.18,,,,
180,01/26/20 09:45:00 AM,9.59,13.22,,,,
181,01/26/20 10:00:00 AM,9.69,13.30,,,,
182,01/26/20 10:15:00 AM,9.82,13.40,,,,
183,01/26/20 10:30:00 AM,9.89,13.52,,,,
184,01/26/20 10:45:00 AM,9.98,13.64,,,,
185,01/26/20 11:00:00 AM,10.08,13.78,,,,
186,01/26/20 11:15:00 AM,10.15,13.92,,,,
187,01/26/20 11:30:00 AM,10.26,14.04,,,,
188,01/26/20 11:45:00 AM,10.33,14.18,,,,
189,01/26/20 12:00:00 PM,10.43,14.30,,,,
190,01/26/20 12:15:00 PM,10.47,14.44,,,,
191,01/26/20 12:30:00 PM,10.59,14.56,,,,
192,01/26/20 12:45:00 PM,10.65,14.70,,,,
193,01/26/20 01:00:00 PM,10.71,14.84,,,,
194,01/26/20 01:15:00 PM,10.78,14.96,,,,
195,01/26/20 01:30:00 PM,10.84,15.08,,,,
196,01/26/20 01:45:00 PM,10.87,15.24,,,,
197,01/26/20 02:00:00 PM,10.94,15.30,,,,
198,01/26/20 02:15:00 PM,10.93,15.38,,,,
199,01/26/20 02:30:00 PM,10.91,15.42,,,,
200,01/26/20 02:45:00 PM,10.95,15.44,,,,
201,01/26/20 03:00:00 PM,11.06,15.46,,,,
202,01/26/20 03:15:00 PM,11.09,15.48,,,,
203,01/26/20 03:30:00 PM,11.07,15.50,,,,
204,01/26/20 03:45:00 PM,11.02,15.56,,,,
205,01/26/20 04:00:00 PM,11.11,15.58,,,,
206,01/26/20 04:15:00 PM,11.21,15.60,,,,
207,01/26/20 04:30:00 PM,11.25,15.58,,,,
208,01/26/20 04:45:00 PM,11.25,15.58,,,,
209,01/26/20 05:00:00 PM,11.03,15.56,,,,
210,01/26/20 05:15:00 PM,10.85,15.54,,,,
211,01/26/20 05:30:00 PM,10.87,15.50,,,,
212,01/26/20 05:45:00 PM,10.90,15.46,,,,
213,01/26/20 06:00:00 PM,10.97,15.42,,,,
214,01/26/20 06:15:00 PM,10.97,15.36,,,,
215,01/26/20 06:30:00 PM,10.87,15.30,,,,
216,01/26/20 06:45:00 PM,10.90,15.28,,,,
217,01/26/20 07:00:00 PM,10.88,15.24,,,,
218,01/26/20 07:15:00 PM,10.84,15.18,,,,
219,01/26/20 07:30:00 PM,10.77,15.14,,,,
220,01/26/20 07:45:00 PM,10.71,15.10,,,,
221,01/26/20 08:00:00 PM,10.63,15.04,,,,
222,01/26/20 08:15:00 PM,10.58,15.00,,,,
223,01/26/20 08:30:00 PM,10.54,14.94,,,,
224,01/26/20 08:45:00 PM,10.50,14.90,,,,
225,01/26/20 09:00:00 PM,10.42,14.86,,,,
226,01/26/20 09:15:00 PM,10.32,14.82,,,,
227,01/26/20 09:30:00 PM,10.30,14.76,,,,
228,01/26/20 09:45:00 PM,10.24,14.70,,,,
229,01/26/20 10:00:00 PM,10.17,14.64,,,,
230,01/26/20 10:15:00 PM,10.06,14.58,,,,
231,01/26/20 10:30:00 PM,10.05,14.54,,,,
232,01/26/20 10:45:00 PM,9.92,14.50,,,,
233,01/26/20 11:00:00 PM,9.89,14.44,,,,
234,01/26/20 11:15:00 PM,9.93,14.42,,,,
235,01/26/20 11:30:00 PM,9.91,14.40,,,,
236,01/26/20 11:45:00 PM,9.85,14.38,,,,
237,01/27/20 12:00:00 AM,9.77,14.34,,,,
238,01/27/20 12:15:00 AM,9.76,14.32,,,,
239,01/27/20 12:30:00 AM,9.73,14.26,,,,
240,01/27/20 12:45:00 AM,9.77,14.24,,,,
241,01/27/20 01:00:00 AM,9.79,14.20,,,,
242,01/27/20 01:15:00 AM,9.70,14.18,,,,
243,01/27/20 01:30:00 AM,9.70,14.16,,,,
244,01/27/20 01:45:00 AM,9.70,14.12,,,,
245,01/27/20 02:00:00 AM,9.62,14.06,,,,
246,01/27/20 02:15:00 AM,9.66,14.02,,,,
247,01/27/20 02:30:00 AM,9.58,14.00,,,,
248,01/27/20 02:45:00 AM,9.55,13.96,,,,
249,01/27/20 03:00:00 AM,9.44,13.86,,,,
250,01/27/20 03:15:00 AM,9.47,13.84,,,,
251,01/27/20 03:30:00 AM,9.38,13.82,,,,
252,01/27/20 03:45:00 AM,9.62,13.78,,,,
253,01/27/20 04:00:00 AM,9.72,13.74,,,,
254,01/27/20 04:15:00 AM,9.69,13.72,,,,
255,01/27/20 04:30:00 AM,9.80,13.70,,,,
256,01/27/20 04:45:00 AM,9.99,13.60,,,,
257,01/27/20 05:00:00 AM,9.94,13.50,,,,
258,01/27/20 05:15:00 AM,9.93,13.46,,,,
259,01/27/20 05:30:00 AM,9.88,13.40,,,,
260,01/27/20 05:45:00 AM,9.84,13.36,,,,
261,01/27/20 06:00:00 AM,9.76,13.34,,,,
262,01/27/20 06:15:00 AM,9.55,13.30,,,,
263,01/27/20 06:30:00 AM,9.36,13.28,,,,
264,01/27/20 06:45:00 AM,9.37,13.26,,,,
265,01/27/20 07:00:00 AM,9.30,13.26,,,,
266,01/27/20 07:15:00 AM,9.26,13.26,,,,
267,01/27/20 07:30:00 AM,9.13,13.26,,,,
268,01/27/20 07:45:00 AM,9.13,13.26,,,,
269,01/27/20 08:00:00 AM,8.99,13.26,,,,
270,01/27/20 08:15:00 AM,8.91,13.22,,,,
271,01/27/20 08:30:00 AM,8.91,13.22,,,,
272,01/27/20 08:45:00 AM,8.85,13.22,,,,
273,01/27/20 09:00:00 AM,8.96,13.24,,,,
274,01/27/20 09:15:00 AM,8.94,13.22,,,,
275,01/27/20 09:30:00 AM,9.15,13.22,,,,
276,01/27/20 09:45:00 AM,9.28,13.26,,,,
277,01/27/20 10:00:00 AM,9.16,13.26,,,,
278,01/27/20 10:15:00 AM,9.25,13.30,,,,
279,01/27/20 10:30:00 AM,9.11,13.34,,,,
280,01/27/20 10:45:00 AM,9.30,13.40,,,,
281,01/27/20 11:00:00 AM,9.44,13.46,,,,
282,01/27/20 11:15:00 AM,9.60,13.48,,,,
283,01/27/20 11:30:00 AM,9.76,13.46,,,,
284,01/27/20 11:45:00 AM,9.97,13.48,,,,
285,01/27/20 12:00:00 PM,10.12,13.56,,,,
286,01/27/20 12:15:00 PM,10.29,13.64,,,,
287,01/27/20 12:30:00 PM,10.43,13.74,,,,
288,01/27/20 12:45:00 PM,10.55,13.84,,,,
289,01/27/20 01:00:00 PM,10.65,13.94,,,,
290,01/27/20 01:15:00 PM,10.80,14.04,,,,
291,01/27/20 01:30:00 PM,10.82,14.14,,,,
292,01/27/20 01:45:00 PM,10.94,14.22,,,,
293,01/27/20 02:00:00 PM,10.99,14.32,,,,
294,01/27/20 02:15:00 PM,10.99,14.42,,,,
295,01/27/20 02:30:00 PM,10.78,14.50,,,,
296,01/27/20 02:45:00 PM,11.05,14.54,,,,
297,01/27/20 03:00:00 PM,11.21,14.58,,,,
298,01/27/20 03:15:00 PM,11.26,14.62,,,,
299,01/27/20 03:30:00 PM,11.15,14.68,,,,
300,01/27/20 03:45:00 PM,11.05,14.74,,,,
301,01/27/20 04:00:00 PM,10.94,14.80,,,,
302,01/27/20 04:15:00 PM,10.87,14.86,,,,
303,01/27/20 04:30:00 PM,10.86,14.90,,,,
304,01/27/20 04:45:00 PM,10.83,14.90,,,,
305,01/27/20 05:00:00 PM,10.83,14.88,,,,
306,01/27/20 05:15:00 PM,10.82,14.86,,,,
307,01/27/20 05:30:00 PM,10.82,14.84,,,,
308,01/27/20 05:45:00 PM,10.78,14.82,,,,
309,01/27/20 06:00:00 PM,10.80,14.80,,,,
310,01/27/20 06:15:00 PM,10.76,14.76,,,,
311,01/27/20 06:30:00 PM,10.75,14.72,,,,
312,01/27/20 06:45:00 PM,10.75,14.70,,,,
313,01/27/20 07:00:00 PM,10.66,14.64,,,,
314,01/27/20 07:15:00 PM,10.61,14.60,,,,
315,01/27/20 07:30:00 PM,10.60,14.56,,,,
316,01/27/20 07:45:00 PM,10.53,14.52,,,,
317,01/27/20 08:00:00 PM,10.41,14.50,,,,
318,01/27/20 08:15:00 PM,10.34,14.44,,,,
319,01/27/20 08:30:00 PM,10.35,14.42,,,,
320,01/27/20 08:45:00 PM,10.41,14.36,,,,
321,01/27/20 09:00:00 PM,10.40,14.34,,,,
322,01/27/20 09:15:00 PM,10.48,14.30,,,,
323,01/27/20 09:30:00 PM,10.43,14.26,,,,
324,01/27/20 09:45:00 PM,10.41,14.24,,,,
325,01/27/20 10:00:00 PM,10.45,14.20,,,,
326,01/27/20 10:15:00 PM,10.41,14.16,,,,
327,01/27/20 10:30:00 PM,10.51,14.14,,,,
328,01/27/20 10:45:00 PM,10.48,14.12,,,,
329,01/27/20 11:00:00 PM,10.41,14.10,,,,
330,01/27/20 11:15:00 PM,10.45,14.04,,,,
331,01/27/20 11:30:00 PM,10.50,14.00,,,,
332,01/27/20 11:45:00 PM,10.53,13.98,,,,
333,01/28/20 12:00:00 AM,10.52,13.96,,,,
334,01/28/20 12:15:00 AM,10.68,13.90,,,,
335,01/28/20 12:30:00 AM,10.76,13.84,,,,
336,01/28/20 12:45:00 AM,10.86,13.80,,,,
337,01/28/20 01:00:00 AM,10.92,13.74,,,,
338,01/28/20 01:15:00 AM,10.84,13.68,,,,
339,01/28/20 01:30:00 AM,10.49,13.54,,,,
340,01/28/20 01:45:00 AM,10.45,13.52,,,,
341,01/28/20 02:00:00 AM,10.38,13.50,,,,
342,01/28/20 02:15:00 AM,10.31,13.48,,,,
343,01/28/20 02:30:00 AM,10.19,13.46,,,,
344,01/28/20 02:45:00 AM,10.11,13.42,,,,
345,01/28/20 03:00:00 AM,10.11,13.38,,,,
346,01/28/20 03:15:00 AM,10.10,13.36,,,,
347,01/28/20 03:30:00 AM,10.11,13.34,,,,
348,01/28/20 03:45:00 AM,10.09,13.30,,,,
349,01/28/20 04:00:00 AM,10.12,13.26,,,,
350,01/28/20 04:15:00 AM,10.10,13.22,,,,
351,01/28/20 04:30:00 AM,10.03,13.18,,,,
352,01/28/20 04:45:00 AM,10.00,13.16,,,,
353,01/28/20 05:00:00 AM,9.95,13.12,,,,
354,01/28/20 05:15:00 AM,9.88,13.08,,,,
355,01/28/20 05:30:00 AM,9.96,13.06,,,,
356,01/28/20 05:45:00 AM,9.66,12.98,,,,
357,01/28/20 06:00:00 AM,9.58,12.94,,,,
358,01/28/20 06:15:00 AM,9.63,12.92,,,,
359,01/28/20 06:30:00 AM,9.63,12.90,,,,
360,01/28/20 06:45:00 AM,9.45,12.84,,,,
361,01/28/20 07:00:00 AM,9.22,12.80,,,,
362,01/28/20 07:15:00 AM,9.20,12.74,,,,
363,01/28/20 07:30:00 AM,9.19,12.74,,,,
364,01/28/20 07:45:00 AM,9.23,12.72,,,,
365,01/28/20 08:00:00 AM,9.24,12.68,,,,
366,01/28/20 08:15:00 AM,9.18,12.64,,,,
367,01/28/20 08:30:00 AM,9.13,12.60,,,,
368,01/28/20 08:45:00 AM,9.13,12.52,,,,
369,01/28/20 09:00:00 AM,9.16,12.50,,,,
370,01/28/20 09:15:00 AM,9.28,12.52,,,,
371,01/28/20 09:30:00 AM,9.33,12.52,,,,
372,01/28/20 09:45:00 AM,9.38,12.54,,,,
373,01/28/20 10:00:00 AM,9.43,12.54,,,,
374,01/28/20 10:15:00 AM,9.46,12.54,,,,
375,01/28/20 10:30:00 AM,9.54,12.54,,,,
376,01/28/20 10:45:00 AM,9.56,12.58,,,,
377,01/28/20 11:00:00 AM,9.60,12.64,,,,
378,01/28/20 11:15:00 AM,9.71,12.74,,,,
379,01/28/20 11:30:00 AM,9.74,12.80,,,,
380,01/28/20 11:45:00 AM,9.80,12.90,,,,
381,01/28/20 12:00:00 PM,9.90,12.96,,,,
382,01/28/20 12:15:00 PM,9.96,13.02,,,,
383,01/28/20 12:30:00 PM,10.01,13.10,,,,
384,01/28/20 12:45:00 PM,10.15,13.16,,,,
385,01/28/20 01:00:00 PM,10.22,13.26,,,,
386,01/28/20 01:15:00 PM,10.36,13.36,,,,
387,01/28/20 01:30:00 PM,10.42,13.50,,,,
388,01/28/20 01:45:00 PM,10.49,13.64,,,,
389,01/28/20 02:00:00 PM,10.62,13.72,,,,
390,01/28/20 02:15:00 PM,10.68,13.74,,,,
391,01/28/20 02:30:00 PM,10.71,13.78,,,,
392,01/28/20 02:45:00 PM,10.76,13.82,,,,
393,01/28/20 03:00:00 PM,10.82,13.88,,,,
394,01/28/20 03:15:00 PM,10.92,13.94,,,,
395,01/28/20 03:30:00 PM,11.02,13.98,,,,
396,01/28/20 03:45:00 PM,11.06,14.04,,,,
397,01/28/20 04:00:00 PM,11.09,14.04,,,,
398,01/28/20 04:15:00 PM,11.15,14.04,,,,
399,01/28/20 04:30:00 PM,11.17,14.04,,,,
400,01/28/20 04:45:00 PM,11.23,14.04,,,,
401,01/28/20 05:00:00 PM,11.30,14.02,,,,
402,01/28/20 05:15:00 PM,11.31,14.02,,,,
403,01/28/20 05:30:00 PM,11.34,13.98,,,,
404,01/28/20 05:45:00 PM,11.32,13.96,,,,
405,01/28/20 06:00:00 PM,11.27,13.94,,,,
406,01/28/20 06:15:00 PM,11.15,13.92,,,,
407,01/28/20 06:30:00 PM,11.14,13.90,,,,
408,01/28/20 06:45:00 PM,11.20,13.86,,,,
409,01/28/20 07:00:00 PM,11.25,13.82,,,,
410,01/28/20 07:15:00 PM,11.25,13.78,,,,
411,01/28/20 07:30:00 PM,11.25,13.76,,,,
412,01/28/20 07:45:00 PM,11.24,13.74,,,,
413,01/28/20 08:00:00 PM,11.20,13.70,,,,
414,01/28/20 08:15:00 PM,11.17,13.66,,,,
415,01/28/20 08:30:00 PM,11.14,13.64,,,,
416,01/28/20 08:45:00 PM,11.09,13.58,,,,
417,01/28/20 09:00:00 PM,11.06,13.56,,,,
418,01/28/20 09:15:00 PM,10.93,13.52,,,,
419,01/28/20 09:30:00 PM,10.97,13.48,,,,
420,01/28/20 09:45:00 PM,10.99,13.44,,,,
421,01/28/20 10:00:00 PM,11.00,13.38,,,,
422,01/28/20 10:15:00 PM,10.91,13.36,,,,
423,01/28/20 10:30:00 PM,10.88,13.36,,,,
424,01/28/20 10:45:00 PM,10.84,13.32,,,,
425,01/28/20 11:00:00 PM,10.68,13.30,,,,
426,01/28/20 11:15:00 PM,10.48,13.26,,,,
427,01/28/20 11:30:00 PM,10.60,13.20,,,,
428,01/28/20 11:45:00 PM,10.59,13.14,,,,
429,01/29/20 12:00:00 AM,10.59,13.10,,,,
430,01/29/20 12:15:00 AM,10.53,13.02,,,,
431,01/29/20 12:30:00 AM,10.44,12.98,,,,
432,01/29/20 12:45:00 AM,10.39,12.94,,,,
433,01/29/20 01:00:00 AM,10.39,12.90,,,,
434,01/29/20 01:15:00 AM,10.30,12.86,,,,
435,01/29/20 01:30:00 AM,10.11,12.82,,,,
436,01/29/20 01:45:00 AM,9.93,12.78,,,,
437,01/29/20 02:00:00 AM,9.81,12.72,,,,
438,01/29/20 02:15:00 AM,9.77,12.68,,,,
439,01/29/20 02:30:00 AM,9.73,12.64,,,,
440,01/29/20 02:45:00 AM,9.69,12.56,,,,
441,01/29/20 03:00:00 AM,9.61,12.52,,,,
442,01/29/20 03:15:00 AM,9.56,12.46,,,,
443,01/29/20 03:30:00 AM,9.45,12.42,,,,
444,01/29/20 03:45:00 AM,9.41,12.38,,,,
445,01/29/20 04:00:00 AM,9.40,12.32,,,,
446,01/29/20 04:15:00 AM,9.44,12.26,,,,
447,01/29/20 04:30:00 AM,9.54,12.20,,,,
448,01/29/20 04:45:00 AM,9.58,12.14,,,,
449,01/29/20 05:00:00 AM,9.64,12.08,,,,
450,01/29/20 05:15:00 AM,9.64,12.04,,,,
451,01/29/20 05:30:00 AM,9.65,12.00,,,,
452,01/29/20 05:45:00 AM,9.62,11.94,,,,
453,01/29/20 06:00:00 AM,9.61,11.88,,,,
454,01/29/20 06:15:00 AM,9.88,11.82,,,,
455,01/29/20 06:30:00 AM,9.93,11.76,,,,
456,01/29/20 06:45:00 AM,9.86,11.66,,,,
457,01/29/20 07:00:00 AM,9.81,11.58,,,,
458,01/29/20 07:15:00 AM,9.75,11.50,,,,
459,01/29/20 07:30:00 AM,9.74,11.44,,,,
460,01/29/20 07:45:00 AM,9.72,11.36,,,,
461,01/29/20 08:00:00 AM,9.66,11.32,,,,
462,01/29/20 08:15:00 AM,9.70,11.30,,,,
463,01/29/20 08:30:00 AM,9.72,11.26,,,,
464,01/29/20 08:45:00 AM,9.92,11.24,,,,
465,01/29/20 09:00:00 AM,9.96,11.24,,,,
466,01/29/20 09:15:00 AM,9.98,11.22,,,,
467,01/29/20 09:30:00 AM,9.98,11.24,,,,
468,01/29/20 09:45:00 AM,10.07,11.26,,,,
469,01/29/20 10:00:00 AM,10.14,11.32,,,,
470,01/29/20 10:15:00 AM,10.19,11.38,,,,
