Site,Date,Method,Throws,Rope Length_m,FlowMeterBegin,FlowMeterEnd,MeshSize_Microns,RingSize_cm,TotalVolume_ml,SplitFraction,Volumesubsampled_ml,Phylum,Class,Subclass,Order,Family,Genus,Species,male/female,LifeStage,abundance,Group
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,15,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,,adult,11,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,4,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,21,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Ilyocryptidae,ilyocryptus,Ilyocryptus,,adult,1,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Scapholeberis,mucronata,,adult,2,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,37,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,simocephalus,,adult,12,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,,adult,2,Copepoda
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,,adult,1,Copepoda
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Harpacticoida,Harpacticoida,Harpacticoida,harpacticoida,,adult,1,Copepoda
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,,adult,1,Copepoda
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,2,Ostracoda
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,,adult,21,Rotifera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,tardigrade,,adult,2,Tardigrada
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,,copepidite,95,Copepoda
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,,copepidite,2,Copepoda
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphniidae,Daphniidae,,embryo,6,Cladocera
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,larvae,3,Insecta
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,3,Insecta
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,,nauplii,38,Copepoda
XSSAC,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,,nauplii,2,Copepoda
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Annelida,oligocheate,oligocheate,oligocheate,oligocheate,oligocheate,oligochaeta,,adult,2,Annelida
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,70,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,3,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,,adult,14,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,19,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Eurycercus,eurycercus,,adult,5,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Ilyocryptidae,ilyocryptus,Ilyocryptus,,adult,4,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,7,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Sididae,sida,sida,,adult,1,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,simocephalus,,adult,2,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthopoda,Branchipoda,0,Cladocera,Macrothricidae,0,Streblocerus,,adult,2,Cladocera
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,2,Cladocera
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,4,Cladocera
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,1,Cladocera
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,3,Cladocera
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,simocephalus,,adult,1,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,29,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,6,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,11,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,13,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Siddidae,Diaphanosoma,Diaphanosoma,,adult,2,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Holopediidae,Holopediidae,holopediidae,,adult,3,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,4,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,simocephalus,,adult,11,Cladocera
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,2,Copepoda
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,adult,2,Copepoda
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,4,Copepoda
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,adult,3,Copepoda
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,1,Copepoda
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,adult,1,Copepoda
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,1,Ostracoda
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,108,Ostracoda
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Ostracoda,Podacopa,Podacopida,Ilyocryprididae,Ilyocypris,illyocypris,,adult,1,Ostracoda
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,1,Ostracoda
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,,adult,85,Rotifera
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,rotifera,,adult,60,Rotifera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,rotifera,,adult,7,Rotifera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,tardigrades,,adult,1,Tardigrada
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepidite,115,Copepoda
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepidite,17,Copepoda
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepidite,21,Copepoda
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepodite,102,Copepoda
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepodite,5,Copepoda
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphniidae,daphniidae,,embryo,3,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphniidae,daphniidae,,embryo,2,Cladocera
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Chordata,Actinopterigyii,0,0,0,0,larvalfish,,larvae,1,Actinopterigyii
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,1,Insecta
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,larvae,3,Insecta
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,larvae,5,Insecta
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,5,Insecta
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Insecta,0,Ephemeroptera,Ephemeroptera,Ephemeroptera,ephemeroptera,,larvae,1,Insecta
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,77,Copepoda
Cos Beach,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,4,Copepoda
Knaggs,1/17/19,net throw,4,5,0,744.24,153,30,275,1,6,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,5,Copepoda
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,40,Copepoda
Mok USRR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,10,Copepoda
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Alona,alona,,adult,1,Cladocera
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,18,Cladocera
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,3,Cladocera
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,9,Cladocera
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,16,Cladocera
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphnia,magna,,adult,2,Cladocera
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,44,Cladocera
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Branchipoda,0,Cladocera,Sididae,sida,sida,,adult,1,Cladocera
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,1,Copepoda
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,adult,1,Copepoda
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,adult,29,Copepoda
Cos Tri,1/29/19,net throw,4,5,0,744.24,153,30,200,1,4,Arthropoda,Insecta,0,Collembola,Collembola,Collembola,collembola,,adult,1,Insecta
