Date,Site,Turbidity,EC,pH,DOC-ppm,PO4-ppm,TP-ppm,NO3-ppm,NH4-ppm,TN-ppm,Chl,Pheo
6/19/19,Cos Beach,5.11,64.27,7.52 ,1.481,0.016,0.043,0.094 ,0.008,0.215,4.826,1.015
3/9/20,Cos Beach,27.7,,,3.227,0.019,0.116,0.154,0.004,0.587,11.129,5.851
3/16/20,Cos Beach,8.29,,,4.253,0.042,0.066,0.140,0.010,0.458,3.012,2.706
3/22/20,Cos Beach,20,,,7.649,0.062,0.134,0.465,0.007,1.433,11.449,4.854
5/7/20,Cos Beach,22.3,,,2.661,0.032,0.125,0.018,0.233,0.894,10.186,6.503
6/9/20,Cos Beach,6.06,,,2.184,0.018,0.039,0.006,0.058,0.391,0.776,1.244
2/10/20,Cos Beach,156.1,7.52,9.19,2.852,0.030,0.075,0.029,0.141 ,0.500,6.499,1.064
2/18/20,Cos Beach,125.5,7.68,5.26,2.416,0.077,0.088,0.083,0.061 ,0.711,2.045,1.767
2/25/20,Cos Beach,149.7,7.88,16.1,4.119,0.024,0.095,0.008,0.061 ,0.544,11.906,3.056
3/3/20,Cos Beach,122.8,8,10.3,2.674,0.039,0.092,0.013,0.030 ,0.791,6.461,1.465
7/25/19,Cos Beach,10.4,54.53,7.67,1.850,0.019,0.067,0.258,0.000,0.491,0.354,0.563
8/20/19,Cos Beach,10.6,42.31,7.69,2.135,0.009,0.067,0.132,0.009,0.381,4.450,2.844
9/10/19,Cos Beach,17.6,44.08,7.68,2.287,0.010,0.080,0.006,0.159,0.421,6.605,3.436
10/15/19,Cos Beach,14,57.09,7.74,2.275,0.006,0.064,0.003,0.108,0.365,5.578,2.362
5/22/19,Cos Beach,3.21,81.05,6.79,2.839,0.052 ,0.090,0.227,0.009,0.408,3.358,2.135
3/10/19,Knaggs F-6,106,367.3,7.8,5.344,0.135 ,0.375,0.675,0.022,1.296,8.914,2.177
3/13/19,Knaggs F-6,94.5,313.3,7.6,5.727,0.140 ,0.343,0.648,0.019,1.310,11.583,3.333
3/22/19,Knaggs F-6,30.9,459.6,7.71,6.300,0.143 ,0.259,0.367,0.023,1.100,29.524,7.194
4/2/19,Knaggs F-6,616,835.7,8.05,5.138,0.149 ,0.442,0.556,0.022,1.324,24.223,8.009
2/10/20,Knaggs-F3,604.5,7.77,1000,9.197,0.117,0.548,0.129,0.269 ,1.759,3.544,4.423
2/20/20,Knaggs-F3,601.9,7.92,53.4,10.929,0.186,0.488,0.016,0.703 ,2.335,1.407,1.835
2/24/20,Knaggs-F3,605.7,8.2,44.1,11.849,0.150,0.370,0.008,0.182 ,1.252,1.134,0.849
3/2/20,Knaggs-F3,641.3,8.27,392,12.720,0.144,0.751,0.012,0.199 ,1.642,26.621,12.141
3/9/20,Knaggs-F3,58.3,,,14.489,0.214,0.379,0.245,0.038,1.397,4.613,4.727
3/17/20,Knaggs-F3,14.8,,,12.479,0.217,0.245,0.015,0.232,1.208,5.786,5.396
3/23/20,Knaggs-F3,23.5,,,19.554,0.315,0.438,0.002,0.993,2.518,43.851,35.060
7/25/19,Mok-USRR,2.82,32.12,7.66,1.879,0.007,0.021,0.126,0.000,0.338,1.068,0.742
8/20/19,Mok-USRR,2.18,33.43,7.82,1.889,0.006,0.021,0.054,0.090,0.265,0.469,0.569
9/10/19,Mok-USRR,2.72,33.58,7.52,1.798,0.006,0.018,0.015,0.053,0.204,0.590,0.625
10/15/19,Mok-USRR,1.85,33.67,7.8,1.925,0.004,0.021,0.010,0.106,0.271,0.617,0.438
5/22/19,Mok-USRR,7.1,42.19,6.98,1.842,0.006 ,0.031,0.090,0.009,0.239,1.121,1.107
3/9/20,Mok-USRR,1.07,,,1.400,0.003,0.018,0.063,0.006,0.376,0.509,0.948
3/16/20,Mok-USRR,1.57,,,1.793,0.010,0.024,0.111,0.132,0.442,0.633,0.672
3/22/20,Mok-USRR,2.2,,,1.806,0.009,0.033,0.021,0.089,0.515,0.574,0.706
5/7/20,Mok-USRR,3.59,,,1.708,0.027,0.063,0.010,0.107,0.603,2.804,1.343
6/9/20,Mok-USRR,2.39,,,2.267,0.024,0.048,0.009,0.163,0.651,1.680,1.352
2/10/20,Mok-USRR,35.93,6.88,3.31,1.695,0.000,0.010,0.007,0.059 ,0.320,0.674,0.447
2/18/20,Mok-USRR,35.36,7.74,1.91,1.815,0.000,0.033,0.006,0.039 ,0.573,0.550,0.638
2/25/20,Mok-USRR,48.51,7.67,2.4,1.823,0.000,0.010,0.007,0.000 ,0.271,0.234,0.265
3/3/20,Mok-USRR,50.68,7.76,2.35,1.974,0.000,0.023,0.010,0.002 ,0.754,0.228,0.314
6/3/19,Mok-USRR,5.56,41.21,7.39 ,1.809,0.003,0.026,0.059 ,0.012,0.240,0.729,0.894
6/19/19,Mok-USRR,4.62,38.81,7.46 ,1.544,0.004,0.026,0.072 ,0.007,0.169,1.191,1.463
5/3/19,Wendells ,6.83,54.79,7.35 ,1.839,0.009,0.075,0.081 ,0.008,0.313,0.527,0.375
5/8/19,Wendells ,4.75,52.73,7.73 ,1.461,0.007,0.039,0.137 ,0.008,0.238,1.069,0.638
5/15/19,Wendells ,3.76,50.72,7.58 ,1.492,0.009,0.098,0.170 ,0.010,0.305,0.614,0.359
6/3/19,Wendells ,3.27,53.29,7.24 ,2.046,0.033,0.066,0.591 ,0.016,0.738,0.580,0.369
6/18/19,Wendells ,2.04,53.6,7.70 ,1.299,0.004,0.013,0.037 ,0.009,0.103,0.770,0.461
5/6/19,XSSAC,11.7,114.9,7.68 ,2.199,0.018,0.059,0.219 ,0.016,0.305,3.769,1.809
5/21/19,XSSAC,15.3,122.4,7.44 ,1.928,0.028,0.075,0.286 ,0.008,0.396,3.155,2.416
6/4/19,XSSAC,14.4,101.8,7.28 ,1.773,0.025,0.085,0.309 ,0.010,0.483,0.989,0.621
6/18/19,XSSAC,9.91,135.2,7.50 ,1.604,0.028,0.052,0.197 ,0.005,0.297,1.856,0.999
7/25/19,XSSAC,8.26,119,7.67,1.717,0.024,0.071,0.116,0.000,0.289,2.075,1.241
8/20/19,XSSAC,8.97,123.5,7.69,1.766,0.025,0.071,0.147,0.000,0.359,2.808,1.318
9/10/19,XSSAC,6.87,118.4,7.9,1.815,0.018,0.034,0.068,0.024,0.225,2.441,0.910
10/15/19,XSSAC,6.15,121.8,7.74,1.517,0.021,0.493,0.098,0.047,0.304,2.634,1.493
3/9/20,XSSAC,8.41,,,2.463,0.029,0.030,0.220,0.002,0.562,4.683,2.806
3/16/20,XSSAC,11.7,,,1.973,0.035,0.045,0.256,0.009,0.518,6.732,3.654
3/23/20,XSSAC,8.59,,,2.555,0.032,0.057,0.294,0.002,0.758,4.596,3.229
5/7/20,XSSAC,9.13,,,2.178,0.071,0.084,0.055,0.161,0.705,1.351,1.802
6/9/20,XSSAC,3.36,,,4.729,0.101,0.137,0.038,1.078,1.960,2.907,2.105
2/12/20,XSSAC,169.5,7.83,13.7,2.599,0.015,0.056,0.192,0.107 ,0.605,4.688,0.974
2/20/20,XSSAC,158.2,7.97,14.3,2.644,0.010,0.043,0.108,0.085 ,0.645,5.874,1.697
2/25/20,XSSAC,200.2,8.03,9.69,2.461,0.010,0.056,0.082,0.023 ,0.400,6.558,1.469
3/3/20,XSSAC,183.3,8.11,7.28,2.107,0.007,0.039,0.085,0.013 ,0.476,5.247,1.753
