"Plot Title: 20568278"
"#","Date Time, GMT-07:00","DO conc, mg/L","Temp, °C","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
46,03/27/19 11:15:00 PM,8.79,15.14,,,,,
47,03/27/19 11:30:00 PM,8.77,15.30,,,,,
48,03/27/19 11:45:00 PM,8.63,15.34,,,,,
49,03/28/19 12:00:00 AM,8.52,15.34,,,,,
50,03/28/19 12:15:00 AM,8.35,15.32,,,,,
51,03/28/19 12:30:00 AM,8.30,15.28,,,,,
52,03/28/19 12:45:00 AM,8.35,15.26,,,,,
53,03/28/19 01:00:00 AM,8.34,15.22,,,,,
54,03/28/19 01:15:00 AM,8.38,15.20,,,,,
55,03/28/19 01:30:00 AM,8.31,15.12,,,,,
56,03/28/19 01:45:00 AM,8.04,15.00,,,,,
57,03/28/19 02:00:00 AM,7.82,14.82,,,,,
58,03/28/19 02:15:00 AM,7.57,14.64,,,,,
59,03/28/19 02:30:00 AM,7.23,14.42,,,,,
60,03/28/19 02:45:00 AM,6.81,14.18,,,,,
61,03/28/19 03:00:00 AM,6.54,13.98,,,,,
62,03/28/19 03:15:00 AM,6.30,13.80,,,,,
63,03/28/19 03:30:00 AM,6.15,13.62,,,,,
64,03/28/19 03:45:00 AM,6.05,13.46,,,,,
65,03/28/19 04:00:00 AM,5.99,13.32,,,,,
66,03/28/19 04:15:00 AM,5.89,13.22,,,,,
67,03/28/19 04:30:00 AM,5.87,13.14,,,,,
68,03/28/19 04:45:00 AM,5.83,13.06,,,,,
69,03/28/19 05:00:00 AM,5.77,13.00,,,,,
70,03/28/19 05:15:00 AM,5.72,12.96,,,,,
71,03/28/19 05:30:00 AM,5.68,12.94,,,,,
72,03/28/19 05:45:00 AM,5.56,12.92,,,,,
73,03/28/19 06:00:00 AM,5.46,12.88,,,,,
74,03/28/19 06:15:00 AM,5.36,12.88,,,,,
75,03/28/19 06:30:00 AM,5.28,12.86,,,,,
76,03/28/19 06:45:00 AM,5.19,12.90,,,,,
77,03/28/19 07:00:00 AM,4.93,12.96,,,,,
78,03/28/19 07:15:00 AM,5.68,13.10,,,,,
79,03/28/19 07:30:00 AM,5.54,13.20,,,,,
80,03/28/19 07:45:00 AM,6.09,13.34,,,,,
81,03/28/19 08:00:00 AM,6.51,13.44,,,,,
82,03/28/19 08:15:00 AM,6.61,13.52,,,,,
83,03/28/19 08:30:00 AM,6.91,13.62,,,,,
84,03/28/19 08:45:00 AM,7.04,13.76,,,,,
85,03/28/19 09:00:00 AM,7.20,13.92,,,,,
86,03/28/19 09:15:00 AM,7.39,14.06,,,,,
87,03/28/19 09:30:00 AM,7.73,14.12,,,,,
88,03/28/19 09:45:00 AM,7.74,14.06,,,,,
89,03/28/19 10:00:00 AM,7.75,14.00,,,,,
90,03/28/19 10:15:00 AM,7.78,13.98,,,,,
91,03/28/19 10:30:00 AM,7.83,14.00,,,,,
92,03/28/19 10:45:00 AM,7.79,14.04,,,,,
93,03/28/19 11:00:00 AM,7.79,14.08,,,,,
94,03/28/19 11:15:00 AM,7.78,14.14,,,,,
95,03/28/19 11:30:00 AM,7.84,14.14,,,,,
96,03/28/19 11:45:00 AM,7.82,14.18,,,,,
97,03/28/19 12:00:00 PM,8.09,14.22,,,,,
98,03/28/19 12:15:00 PM,8.37,14.32,,,,,
99,03/28/19 12:30:00 PM,8.37,14.36,,,,,
100,03/28/19 12:45:00 PM,8.38,14.36,,,,,
101,03/28/19 01:00:00 PM,8.18,14.38,,,,,
102,03/28/19 01:15:00 PM,7.57,14.52,,,,,
103,03/28/19 01:30:00 PM,7.62,14.78,,,,,
104,03/28/19 01:45:00 PM,7.66,14.96,,,,,
105,03/28/19 02:00:00 PM,7.35,15.40,,,,,
106,03/28/19 02:15:00 PM,7.10,15.44,,,,,
107,03/28/19 02:30:00 PM,7.65,15.68,,,,,
108,03/28/19 02:45:00 PM,7.75,15.90,,,,,
109,03/28/19 03:00:00 PM,7.69,16.10,,,,,
110,03/28/19 03:15:00 PM,7.96,16.26,,,,,
111,03/28/19 03:30:00 PM,7.88,16.30,,,,,
112,03/28/19 03:45:00 PM,8.04,16.28,,,,,
113,03/28/19 04:00:00 PM,8.06,16.34,,,,,
114,03/28/19 04:15:00 PM,7.88,16.38,,,,,
115,03/28/19 04:30:00 PM,7.81,16.40,,,,,
116,03/28/19 04:45:00 PM,8.07,16.34,,,,,
117,03/28/19 05:00:00 PM,8.15,16.28,,,,,
118,03/28/19 05:15:00 PM,7.91,16.16,,,,,
119,03/28/19 05:30:00 PM,8.00,16.04,,,,,
120,03/28/19 05:45:00 PM,7.81,15.74,,,,,
121,03/28/19 06:00:00 PM,7.69,15.10,,,,,
122,03/28/19 06:15:00 PM,10.46,14.42,,,,,
123,03/28/19 06:30:00 PM,10.46,13.76,,,,,
124,03/28/19 06:45:00 PM,10.66,12.82,,,,,
125,03/28/19 07:00:00 PM,10.89,11.96,,,,,
126,03/28/19 07:15:00 PM,11.01,11.56,,,,,
127,03/28/19 07:30:00 PM,11.05,11.44,,,,,
128,03/28/19 07:45:00 PM,11.11,11.24,,,,,
129,03/28/19 08:00:00 PM,11.15,11.08,,,,,
130,03/28/19 08:15:00 PM,11.18,10.98,,,,,
131,03/28/19 08:30:00 PM,11.20,10.88,,,,,
132,03/28/19 08:45:00 PM,11.25,10.76,,,,,
133,03/28/19 09:00:00 PM,11.26,10.76,,,,,
134,03/28/19 09:15:00 PM,11.25,10.72,,,,,
135,03/28/19 09:30:00 PM,11.28,10.64,,,,,
136,03/28/19 09:45:00 PM,11.34,10.54,,,,,
137,03/28/19 10:00:00 PM,8.48,10.64,,,,,
138,03/28/19 10:15:00 PM,8.03,12.66,,,,,
139,03/28/19 10:30:00 PM,7.88,13.46,,,,,
140,03/28/19 10:45:00 PM,7.75,13.98,,,,,
141,03/28/19 11:00:00 PM,7.69,14.30,,,,,
142,03/28/19 11:15:00 PM,7.71,14.44,,,,,
143,03/28/19 11:30:00 PM,7.73,14.52,,,,,
144,03/28/19 11:45:00 PM,7.75,14.60,,,,,
145,03/29/19 12:00:00 AM,7.83,14.66,,,,,
146,03/29/19 12:15:00 AM,8.34,14.80,,,,,
147,03/29/19 12:30:00 AM,8.72,15.02,,,,,
148,03/29/19 12:45:00 AM,8.84,15.18,,,,,
149,03/29/19 01:00:00 AM,8.81,15.30,,,,,
150,03/29/19 01:15:00 AM,8.81,15.38,,,,,
151,03/29/19 01:30:00 AM,8.82,15.42,,,,,
152,03/29/19 01:45:00 AM,8.76,15.44,,,,,
153,03/29/19 02:00:00 AM,8.66,15.42,,,,,
154,03/29/19 02:15:00 AM,8.61,15.40,,,,,
155,03/29/19 02:30:00 AM,8.57,15.38,,,,,
156,03/29/19 02:45:00 AM,8.48,15.32,,,,,
157,03/29/19 03:00:00 AM,8.35,15.20,,,,,
158,03/29/19 03:15:00 AM,8.01,14.96,,,,,
159,03/29/19 03:30:00 AM,7.58,14.60,,,,,
160,03/29/19 03:45:00 AM,7.13,14.24,,,,,
161,03/29/19 04:00:00 AM,7.03,14.00,,,,,
162,03/29/19 04:15:00 AM,6.85,13.74,,,,,
163,03/29/19 04:30:00 AM,6.64,13.50,,,,,
164,03/29/19 04:45:00 AM,6.66,13.30,,,,,
165,03/29/19 05:00:00 AM,6.69,13.14,,,,,
166,03/29/19 05:15:00 AM,6.67,13.04,,,,,
167,03/29/19 05:30:00 AM,6.65,12.92,,,,,
168,03/29/19 05:45:00 AM,6.59,12.82,,,,,
169,03/29/19 06:00:00 AM,6.52,12.74,,,,,
170,03/29/19 06:15:00 AM,6.44,12.68,,,,,
171,03/29/19 06:30:00 AM,6.31,12.62,,,,,
172,03/29/19 06:45:00 AM,6.18,12.58,,,,,
173,03/29/19 07:00:00 AM,6.06,12.54,,,,,
174,03/29/19 07:15:00 AM,5.96,12.50,,,,,
175,03/29/19 07:30:00 AM,5.85,12.50,,,,,
176,03/29/19 07:45:00 AM,5.73,12.52,,,,,
177,03/29/19 08:00:00 AM,5.67,12.66,,,,,
178,03/29/19 08:15:00 AM,5.27,12.88,,,,,
179,03/29/19 08:30:00 AM,5.26,13.04,,,,,
180,03/29/19 08:45:00 AM,6.33,13.16,,,,,
181,03/29/19 09:00:00 AM,6.15,13.36,,,,,
182,03/29/19 09:15:00 AM,6.72,13.54,,,,,
183,03/29/19 09:30:00 AM,7.38,13.72,,,,,
184,03/29/19 09:45:00 AM,7.42,13.86,,,,,
185,03/29/19 10:00:00 AM,7.50,13.96,,,,,
186,03/29/19 10:15:00 AM,7.60,14.12,,,,,
187,03/29/19 10:30:00 AM,7.84,14.40,,,,,
188,03/29/19 10:45:00 AM,8.05,14.60,,,,,
189,03/29/19 11:00:00 AM,8.02,14.66,,,,,
190,03/29/19 11:15:00 AM,7.99,14.60,,,,,
191,03/29/19 11:30:00 AM,8.13,14.54,,,,,
192,03/29/19 11:45:00 AM,8.24,14.50,,,,,
193,03/29/19 12:00:00 PM,8.30,14.50,,,,,
194,03/29/19 12:15:00 PM,8.32,14.52,,,,,
195,03/29/19 12:30:00 PM,8.39,14.54,,,,,
196,03/29/19 12:45:00 PM,8.39,14.60,,,,,
197,03/29/19 01:00:00 PM,8.39,14.64,,,,,
198,03/29/19 01:15:00 PM,8.80,14.72,,,,,
199,03/29/19 01:30:00 PM,9.03,14.98,,,,,
200,03/29/19 01:45:00 PM,8.72,15.38,,,,,
201,03/29/19 02:00:00 PM,8.64,15.82,,,,,
202,03/29/19 02:15:00 PM,8.16,16.04,,,,,
203,03/29/19 02:30:00 PM,8.03,16.36,,,,,
204,03/29/19 02:45:00 PM,8.13,16.38,,,,,
205,03/29/19 03:00:00 PM,8.41,16.32,,,,,
206,03/29/19 03:15:00 PM,8.36,16.34,,,,,
207,03/29/19 03:30:00 PM,8.14,16.38,,,,,
208,03/29/19 03:45:00 PM,8.49,16.44,,,,,
209,03/29/19 04:00:00 PM,8.49,16.50,,,,,
210,03/29/19 04:15:00 PM,8.72,16.66,,,,,
211,03/29/19 04:30:00 PM,8.90,16.88,,,,,
212,03/29/19 04:45:00 PM,8.86,17.06,,,,,
213,03/29/19 05:00:00 PM,8.73,17.26,,,,,
214,03/29/19 05:15:00 PM,8.39,17.62,,,,,
215,03/29/19 05:30:00 PM,8.29,17.92,,,,,
216,03/29/19 05:45:00 PM,8.35,18.20,,,,,
217,03/29/19 06:00:00 PM,8.80,18.52,,,,,
218,03/29/19 06:15:00 PM,8.60,19.02,,,,,
219,03/29/19 06:30:00 PM,8.22,19.28,,,,,
220,03/29/19 06:45:00 PM,9.04,19.14,,,,,
221,03/29/19 07:00:00 PM,9.11,18.62,,,,,
222,03/29/19 07:15:00 PM,9.44,17.06,,,,,
223,03/29/19 07:30:00 PM,9.97,15.06,,,,,
224,03/29/19 07:45:00 PM,10.47,13.30,,,,,
225,03/29/19 08:00:00 PM,10.84,11.92,,,,,
226,03/29/19 08:15:00 PM,11.16,10.76,,,,,
227,03/29/19 08:30:00 PM,11.42,9.88,,,,,
228,03/29/19 08:45:00 PM,11.59,9.34,,,,,
229,03/29/19 09:00:00 PM,11.67,9.26,,,,,
230,03/29/19 09:15:00 PM,11.62,9.46,,,,,
231,03/29/19 09:30:00 PM,11.59,9.48,,,,,
232,03/29/19 09:45:00 PM,11.61,9.42,,,,,
233,03/29/19 10:00:00 PM,11.65,9.22,,,,,
234,03/29/19 10:15:00 PM,11.69,9.14,,,,,
235,03/29/19 10:30:00 PM,11.67,9.24,,,,,
236,03/29/19 10:45:00 PM,11.82,9.46,,,,,
237,03/29/19 11:00:00 PM,9.32,11.10,,,,,
238,03/29/19 11:15:00 PM,8.64,13.30,,,,,
239,03/29/19 11:30:00 PM,8.31,14.20,,,,,
240,03/29/19 11:45:00 PM,8.12,14.76,,,,,
241,03/30/19 12:00:00 AM,8.02,15.04,,,,,
242,03/30/19 12:15:00 AM,8.06,15.16,,,,,
243,03/30/19 12:30:00 AM,8.09,15.22,,,,,
244,03/30/19 12:45:00 AM,8.19,15.28,,,,,
245,03/30/19 01:00:00 AM,8.49,15.38,,,,,
246,03/30/19 01:15:00 AM,8.93,15.68,,,,,
247,03/30/19 01:30:00 AM,8.98,15.86,,,,,
248,03/30/19 01:45:00 AM,8.94,15.96,,,,,
249,03/30/19 02:00:00 AM,8.91,16.04,,,,,
250,03/30/19 02:15:00 AM,8.89,16.08,,,,,
251,03/30/19 02:30:00 AM,8.78,16.10,,,,,
252,03/30/19 02:45:00 AM,8.62,16.08,,,,,
253,03/30/19 03:00:00 AM,8.56,16.06,,,,,
254,03/30/19 03:15:00 AM,8.50,16.02,,,,,
255,03/30/19 03:30:00 AM,8.46,15.96,,,,,
256,03/30/19 03:45:00 AM,8.40,15.90,,,,,
257,03/30/19 04:00:00 AM,8.23,15.74,,,,,
258,03/30/19 04:15:00 AM,7.96,15.40,,,,,
259,03/30/19 04:30:00 AM,7.58,14.94,,,,,
260,03/30/19 04:45:00 AM,7.24,14.50,,,,,
261,03/30/19 05:00:00 AM,7.17,14.32,,,,,
262,03/30/19 05:15:00 AM,6.98,14.06,,,,,
263,03/30/19 05:30:00 AM,6.72,13.80,,,,,
264,03/30/19 05:45:00 AM,6.52,13.58,,,,,
265,03/30/19 06:00:00 AM,6.70,13.42,,,,,
266,03/30/19 06:15:00 AM,6.75,13.30,,,,,
267,03/30/19 06:30:00 AM,6.71,13.18,,,,,
268,03/30/19 06:45:00 AM,6.60,13.10,,,,,
269,03/30/19 07:00:00 AM,6.53,13.00,,,,,
270,03/30/19 07:15:00 AM,6.40,12.90,,,,,
271,03/30/19 07:30:00 AM,6.40,12.84,,,,,
272,03/30/19 07:45:00 AM,6.35,12.76,,,,,
273,03/30/19 08:00:00 AM,6.22,12.70,,,,,
274,03/30/19 08:15:00 AM,6.03,12.66,,,,,
275,03/30/19 08:30:00 AM,6.03,12.62,,,,,
276,03/30/19 08:45:00 AM,6.05,12.60,,,,,
277,03/30/19 09:00:00 AM,5.96,12.64,,,,,
278,03/30/19 09:15:00 AM,5.85,12.74,,,,,
279,03/30/19 09:30:00 AM,5.73,12.84,,,,,
280,03/30/19 09:45:00 AM,5.74,13.02,,,,,
281,03/30/19 10:00:00 AM,6.47,13.32,,,,,
282,03/30/19 10:15:00 AM,5.91,14.06,,,,,
283,03/30/19 10:30:00 AM,6.85,14.44,,,,,
284,03/30/19 10:45:00 AM,7.52,14.66,,,,,
285,03/30/19 11:00:00 AM,7.81,14.86,,,,,
286,03/30/19 11:15:00 AM,7.94,14.98,,,,,
287,03/30/19 11:30:00 AM,8.10,15.02,,,,,
288,03/30/19 11:45:00 AM,8.20,15.06,,,,,
289,03/30/19 12:00:00 PM,8.33,15.16,,,,,
290,03/30/19 12:15:00 PM,8.38,15.22,,,,,
291,03/30/19 12:30:00 PM,8.38,15.26,,,,,
292,03/30/19 12:45:00 PM,8.34,15.24,,,,,
293,03/30/19 01:00:00 PM,8.40,15.22,,,,,
294,03/30/19 01:15:00 PM,8.47,15.26,,,,,
295,03/30/19 01:30:00 PM,8.48,15.34,,,,,
296,03/30/19 01:45:00 PM,8.49,15.40,,,,,
297,03/30/19 02:00:00 PM,8.54,15.46,,,,,
298,03/30/19 02:15:00 PM,8.55,15.52,,,,,
299,03/30/19 02:30:00 PM,8.96,15.58,,,,,
300,03/30/19 02:45:00 PM,9.07,15.82,,,,,
301,03/30/19 03:00:00 PM,9.14,16.22,,,,,
302,03/30/19 03:15:00 PM,8.71,16.58,,,,,
303,03/30/19 03:30:00 PM,8.85,17.02,,,,,
304,03/30/19 03:45:00 PM,8.39,17.26,,,,,
305,03/30/19 04:00:00 PM,7.86,17.24,,,,,
306,03/30/19 04:15:00 PM,8.64,17.12,,,,,
307,03/30/19 04:30:00 PM,8.65,17.12,,,,,
308,03/30/19 04:45:00 PM,8.70,17.14,,,,,
309,03/30/19 05:00:00 PM,8.74,17.16,,,,,
310,03/30/19 05:15:00 PM,8.85,17.18,,,,,
311,03/30/19 05:30:00 PM,9.05,17.28,,,,,
312,03/30/19 05:45:00 PM,9.02,17.54,,,,,
313,03/30/19 06:00:00 PM,8.83,17.74,,,,,
314,03/30/19 06:15:00 PM,9.25,17.92,,,,,
315,03/30/19 06:30:00 PM,9.23,17.86,,,,,
316,03/30/19 06:45:00 PM,9.19,17.70,,,,,
317,03/30/19 07:00:00 PM,9.07,17.52,,,,,
318,03/30/19 07:15:00 PM,9.07,17.12,,,,,
319,03/30/19 07:30:00 PM,9.01,16.30,,,,,
320,03/30/19 07:45:00 PM,8.49,15.24,,,,,
321,03/30/19 08:00:00 PM,10.29,14.32,,,,,
322,03/30/19 08:15:00 PM,10.42,13.58,,,,,
323,03/30/19 08:30:00 PM,10.54,12.98,,,,,
324,03/30/19 08:45:00 PM,10.69,12.46,,,,,
325,03/30/19 09:00:00 PM,10.89,12.12,,,,,
326,03/30/19 09:15:00 PM,10.96,11.88,,,,,
327,03/30/19 09:30:00 PM,11.05,11.62,,,,,
328,03/30/19 09:45:00 PM,11.13,11.34,,,,,
329,03/30/19 10:00:00 PM,11.22,11.14,,,,,
330,03/30/19 10:15:00 PM,11.26,10.96,,,,,
331,03/30/19 10:30:00 PM,11.31,10.70,,,,,
332,03/30/19 10:45:00 PM,11.37,10.46,,,,,
333,03/30/19 11:00:00 PM,11.41,10.34,,,,,
334,03/30/19 11:15:00 PM,11.42,10.32,,,,,
335,03/30/19 11:30:00 PM,9.49,10.54,,,,,
336,03/30/19 11:45:00 PM,8.80,12.92,,,,,
337,03/31/19 12:00:00 AM,8.52,14.26,,,,,
338,03/31/19 12:15:00 AM,8.35,14.94,,,,,
339,03/31/19 12:30:00 AM,8.17,15.34,,,,,
340,03/31/19 12:45:00 AM,8.18,15.50,,,,,
341,03/31/19 01:00:00 AM,8.29,15.58,,,,,
342,03/31/19 01:15:00 AM,8.33,15.66,,,,,
343,03/31/19 01:30:00 AM,8.55,15.84,,,,,
344,03/31/19 01:45:00 AM,8.42,16.22,,,,,
345,03/31/19 02:00:00 AM,8.20,16.54,,,,,
346,03/31/19 02:15:00 AM,7.88,16.78,,,,,
347,03/31/19 02:30:00 AM,7.46,16.92,,,,,
348,03/31/19 02:45:00 AM,7.15,17.00,,,,,
349,03/31/19 03:00:00 AM,7.27,16.96,,,,,
350,03/31/19 03:15:00 AM,7.20,16.90,,,,,
351,03/31/19 03:30:00 AM,7.11,16.82,,,,,
352,03/31/19 03:45:00 AM,7.02,16.76,,,,,
353,03/31/19 04:00:00 AM,6.92,16.70,,,,,
354,03/31/19 04:15:00 AM,6.86,16.64,,,,,
355,03/31/19 04:30:00 AM,6.84,16.60,,,,,
356,03/31/19 04:45:00 AM,6.85,16.54,,,,,
357,03/31/19 05:00:00 AM,6.62,16.36,,,,,
358,03/31/19 05:15:00 AM,6.56,16.10,,,,,
359,03/31/19 05:30:00 AM,6.27,15.80,,,,,
360,03/31/19 05:45:00 AM,6.00,15.46,,,,,
361,03/31/19 06:00:00 AM,5.86,15.18,,,,,
362,03/31/19 06:15:00 AM,5.77,14.92,,,,,
363,03/31/19 06:30:00 AM,6.02,14.66,,,,,
364,03/31/19 06:45:00 AM,6.03,14.40,,,,,
365,03/31/19 07:00:00 AM,6.03,14.16,,,,,
366,03/31/19 07:15:00 AM,6.08,13.96,,,,,
367,03/31/19 07:30:00 AM,6.09,13.82,,,,,
368,03/31/19 07:45:00 AM,6.07,13.70,,,,,
369,03/31/19 08:00:00 AM,6.07,13.60,,,,,
370,03/31/19 08:15:00 AM,6.05,13.54,,,,,
371,03/31/19 08:30:00 AM,6.03,13.48,,,,,
372,03/31/19 08:45:00 AM,6.04,13.46,,,,,
373,03/31/19 09:00:00 AM,6.04,13.46,,,,,
374,03/31/19 09:15:00 AM,6.08,13.50,,,,,
375,03/31/19 09:30:00 AM,6.03,13.56,,,,,
376,03/31/19 09:45:00 AM,6.00,13.68,,,,,
377,03/31/19 10:00:00 AM,5.79,13.86,,,,,
378,03/31/19 10:15:00 AM,5.37,14.12,,,,,
379,03/31/19 10:30:00 AM,5.66,14.52,,,,,
380,03/31/19 10:45:00 AM,5.41,15.00,,,,,
381,03/31/19 11:00:00 AM,5.87,15.30,,,,,
382,03/31/19 11:15:00 AM,6.58,15.58,,,,,
383,03/31/19 11:30:00 AM,6.83,15.62,,,,,
384,03/31/19 11:45:00 AM,7.02,15.80,,,,,
385,03/31/19 12:00:00 PM,7.18,16.02,,,,,
386,03/31/19 12:15:00 PM,7.38,16.18,,,,,
387,03/31/19 12:30:00 PM,7.43,16.24,,,,,
388,03/31/19 12:45:00 PM,7.39,16.24,,,,,
389,03/31/19 01:00:00 PM,7.26,16.22,,,,,
390,03/31/19 01:15:00 PM,7.41,16.10,,,,,
391,03/31/19 01:30:00 PM,8.03,16.44,,,,,
392,03/31/19 01:45:00 PM,8.27,16.96,,,,,
393,03/31/19 02:00:00 PM,8.40,17.40,,,,,
394,03/31/19 02:15:00 PM,8.45,17.72,,,,,
395,03/31/19 02:30:00 PM,8.38,17.90,,,,,
396,03/31/19 02:45:00 PM,8.42,17.90,,,,,
397,03/31/19 03:00:00 PM,8.41,17.84,,,,,
398,03/31/19 03:15:00 PM,8.51,17.78,,,,,
399,03/31/19 03:30:00 PM,8.64,17.68,,,,,
400,03/31/19 03:45:00 PM,8.94,17.54,,,,,
401,03/31/19 04:00:00 PM,8.94,17.40,,,,,
402,03/31/19 04:15:00 PM,8.54,17.40,,,,,
403,03/31/19 04:30:00 PM,8.15,17.54,,,,,
404,03/31/19 04:45:00 PM,7.66,17.78,,,,,
405,03/31/19 05:00:00 PM,7.13,18.02,,,,,
406,03/31/19 05:15:00 PM,6.88,18.14,,,,,
407,03/31/19 05:30:00 PM,6.79,18.02,,,,,
408,03/31/19 05:45:00 PM,6.51,17.90,,,,,
409,03/31/19 06:00:00 PM,6.63,17.78,,,,,
410,03/31/19 06:15:00 PM,6.82,17.68,,,,,
411,03/31/19 06:30:00 PM,6.81,17.62,,,,,
412,03/31/19 06:45:00 PM,6.87,17.58,,,,,
413,03/31/19 07:00:00 PM,6.82,17.56,,,,,
414,03/31/19 07:15:00 PM,6.86,17.58,,,,,
415,03/31/19 07:30:00 PM,6.82,17.60,,,,,
416,03/31/19 07:45:00 PM,6.66,17.60,,,,,
417,03/31/19 08:00:00 PM,6.67,17.60,,,,,
418,03/31/19 08:15:00 PM,6.45,17.56,,,,,
419,03/31/19 08:30:00 PM,6.56,17.40,,,,,
420,03/31/19 08:45:00 PM,6.43,17.16,,,,,
421,03/31/19 09:00:00 PM,6.18,16.82,,,,,
422,03/31/19 09:15:00 PM,6.04,16.38,,,,,
423,03/31/19 09:30:00 PM,5.44,15.74,,,,,
424,03/31/19 09:45:00 PM,5.14,14.84,,,,,
425,03/31/19 10:00:00 PM,4.86,14.04,,,,,
426,03/31/19 10:15:00 PM,10.70,13.44,,,,,
427,03/31/19 10:30:00 PM,10.75,12.92,,,,,
428,03/31/19 10:45:00 PM,10.79,12.64,,,,,
429,03/31/19 11:00:00 PM,10.80,12.46,,,,,
430,03/31/19 11:15:00 PM,10.84,12.34,,,,,
431,03/31/19 11:30:00 PM,10.94,12.06,,,,,
432,03/31/19 11:45:00 PM,6.66,11.90,,,,,
433,04/01/19 12:00:00 AM,7.34,13.36,,,,,
434,04/01/19 12:15:00 AM,7.10,14.86,,,,,
435,04/01/19 12:30:00 AM,7.10,15.68,,,,,
436,04/01/19 12:45:00 AM,7.04,16.26,,,,,
437,04/01/19 01:00:00 AM,6.96,16.54,,,,,
438,04/01/19 01:15:00 AM,6.92,16.68,,,,,
439,04/01/19 01:30:00 AM,6.98,16.74,,,,,
440,04/01/19 01:45:00 AM,7.26,16.82,,,,,
441,04/01/19 02:00:00 AM,7.36,16.94,,,,,
442,04/01/19 02:15:00 AM,7.54,17.20,,,,,
443,04/01/19 02:30:00 AM,7.54,17.46,,,,,
444,04/01/19 02:45:00 AM,7.39,17.58,,,,,
445,04/01/19 03:00:00 AM,7.24,17.60,,,,,
446,04/01/19 03:15:00 AM,7.18,17.56,,,,,
447,04/01/19 03:30:00 AM,7.16,17.50,,,,,
448,04/01/19 03:45:00 AM,7.11,17.42,,,,,
449,04/01/19 04:00:00 AM,7.11,17.36,,,,,
450,04/01/19 04:15:00 AM,7.09,17.34,,,,,
451,04/01/19 04:30:00 AM,6.78,17.30,,,,,
452,04/01/19 04:45:00 AM,6.68,17.22,,,,,
453,04/01/19 05:00:00 AM,6.79,17.18,,,,,
454,04/01/19 05:15:00 AM,5.96,16.98,,,,,
455,04/01/19 05:30:00 AM,5.60,16.60,,,,,
456,04/01/19 05:45:00 AM,5.38,16.22,,,,,
457,04/01/19 06:00:00 AM,5.39,15.92,,,,,
458,04/01/19 06:15:00 AM,5.42,15.82,,,,,
459,04/01/19 06:30:00 AM,5.40,15.90,,,,,
460,04/01/19 06:45:00 AM,5.92,15.94,,,,,
461,04/01/19 07:00:00 AM,5.78,15.78,,,,,
