"Plot Title: 20568253"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20568253, SEN S/N: 20568253)","Temp, °C (LGR S/N: 20568253, SEN S/N: 20568253)","New Sensor Cap (LGR S/N: 20568253)","Expired Sensor Cap (LGR S/N: 20568253)","End Of File (LGR S/N: 20568253)"
87,08/21/19 09:30:00 AM,8.40,19.50,,,
88,08/21/19 09:45:00 AM,8.41,19.52,,,
89,08/21/19 10:00:00 AM,8.41,19.52,,,
90,08/21/19 10:15:00 AM,8.43,19.54,,,
91,08/21/19 10:30:00 AM,8.43,19.56,,,
92,08/21/19 10:45:00 AM,8.44,19.58,,,
93,08/21/19 11:00:00 AM,8.44,19.60,,,
94,08/21/19 11:15:00 AM,8.45,19.62,,,
95,08/21/19 11:30:00 AM,8.45,19.64,,,
96,08/21/19 11:45:00 AM,8.47,19.66,,,
97,08/21/19 12:00:00 PM,8.47,19.70,,,
98,08/21/19 12:15:00 PM,8.46,19.74,,,
99,08/21/19 12:30:00 PM,8.47,19.78,,,
100,08/21/19 12:45:00 PM,8.49,19.82,,,
101,08/21/19 01:00:00 PM,8.50,19.86,,,
102,08/21/19 01:15:00 PM,8.51,19.90,,,
103,08/21/19 01:30:00 PM,8.52,19.96,,,
104,08/21/19 01:45:00 PM,8.53,20.00,,,
105,08/21/19 02:00:00 PM,8.55,20.04,,,
106,08/21/19 02:15:00 PM,8.57,20.08,,,
107,08/21/19 02:30:00 PM,8.59,20.14,,,
108,08/21/19 02:45:00 PM,8.59,20.18,,,
109,08/21/19 03:00:00 PM,8.60,20.24,,,
110,08/21/19 03:15:00 PM,8.60,20.30,,,
111,08/21/19 03:30:00 PM,8.60,20.36,,,
112,08/21/19 03:45:00 PM,8.58,20.40,,,
113,08/21/19 04:00:00 PM,8.59,20.44,,,
114,08/21/19 04:15:00 PM,8.60,20.48,,,
115,08/21/19 04:30:00 PM,8.62,20.52,,,
116,08/21/19 04:45:00 PM,8.58,20.56,,,
117,08/21/19 05:00:00 PM,8.63,20.60,,,
118,08/21/19 05:15:00 PM,8.62,20.64,,,
119,08/21/19 05:30:00 PM,8.61,20.64,,,
120,08/21/19 05:45:00 PM,8.61,20.66,,,
121,08/21/19 06:00:00 PM,8.61,20.68,,,
122,08/21/19 06:15:00 PM,8.62,20.70,,,
123,08/21/19 06:30:00 PM,8.61,20.72,,,
124,08/21/19 06:45:00 PM,8.60,20.72,,,
125,08/21/19 07:00:00 PM,8.59,20.74,,,
126,08/21/19 07:15:00 PM,8.58,20.74,,,
127,08/21/19 07:30:00 PM,8.59,20.74,,,
128,08/21/19 07:45:00 PM,8.58,20.74,,,
129,08/21/19 08:00:00 PM,8.53,20.74,,,
130,08/21/19 08:15:00 PM,8.57,20.74,,,
131,08/21/19 08:30:00 PM,8.55,20.74,,,
132,08/21/19 08:45:00 PM,8.54,20.74,,,
133,08/21/19 09:00:00 PM,8.55,20.74,,,
134,08/21/19 09:15:00 PM,8.52,20.74,,,
135,08/21/19 09:30:00 PM,8.54,20.74,,,
136,08/21/19 09:45:00 PM,8.52,20.74,,,
137,08/21/19 10:00:00 PM,8.51,20.74,,,
138,08/21/19 10:15:00 PM,8.52,20.74,,,
139,08/21/19 10:30:00 PM,8.49,20.74,,,
140,08/21/19 10:45:00 PM,8.48,20.74,,,
141,08/21/19 11:00:00 PM,8.47,20.74,,,
142,08/21/19 11:15:00 PM,8.47,20.74,,,
143,08/21/19 11:30:00 PM,8.46,20.74,,,
144,08/21/19 11:45:00 PM,8.45,20.74,,,
145,08/22/19 12:00:00 AM,8.46,20.76,,,
146,08/22/19 12:15:00 AM,8.44,20.76,,,
147,08/22/19 12:30:00 AM,8.43,20.76,,,
148,08/22/19 12:45:00 AM,8.43,20.76,,,
149,08/22/19 01:00:00 AM,8.42,20.76,,,
150,08/22/19 01:15:00 AM,8.43,20.76,,,
151,08/22/19 01:30:00 AM,8.42,20.76,,,
152,08/22/19 01:45:00 AM,8.41,20.76,,,
153,08/22/19 02:00:00 AM,8.40,20.74,,,
154,08/22/19 02:15:00 AM,8.39,20.72,,,
155,08/22/19 02:30:00 AM,8.39,20.72,,,
156,08/22/19 02:45:00 AM,8.40,20.70,,,
157,08/22/19 03:00:00 AM,8.38,20.68,,,
158,08/22/19 03:15:00 AM,8.37,20.66,,,
159,08/22/19 03:30:00 AM,8.37,20.62,,,
160,08/22/19 03:45:00 AM,8.36,20.60,,,
161,08/22/19 04:00:00 AM,8.34,20.58,,,
162,08/22/19 04:15:00 AM,8.31,20.56,,,
163,08/22/19 04:30:00 AM,8.33,20.52,,,
164,08/22/19 04:45:00 AM,8.32,20.50,,,
165,08/22/19 05:00:00 AM,8.32,20.48,,,
166,08/22/19 05:15:00 AM,8.29,20.44,,,
167,08/22/19 05:30:00 AM,8.30,20.42,,,
168,08/22/19 05:45:00 AM,8.28,20.38,,,
169,08/22/19 06:00:00 AM,8.28,20.36,,,
170,08/22/19 06:15:00 AM,8.29,20.32,,,
171,08/22/19 06:30:00 AM,8.26,20.30,,,
172,08/22/19 06:45:00 AM,8.25,20.26,,,
173,08/22/19 07:00:00 AM,8.25,20.24,,,
174,08/22/19 07:15:00 AM,8.25,20.22,,,
175,08/22/19 07:30:00 AM,8.24,20.18,,,
176,08/22/19 07:45:00 AM,8.15,20.16,,,
177,08/22/19 08:00:00 AM,8.04,20.16,,,
178,08/22/19 08:15:00 AM,8.23,20.14,,,
179,08/22/19 08:30:00 AM,8.19,20.14,,,
180,08/22/19 08:45:00 AM,8.23,20.14,,,
181,08/22/19 09:00:00 AM,8.24,20.14,,,
182,08/22/19 09:15:00 AM,8.21,20.14,,,
183,08/22/19 09:30:00 AM,8.25,20.16,,,
184,08/22/19 09:45:00 AM,8.23,20.16,,,
185,08/22/19 10:00:00 AM,8.26,20.18,,,
186,08/22/19 10:15:00 AM,8.26,20.20,,,
187,08/22/19 10:30:00 AM,8.29,20.22,,,
188,08/22/19 10:45:00 AM,8.29,20.26,,,
189,08/22/19 11:00:00 AM,8.31,20.28,,,
190,08/22/19 11:15:00 AM,8.31,20.30,,,
191,08/22/19 11:30:00 AM,8.32,20.32,,,
192,08/22/19 11:45:00 AM,8.22,20.38,,,
193,08/22/19 12:00:00 PM,7.89,20.40,,,
194,08/22/19 12:15:00 PM,8.02,20.46,,,
195,08/22/19 12:30:00 PM,8.11,20.48,,,
196,08/22/19 12:45:00 PM,8.18,20.52,,,
197,08/22/19 01:00:00 PM,8.22,20.56,,,
198,08/22/19 01:15:00 PM,8.21,20.60,,,
199,08/22/19 01:30:00 PM,8.20,20.64,,,
200,08/22/19 01:45:00 PM,8.24,20.70,,,
201,08/22/19 02:00:00 PM,8.23,20.74,,,
202,08/22/19 02:15:00 PM,8.28,20.78,,,
203,08/22/19 02:30:00 PM,8.29,20.84,,,
204,08/22/19 02:45:00 PM,8.32,20.88,,,
205,08/22/19 03:00:00 PM,8.29,20.94,,,
206,08/22/19 03:15:00 PM,8.39,20.98,,,
207,08/22/19 03:30:00 PM,8.39,21.02,,,
208,08/22/19 03:45:00 PM,8.39,21.06,,,
209,08/22/19 04:00:00 PM,8.45,21.12,,,
210,08/22/19 04:15:00 PM,8.44,21.16,,,
211,08/22/19 04:30:00 PM,8.41,21.18,,,
212,08/22/19 04:45:00 PM,8.45,21.24,,,
213,08/22/19 05:00:00 PM,8.44,21.26,,,
214,08/22/19 05:15:00 PM,8.29,21.28,,,
215,08/22/19 05:30:00 PM,8.37,21.30,,,
216,08/22/19 05:45:00 PM,8.43,21.32,,,
217,08/22/19 06:00:00 PM,8.42,21.32,,,
218,08/22/19 06:15:00 PM,8.43,21.32,,,
219,08/22/19 06:30:00 PM,8.45,21.32,,,
220,08/22/19 06:45:00 PM,8.40,21.32,,,
221,08/22/19 07:00:00 PM,8.45,21.32,,,
222,08/22/19 07:15:00 PM,8.40,21.32,,,
223,08/22/19 07:30:00 PM,8.40,21.32,,,
224,08/22/19 07:45:00 PM,8.43,21.32,,,
225,08/22/19 08:00:00 PM,8.39,21.30,,,
226,08/22/19 08:15:00 PM,8.40,21.30,,,
227,08/22/19 08:30:00 PM,8.37,21.30,,,
228,08/22/19 08:45:00 PM,8.37,21.28,,,
229,08/22/19 09:00:00 PM,8.36,21.28,,,
230,08/22/19 09:15:00 PM,8.36,21.28,,,
231,08/22/19 09:30:00 PM,8.36,21.28,,,
232,08/22/19 09:45:00 PM,8.36,21.26,,,
233,08/22/19 10:00:00 PM,8.24,21.26,,,
234,08/22/19 10:15:00 PM,8.22,21.26,,,
235,08/22/19 10:30:00 PM,8.10,21.26,,,
236,08/22/19 10:45:00 PM,8.21,21.26,,,
237,08/22/19 11:00:00 PM,8.22,21.26,,,
238,08/22/19 11:15:00 PM,8.22,21.26,,,
239,08/22/19 11:30:00 PM,8.20,21.26,,,
240,08/22/19 11:45:00 PM,8.21,21.24,,,
241,08/23/19 12:00:00 AM,8.14,21.24,,,
242,08/23/19 12:15:00 AM,8.18,21.24,,,
243,08/23/19 12:30:00 AM,8.21,21.24,,,
244,08/23/19 12:45:00 AM,8.19,21.22,,,
245,08/23/19 01:00:00 AM,8.25,21.22,,,
246,08/23/19 01:15:00 AM,8.22,21.22,,,
247,08/23/19 01:30:00 AM,8.22,21.20,,,
248,08/23/19 01:45:00 AM,8.23,21.20,,,
249,08/23/19 02:00:00 AM,8.21,21.18,,,
250,08/23/19 02:15:00 AM,8.22,21.18,,,
251,08/23/19 02:30:00 AM,8.21,21.16,,,
252,08/23/19 02:45:00 AM,8.22,21.14,,,
253,08/23/19 03:00:00 AM,8.20,21.12,,,
254,08/23/19 03:15:00 AM,8.20,21.10,,,
255,08/23/19 03:30:00 AM,8.19,21.06,,,
256,08/23/19 03:45:00 AM,8.21,21.04,,,
257,08/23/19 04:00:00 AM,8.19,21.00,,,
258,08/23/19 04:15:00 AM,8.05,20.98,,,
259,08/23/19 04:30:00 AM,8.12,20.94,,,
260,08/23/19 04:45:00 AM,8.09,20.90,,,
261,08/23/19 05:00:00 AM,8.12,20.88,,,
262,08/23/19 05:15:00 AM,8.13,20.84,,,
263,08/23/19 05:30:00 AM,8.13,20.80,,,
264,08/23/19 05:45:00 AM,8.13,20.76,,,
265,08/23/19 06:00:00 AM,8.09,20.72,,,
266,08/23/19 06:15:00 AM,8.12,20.68,,,
267,08/23/19 06:30:00 AM,8.12,20.64,,,
268,08/23/19 06:45:00 AM,8.09,20.60,,,
269,08/23/19 07:00:00 AM,8.10,20.54,,,
270,08/23/19 07:15:00 AM,8.14,20.50,,,
271,08/23/19 07:30:00 AM,8.09,20.48,,,
272,08/23/19 07:45:00 AM,8.10,20.44,,,
273,08/23/19 08:00:00 AM,8.09,20.40,,,
274,08/23/19 08:15:00 AM,8.09,20.38,,,
275,08/23/19 08:30:00 AM,8.12,20.38,,,
276,08/23/19 08:45:00 AM,8.12,20.38,,,
277,08/23/19 09:00:00 AM,8.12,20.38,,,
278,08/23/19 09:15:00 AM,8.14,20.38,,,
279,08/23/19 09:30:00 AM,8.14,20.38,,,
280,08/23/19 09:45:00 AM,8.12,20.40,,,
281,08/23/19 10:00:00 AM,8.12,20.40,,,
282,08/23/19 10:15:00 AM,8.13,20.44,,,
283,08/23/19 10:30:00 AM,8.13,20.48,,,
284,08/23/19 10:45:00 AM,8.14,20.50,,,
285,08/23/19 11:00:00 AM,8.11,20.52,,,
286,08/23/19 11:15:00 AM,7.95,20.56,,,
287,08/23/19 11:30:00 AM,7.89,20.58,,,
288,08/23/19 11:45:00 AM,8.01,20.62,,,
289,08/23/19 12:00:00 PM,8.03,20.66,,,
290,08/23/19 12:15:00 PM,8.06,20.70,,,
291,08/23/19 12:30:00 PM,8.04,20.76,,,
292,08/23/19 12:45:00 PM,7.93,20.80,,,
293,08/23/19 01:00:00 PM,8.11,20.84,,,
294,08/23/19 01:15:00 PM,8.10,20.88,,,
295,08/23/19 01:30:00 PM,8.04,20.94,,,
296,08/23/19 01:45:00 PM,8.10,21.00,,,
297,08/23/19 02:00:00 PM,8.11,21.04,,,
298,08/23/19 02:15:00 PM,8.05,21.10,,,
299,08/23/19 02:30:00 PM,8.14,21.16,,,
300,08/23/19 02:45:00 PM,8.18,21.22,,,
301,08/23/19 03:00:00 PM,8.19,21.28,,,
302,08/23/19 03:15:00 PM,8.20,21.36,,,
303,08/23/19 03:30:00 PM,8.11,21.40,,,
304,08/23/19 03:45:00 PM,8.22,21.46,,,
305,08/23/19 04:00:00 PM,8.15,21.52,,,
306,08/23/19 04:15:00 PM,8.21,21.58,,,
307,08/23/19 04:30:00 PM,8.25,21.62,,,
308,08/23/19 04:45:00 PM,8.21,21.66,,,
309,08/23/19 05:00:00 PM,8.25,21.72,,,
310,08/23/19 05:15:00 PM,8.21,21.74,,,
311,08/23/19 05:30:00 PM,8.23,21.78,,,
312,08/23/19 05:45:00 PM,8.26,21.80,,,
313,08/23/19 06:00:00 PM,8.26,21.82,,,
314,08/23/19 06:15:00 PM,8.22,21.82,,,
315,08/23/19 06:30:00 PM,8.22,21.84,,,
316,08/23/19 06:45:00 PM,8.22,21.84,,,
317,08/23/19 07:00:00 PM,8.22,21.84,,,
318,08/23/19 07:15:00 PM,8.10,21.84,,,
319,08/23/19 07:30:00 PM,8.13,21.82,,,
320,08/23/19 07:45:00 PM,8.06,21.82,,,
321,08/23/19 08:00:00 PM,8.10,21.80,,,
322,08/23/19 08:15:00 PM,8.11,21.80,,,
323,08/23/19 08:30:00 PM,8.12,21.78,,,
324,08/23/19 08:45:00 PM,8.12,21.78,,,
325,08/23/19 09:00:00 PM,8.13,21.76,,,
326,08/23/19 09:15:00 PM,8.10,21.76,,,
327,08/23/19 09:30:00 PM,8.02,21.74,,,
328,08/23/19 09:45:00 PM,8.05,21.72,,,
329,08/23/19 10:00:00 PM,8.03,21.72,,,
330,08/23/19 10:15:00 PM,8.09,21.70,,,
331,08/23/19 10:30:00 PM,8.05,21.68,,,
332,08/23/19 10:45:00 PM,8.01,21.66,,,
333,08/23/19 11:00:00 PM,8.06,21.66,,,
334,08/23/19 11:15:00 PM,7.98,21.64,,,
335,08/23/19 11:30:00 PM,8.00,21.62,,,
336,08/23/19 11:45:00 PM,8.08,21.62,,,
337,08/24/19 12:00:00 AM,8.00,21.60,,,
338,08/24/19 12:15:00 AM,8.04,21.60,,,
339,08/24/19 12:30:00 AM,8.03,21.58,,,
340,08/24/19 12:45:00 AM,8.03,21.56,,,
341,08/24/19 01:00:00 AM,7.98,21.56,,,
342,08/24/19 01:15:00 AM,7.97,21.54,,,
343,08/24/19 01:30:00 AM,7.99,21.54,,,
344,08/24/19 01:45:00 AM,7.97,21.54,,,
345,08/24/19 02:00:00 AM,7.98,21.54,,,
346,08/24/19 02:15:00 AM,7.92,21.52,,,
347,08/24/19 02:30:00 AM,7.99,21.50,,,
348,08/24/19 02:45:00 AM,7.74,21.50,,,
349,08/24/19 03:00:00 AM,7.82,21.48,,,
350,08/24/19 03:15:00 AM,7.83,21.46,,,
351,08/24/19 03:30:00 AM,7.84,21.44,,,
352,08/24/19 03:45:00 AM,7.89,21.42,,,
353,08/24/19 04:00:00 AM,7.91,21.40,,,
354,08/24/19 04:15:00 AM,7.88,21.36,,,
355,08/24/19 04:30:00 AM,7.66,21.34,,,
356,08/24/19 04:45:00 AM,7.60,21.32,,,
357,08/24/19 05:00:00 AM,7.33,21.28,,,
358,08/24/19 05:15:00 AM,7.81,21.24,,,
359,08/24/19 05:30:00 AM,7.81,21.22,,,
360,08/24/19 05:45:00 AM,7.66,21.18,,,
361,08/24/19 06:00:00 AM,7.86,21.14,,,
362,08/24/19 06:15:00 AM,7.91,21.10,,,
363,08/24/19 06:30:00 AM,7.90,21.06,,,
364,08/24/19 06:45:00 AM,7.90,21.02,,,
365,08/24/19 07:00:00 AM,7.73,20.98,,,
366,08/24/19 07:15:00 AM,7.90,20.92,,,
367,08/24/19 07:30:00 AM,7.95,20.86,,,
368,08/24/19 07:45:00 AM,7.95,20.82,,,
369,08/24/19 08:00:00 AM,7.92,20.76,,,
370,08/24/19 08:15:00 AM,7.95,20.72,,,
371,08/24/19 08:30:00 AM,7.94,20.68,,,
372,08/24/19 08:45:00 AM,7.96,20.64,,,
373,08/24/19 09:00:00 AM,8.00,20.60,,,
374,08/24/19 09:15:00 AM,7.97,20.58,,,
375,08/24/19 09:30:00 AM,8.04,20.54,,,
376,08/24/19 09:45:00 AM,8.03,20.52,,,
377,08/24/19 10:00:00 AM,8.04,20.52,,,
378,08/24/19 10:15:00 AM,8.04,20.50,,,
379,08/24/19 10:30:00 AM,8.03,20.50,,,
380,08/24/19 10:45:00 AM,8.05,20.50,,,
381,08/24/19 11:00:00 AM,8.08,20.50,,,
382,08/24/19 11:15:00 AM,8.09,20.52,,,
383,08/24/19 11:30:00 AM,8.04,20.52,,,
384,08/24/19 11:45:00 AM,8.05,20.56,,,
385,08/24/19 12:00:00 PM,8.00,20.60,,,
386,08/24/19 12:15:00 PM,8.08,20.62,,,
387,08/24/19 12:30:00 PM,8.04,20.66,,,
388,08/24/19 12:45:00 PM,8.02,20.72,,,
389,08/24/19 01:00:00 PM,7.85,20.76,,,
390,08/24/19 01:15:00 PM,7.84,20.82,,,
391,08/24/19 01:30:00 PM,7.94,20.88,,,
392,08/24/19 01:45:00 PM,8.02,20.92,,,
393,08/24/19 02:00:00 PM,7.87,20.96,,,
394,08/24/19 02:15:00 PM,7.93,21.00,,,
395,08/24/19 02:30:00 PM,7.94,21.06,,,
396,08/24/19 02:45:00 PM,7.99,21.12,,,
397,08/24/19 03:00:00 PM,7.96,21.18,,,
398,08/24/19 03:15:00 PM,8.03,21.24,,,
399,08/24/19 03:30:00 PM,8.02,21.32,,,
400,08/24/19 03:45:00 PM,8.03,21.40,,,
401,08/24/19 04:00:00 PM,8.00,21.46,,,
402,08/24/19 04:15:00 PM,8.00,21.52,,,
403,08/24/19 04:30:00 PM,8.03,21.58,,,
404,08/24/19 04:45:00 PM,8.03,21.66,,,
405,08/24/19 05:00:00 PM,8.03,21.72,,,
406,08/24/19 05:15:00 PM,7.97,21.78,,,
407,08/24/19 05:30:00 PM,7.99,21.86,,,
408,08/24/19 05:45:00 PM,7.99,21.92,,,
409,08/24/19 06:00:00 PM,7.95,21.96,,,
410,08/24/19 06:15:00 PM,7.97,22.00,,,
411,08/24/19 06:30:00 PM,8.08,22.06,,,
412,08/24/19 06:45:00 PM,8.03,22.10,,,
413,08/24/19 07:00:00 PM,7.99,22.14,,,
414,08/24/19 07:15:00 PM,8.04,22.16,,,
415,08/24/19 07:30:00 PM,8.05,22.18,,,
416,08/24/19 07:45:00 PM,7.99,22.20,,,
417,08/24/19 08:00:00 PM,8.03,22.22,,,
418,08/24/19 08:15:00 PM,8.00,22.22,,,
419,08/24/19 08:30:00 PM,7.96,22.22,,,
420,08/24/19 08:45:00 PM,7.96,22.22,,,
421,08/24/19 09:00:00 PM,7.97,22.20,,,
422,08/24/19 09:15:00 PM,7.93,22.20,,,
423,08/24/19 09:30:00 PM,7.91,22.18,,,
424,08/24/19 09:45:00 PM,7.92,22.18,,,
425,08/24/19 10:00:00 PM,7.89,22.18,,,
426,08/24/19 10:15:00 PM,7.88,22.16,,,
427,08/24/19 10:30:00 PM,7.86,22.14,,,
428,08/24/19 10:45:00 PM,7.83,22.14,,,
429,08/24/19 11:00:00 PM,7.78,22.12,,,
430,08/24/19 11:15:00 PM,7.81,22.12,,,
431,08/24/19 11:30:00 PM,7.83,22.10,,,
432,08/24/19 11:45:00 PM,7.78,22.10,,,
433,08/25/19 12:00:00 AM,7.83,22.08,,,
434,08/25/19 12:15:00 AM,7.81,22.08,,,
435,08/25/19 12:30:00 AM,7.70,22.06,,,
436,08/25/19 12:45:00 AM,7.63,22.04,,,
437,08/25/19 01:00:00 AM,7.52,22.04,,,
438,08/25/19 01:15:00 AM,7.45,22.02,,,
439,08/25/19 01:30:00 AM,7.30,22.00,,,
440,08/25/19 01:45:00 AM,7.57,21.98,,,
441,08/25/19 02:00:00 AM,7.16,21.96,,,
442,08/25/19 02:15:00 AM,7.16,21.96,,,
443,08/25/19 02:30:00 AM,7.34,21.92,,,
444,08/25/19 02:45:00 AM,7.53,21.92,,,
445,08/25/19 03:00:00 AM,7.34,21.90,,,
446,08/25/19 03:15:00 AM,7.68,21.88,,,
447,08/25/19 03:30:00 AM,7.52,21.86,,,
448,08/25/19 03:45:00 AM,7.65,21.84,,,
449,08/25/19 04:00:00 AM,7.70,21.82,,,
450,08/25/19 04:15:00 AM,7.65,21.80,,,
451,08/25/19 04:30:00 AM,7.71,21.76,,,
452,08/25/19 04:45:00 AM,7.72,21.74,,,
453,08/25/19 05:00:00 AM,7.73,21.70,,,
454,08/25/19 05:15:00 AM,7.71,21.66,,,
455,08/25/19 05:30:00 AM,7.73,21.62,,,
456,08/25/19 05:45:00 AM,7.50,21.60,,,
457,08/25/19 06:00:00 AM,7.50,21.54,,,
458,08/25/19 06:15:00 AM,7.73,21.52,,,
459,08/25/19 06:30:00 AM,7.71,21.46,,,
460,08/25/19 06:45:00 AM,7.76,21.42,,,
461,08/25/19 07:00:00 AM,7.77,21.38,,,
462,08/25/19 07:15:00 AM,7.76,21.34,,,
463,08/25/19 07:30:00 AM,7.77,21.28,,,
464,08/25/19 07:45:00 AM,7.80,21.24,,,
465,08/25/19 08:00:00 AM,7.68,21.20,,,
466,08/25/19 08:15:00 AM,7.79,21.14,,,
467,08/25/19 08:30:00 AM,7.82,21.10,,,
468,08/25/19 08:45:00 AM,7.84,21.06,,,
469,08/25/19 09:00:00 AM,7.86,21.02,,,
470,08/25/19 09:15:00 AM,7.86,20.96,,,
471,08/25/19 09:30:00 AM,7.88,20.92,,,
472,08/25/19 09:45:00 AM,7.85,20.88,,,
473,08/25/19 10:00:00 AM,7.87,20.86,,,
474,08/25/19 10:15:00 AM,7.84,20.84,,,
475,08/25/19 10:30:00 AM,7.88,20.80,,,
476,08/25/19 10:45:00 AM,7.93,20.80,,,
477,08/25/19 11:00:00 AM,7.85,20.76,,,
478,08/25/19 11:15:00 AM,7.92,20.74,,,
479,08/25/19 11:30:00 AM,7.96,20.72,,,
480,08/25/19 11:45:00 AM,7.99,20.74,,,
481,08/25/19 12:00:00 PM,7.89,20.76,,,
482,08/25/19 12:15:00 PM,7.96,20.76,,,
483,08/25/19 12:30:00 PM,7.91,20.80,,,
484,08/25/19 12:45:00 PM,7.94,20.82,,,
485,08/25/19 01:00:00 PM,7.94,20.84,,,
486,08/25/19 01:15:00 PM,7.97,20.88,,,
487,08/25/19 01:30:00 PM,7.92,20.92,,,
488,08/25/19 01:45:00 PM,7.66,20.98,,,
