Site,Date,Method,Throws,Rope Length_m,FlowMeterBegin,FlowMeterEnd,MeshSize_Microns,RingSize_cm,Magnification,Ocular Units,Phylum,Class,Subclass,Order,Family,Genus,Species,Life Stage,Abundance,Size,Size with Tail,Notes,Qced
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,13,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,22,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,11,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,83,19.67391304,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,adult,1,38,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,adult,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,adult,1,15,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,nauplii,1,9,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,nauplii,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,nauplii,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,nauplii,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,nauplii,1,9,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,nauplii,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,nauplii,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida,adult,1,18,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoida,adult,1,18,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,47,50,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,22,30,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,27,34,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,23,30,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,30,39,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,23,30,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,60,63,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,20,28,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,26,33,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,16,23,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,38,46,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,30,36,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,17,25,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,25,31,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,47,50,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,35,40,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,52,55,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,48,55,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,30,39,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,1,22,31,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,Pulex,adult,18,31.9,38.4,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,13,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,15,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,13,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,11,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,16,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,17,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,13,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,adult,1,12.33333333,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,24,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,14,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,16,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,15,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,23,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,24,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,18,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,18,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,40,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,21,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,16,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,Simocephalus,adult,1,20.6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,8,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,9,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,8,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,8,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,9,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,15,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,7,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,13,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,14,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,8,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,8,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,1,11,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,Bosmina,adult,5,9.8,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,7,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,4,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,9,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,5,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,9,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,7,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,10,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,9,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,16,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,13,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,11,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,7,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,1,6,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,Chydorus,adult,12,8.65,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,1,24,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,1,14,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,1,12,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,1,14,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,1,9,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,1,20,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,adult,2,15.625,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,adult,1,14,,,
XSSAC,2/25/19,net throw,4,5,-,-,153,30,3,30,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,adult,1,12,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,copepidite,1,26,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,copepidite,1,30,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,copepidite,1,27,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,adult,1,82,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,adult,1,70,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,14,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,15,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,23,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,14,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,16,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,24,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,17,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,10,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,34,,,
COS-TRI,2/26/19,net throw,4,5,-,-,153,30,3,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,copepidite,1,26,,,
