Site,Date,Method,Throws,Rope Length_m,FlowMeterBegin,FlowMeterEnd,MeshSize_Microns,RingSize_cm,TotalVolume_ml,SplitFraction,Volumesubsampled_ml,Phylum,Class,Subclass,Order,Family,Genus,Species,male/female,LifeStage,abundance,Gravid_Y_N,Total_eggs,QC,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepodite,101,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,6,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,28,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,8,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,6,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,1,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,31,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,10,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,,adult,4,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphniidae,Daphniidae,,embryo,1,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,3,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Cypridopsis,cypridopsis,,adult,1,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,,adult,96,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Arachnida,acari,Hydracarina,0,0,acari,,adult,1,,,Y,
COS-BEACH,12/10/18,net throw,4,5,437969,439825,153,30,100,1,5,Arthropoda,Insecta,0,Ephemeroptera,Ephemeroptera,Ephemeroptera,ephemeroptera,,larvae,1,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepodite,18,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,9,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,36,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,14,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,1,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Alona,alona,,adult,1,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,,adult,3,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Ilyocryptidae,ilyocryptus,Ilyocryptus,,adult,2,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,,adult,179,,,Y,
COS-BEACH,12/20/18,net throw,4,5,462699,464142,153,30,200,1,2,Annelida,oligocheate,oligocheate,oligocheate,oligocheate,oligocheate,oligochaeta,,adult,1,,,Y,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepodite,5,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepodite,102,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,1,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,adult,1,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,10,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,40,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,4,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,6,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,simocephalus,,adult,11,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,29,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,13,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,11,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphniidae,daphniidae,,embryo,2,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Holopediidae,Holopediidae,holopediidae,,adult,3,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Branchipoda,0,Cladocera,Siddidae,Diaphanosoma,Diaphanosoma,,adult,2,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,1,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,rotifera,,adult,7,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,larvae,5,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Annelida,oligocheate,oligocheate,oligocheate,oligocheate,oligocheate,oligochaeta,,adult,2,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,5,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Chordata,Actinopterigyii,0,0,0,0,larvalfish,,larvae,1,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,Tardigrades,tardigrades,,adult,1,,,,
MOK-US-RR,1/17/19,net throw,4,5,-,-,153,30,100,1,30,Arthropoda,Insecta,0,Ephemeroptera,Ephemeroptera,Ephemeroptera,ephemeroptera,,larvae,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepodite,4,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepodite,96,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,2,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,adult,2,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,10,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,12,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,5,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphnia,mendotae,,adult,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,simocephalus,,adult,6,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,40,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Sididae,sida,sida,,adult,4,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,20,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Eurycercus,eurycercus,,adult,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Alona,alona,,adult,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,29,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Branchipoda,0,Cladocera,Siddidae,Diaphanosoma,Diaphanosoma,,adult,2,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,5,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Cypridopsis,cypridopsis,,adult,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,rotifera,,adult,8,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthropoda,Arachnida,acari,Hydracarina,0,0,acari,,adult,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,larvae,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,tardigrade,,adult,1,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,nematoda,,adult,2,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,3,,,,
MOK-US-RR,1/31/19,net throw,4,5,51270,52474,153,30,100,1,12,Arthopoda,Insecta,0,Odonate,Odonata,Odonata,odonata,,larvae,1,,,,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,,copepidite,2,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,Pseudodiaptoidae,,adult,1,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,,copepidite,95,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops,,adult,2,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,,adult,1,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,Cyclopoida,,nauplii,2,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,Calanoida,,nauplii,38,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Maxillopoda,Copepoda,Harpacticoida,Harpacticoida,Harpacticoida,harpacticoida,,adult,1,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,37,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia,,adult,11,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,simocephalus,,adult,12,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,15,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,21,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,4,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphniidae,Daphniidae,,embryo,6,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Scapholeberis,mucronata,,adult,2,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthropoda,Branchipoda,0,Cladocera,Ilyocryptidae,ilyocryptus,Ilyocryptus,,adult,1,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,2,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,,adult,21,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,larvae,3,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,tardigrade,,adult,2,,,Y,
SAC-FREMONT,1/17/19,net throw,4,5,32854,33254,153,30,200,1,50,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,3,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepidite,17,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,adult,2,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepidite,115,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,2,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,4,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,77,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,7,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Ceriodaphnia,ceriodaphnia,,adult,3,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Simocephalus,simocephalus,,adult,2,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,70,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Sididae,sida,sida,,adult,1,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,19,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Eurycercus,eurycercus,,adult,5,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,Chydoridae,,adult,14,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthopoda,Branchipoda,0,Cladocera,Macrothricidae,0,Streblocerus,,adult,2,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthropoda,Branchipoda,0,Cladocera,Ilyocryptidae,ilyocryptus,Ilyocryptus,,adult,4,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,1,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,,adult,85,,,Y,
COS-BEACH,1/17/19,net throw,4,5,-,-,153,30,150,1,4,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,1,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepidite,33,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,adult,10,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepidite,143,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,1,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,adult,1,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,1,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,13,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Daphnia,Daphnia,pulex,,adult,46,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,14,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,26,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydoridae,chydoridae,,adult,2,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Branchipoda,0,Cladocera,Daphniidae,Daphniidae,daphniidae,,embryo,3,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,Eucypris,,adult,1,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Arthropoda,Ostracoda,Podacopa,Podacopida,Ilyocryprididae,Ilyocypris,illyocypris,,adult,2,,,Y,
COS-TRI,1/31/19,net throw,4,5,-,-,153,30,200,1,2,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,rotifera,,adult,19,,,Y,
COS-BEACH,1/31/19,net throw,4,5,58537,59654,153,30,100,1,2,Arthropoda,Maxillopoda,Copepoda,Calanoida,Pseudodiaptoidae,Pseudodiaptoidae,pseudodiaptoidae,,copepidite,46,,,Y,
