"Plot Title: 20568251"
"#","Date Time, GMT-08:00","DO conc, mg/L (LGR S/N: 20568251, SEN S/N: 20568251)","Temp, °C (LGR S/N: 20568251, SEN S/N: 20568251)","Coupler Attached (LGR S/N: 20568251)","Host Connected (LGR S/N: 20568251)","Coupler Detached (LGR S/N: 20568251)","Stopped (LGR S/N: 20568251)","End Of File (LGR S/N: 20568251)"
30,12/09/19 06:30:00 PM,8.69,22.22,,,,,
31,12/09/19 06:45:00 PM,8.69,22.18,,,,,
32,12/09/19 07:00:00 PM,8.70,22.14,,,,,
33,12/09/19 07:15:00 PM,8.71,22.10,,,,,
34,12/09/19 07:30:00 PM,8.73,22.06,,,,,
35,12/09/19 07:45:00 PM,8.73,22.02,,,,,
36,12/09/19 08:00:00 PM,8.74,21.98,,,,,
37,12/09/19 08:15:00 PM,8.75,21.96,,,,,
38,12/09/19 08:30:00 PM,8.76,21.90,,,,,
39,12/09/19 08:45:00 PM,8.77,21.88,,,,,
40,12/09/19 09:00:00 PM,8.78,21.84,,,,,
41,12/09/19 09:15:00 PM,8.79,21.80,,,,,
42,12/09/19 09:30:00 PM,8.80,21.76,,,,,
43,12/09/19 09:45:00 PM,8.81,21.72,,,,,
44,12/09/19 10:00:00 PM,8.81,21.68,,,,,
45,12/09/19 10:15:00 PM,8.82,21.66,,,,,
46,12/09/19 10:30:00 PM,8.83,21.62,,,,,
47,12/09/19 10:45:00 PM,8.83,21.58,,,,,
48,12/09/19 11:00:00 PM,8.84,21.54,,,,,
49,12/09/19 11:15:00 PM,8.85,21.52,,,,,
50,12/09/19 11:30:00 PM,8.86,21.50,,,,,
51,12/09/19 11:45:00 PM,8.86,21.48,,,,,
52,12/10/19 12:00:00 AM,8.86,21.46,,,,,
53,12/10/19 12:15:00 AM,8.87,21.44,,,,,
54,12/10/19 12:30:00 AM,8.88,21.42,,,,,
55,12/10/19 12:45:00 AM,8.88,21.40,,,,,
56,12/10/19 01:00:00 AM,8.88,21.38,,,,,
57,12/10/19 01:15:00 AM,8.89,21.36,,,,,
58,12/10/19 01:30:00 AM,8.89,21.34,,,,,
59,12/10/19 01:45:00 AM,8.89,21.32,,,,,
60,12/10/19 02:00:00 AM,8.90,21.30,,,,,
61,12/10/19 02:15:00 AM,8.90,21.28,,,,,
62,12/10/19 02:30:00 AM,8.91,21.26,,,,,
63,12/10/19 02:45:00 AM,8.91,21.24,,,,,
64,12/10/19 03:00:00 AM,8.92,21.22,,,,,
65,12/10/19 03:15:00 AM,8.92,21.20,,,,,
66,12/10/19 03:30:00 AM,8.92,21.18,,,,,
67,12/10/19 03:45:00 AM,8.92,21.18,,,,,
68,12/10/19 04:00:00 AM,8.93,21.16,,,,,
69,12/10/19 04:15:00 AM,8.92,21.14,,,,,
70,12/10/19 04:30:00 AM,8.93,21.14,,,,,
71,12/10/19 04:45:00 AM,8.93,21.12,,,,,
72,12/10/19 05:00:00 AM,8.93,21.12,,,,,
73,12/10/19 05:15:00 AM,8.93,21.10,,,,,
74,12/10/19 05:30:00 AM,8.93,21.10,,,,,
75,12/10/19 05:45:00 AM,8.93,21.10,,,,,
76,12/10/19 06:00:00 AM,8.93,21.08,,,,,
77,12/10/19 06:15:00 AM,8.95,21.08,,,,,
78,12/10/19 06:30:00 AM,8.95,21.06,,,,,
79,12/10/19 06:45:00 AM,8.93,21.06,,,,,
80,12/10/19 07:00:00 AM,8.95,21.06,,,,,
81,12/10/19 07:15:00 AM,8.95,21.04,,,,,
82,12/10/19 07:30:00 AM,8.98,20.44,,,,,
83,12/10/19 07:45:00 AM,9.11,19.60,,,,,
84,12/10/19 08:00:00 AM,9.23,19.10,,,,,
85,12/10/19 08:15:00 AM,9.25,19.00,,,,,
86,12/10/19 08:30:00 AM,9.24,18.92,,,,,
87,12/10/19 08:45:00 AM,9.63,17.02,,,,,
88,12/10/19 09:00:00 AM,10.09,14.94,,,,,
89,12/10/19 09:15:00 AM,10.32,14.02,,,,,
90,12/10/19 09:30:00 AM,10.46,13.48,,,,,
91,12/10/19 09:45:00 AM,10.58,13.14,,,,,
92,12/10/19 10:00:00 AM,8.15,11.42,,,,,
93,12/10/19 10:15:00 AM,7.83,11.04,,,,,
94,12/10/19 10:30:00 AM,7.69,10.98,,,,,
95,12/10/19 10:45:00 AM,7.57,11.12,,,,,
96,12/10/19 11:00:00 AM,7.63,11.26,,,,,
97,12/10/19 11:15:00 AM,7.62,11.34,,,,,
98,12/10/19 11:30:00 AM,7.63,11.40,,,,,
99,12/10/19 11:45:00 AM,7.63,11.42,,,,,
100,12/10/19 12:00:00 PM,7.61,11.42,,,,,
101,12/10/19 12:15:00 PM,7.61,11.44,,,,,
102,12/10/19 12:30:00 PM,7.61,11.50,,,,,
103,12/10/19 12:45:00 PM,7.64,11.56,,,,,
104,12/10/19 01:00:00 PM,7.54,11.64,,,,,
105,12/10/19 01:15:00 PM,7.34,11.80,,,,,
106,12/10/19 01:30:00 PM,7.31,11.98,,,,,
107,12/10/19 01:45:00 PM,7.28,12.06,,,,,
108,12/10/19 02:00:00 PM,7.21,12.10,,,,,
109,12/10/19 02:15:00 PM,7.15,12.08,,,,,
110,12/10/19 02:30:00 PM,7.12,12.06,,,,,
111,12/10/19 02:45:00 PM,7.11,12.06,,,,,
112,12/10/19 03:00:00 PM,7.13,12.08,,,,,
113,12/10/19 03:15:00 PM,7.11,12.08,,,,,
114,12/10/19 03:30:00 PM,7.12,12.08,,,,,
115,12/10/19 03:45:00 PM,7.07,12.08,,,,,
116,12/10/19 04:00:00 PM,7.07,12.08,,,,,
117,12/10/19 04:15:00 PM,7.10,12.08,,,,,
118,12/10/19 04:30:00 PM,7.09,12.08,,,,,
119,12/10/19 04:45:00 PM,7.08,12.08,,,,,
120,12/10/19 05:00:00 PM,6.98,12.06,,,,,
121,12/10/19 05:15:00 PM,6.96,12.00,,,,,
122,12/10/19 05:30:00 PM,7.05,11.92,,,,,
123,12/10/19 05:45:00 PM,7.19,11.80,,,,,
124,12/10/19 06:00:00 PM,7.34,11.68,,,,,
125,12/10/19 06:15:00 PM,7.48,11.60,,,,,
126,12/10/19 06:30:00 PM,7.61,11.54,,,,,
127,12/10/19 06:45:00 PM,7.57,11.52,,,,,
128,12/10/19 07:00:00 PM,7.54,11.50,,,,,
129,12/10/19 07:15:00 PM,7.40,11.50,,,,,
130,12/10/19 07:30:00 PM,7.26,11.46,,,,,
131,12/10/19 07:45:00 PM,7.09,11.44,,,,,
132,12/10/19 08:00:00 PM,7.07,11.42,,,,,
133,12/10/19 08:15:00 PM,7.02,11.42,,,,,
134,12/10/19 08:30:00 PM,6.97,11.40,,,,,
135,12/10/19 08:45:00 PM,6.90,11.36,,,,,
136,12/10/19 09:00:00 PM,6.76,11.30,,,,,
137,12/10/19 09:15:00 PM,6.51,11.14,,,,,
138,12/10/19 09:30:00 PM,6.48,10.80,,,,,
139,12/10/19 09:45:00 PM,11.38,10.50,,,,,
140,12/10/19 10:00:00 PM,11.39,10.34,,,,,
141,12/10/19 10:15:00 PM,11.41,10.30,,,,,
142,12/10/19 10:30:00 PM,11.42,10.26,,,,,
143,12/10/19 10:45:00 PM,11.43,10.22,,,,,
144,12/10/19 11:00:00 PM,11.43,10.20,,,,,
145,12/10/19 11:15:00 PM,11.44,10.20,,,,,
146,12/10/19 11:30:00 PM,11.44,10.20,,,,,
147,12/10/19 11:45:00 PM,11.44,10.20,,,,,
148,12/11/19 12:00:00 AM,11.44,10.20,,,,,
149,12/11/19 12:15:00 AM,11.44,10.16,,,,,
150,12/11/19 12:30:00 AM,11.46,10.04,,,,,
151,12/11/19 12:45:00 AM,11.54,9.84,,,,,
152,12/11/19 01:00:00 AM,9.72,9.72,,,,,
153,12/11/19 01:15:00 AM,7.61,10.10,,,,,
154,12/11/19 01:30:00 AM,7.44,10.62,,,,,
155,12/11/19 01:45:00 AM,7.32,10.94,,,,,
156,12/11/19 02:00:00 AM,7.22,11.12,,,,,
157,12/11/19 02:15:00 AM,7.31,11.22,,,,,
158,12/11/19 02:30:00 AM,7.32,11.24,,,,,
159,12/11/19 02:45:00 AM,7.31,11.26,,,,,
160,12/11/19 03:00:00 AM,7.28,11.28,,,,,
161,12/11/19 03:15:00 AM,7.26,11.28,,,,,
162,12/11/19 03:30:00 AM,7.24,11.28,,,,,
163,12/11/19 03:45:00 AM,7.23,11.28,,,,,
164,12/11/19 04:00:00 AM,7.23,11.30,,,,,
165,12/11/19 04:15:00 AM,7.23,11.32,,,,,
166,12/11/19 04:30:00 AM,7.20,11.34,,,,,
167,12/11/19 04:45:00 AM,7.13,11.36,,,,,
168,12/11/19 05:00:00 AM,7.07,11.38,,,,,
169,12/11/19 05:15:00 AM,7.04,11.40,,,,,
170,12/11/19 05:30:00 AM,6.95,11.40,,,,,
171,12/11/19 05:45:00 AM,6.96,11.44,,,,,
172,12/11/19 06:00:00 AM,6.93,11.42,,,,,
173,12/11/19 06:15:00 AM,6.99,11.40,,,,,
174,12/11/19 06:30:00 AM,7.06,11.40,,,,,
175,12/11/19 06:45:00 AM,7.00,11.34,,,,,
176,12/11/19 07:00:00 AM,6.97,11.28,,,,,
177,12/11/19 07:15:00 AM,6.90,11.18,,,,,
178,12/11/19 07:30:00 AM,6.83,11.10,,,,,
179,12/11/19 07:45:00 AM,6.73,11.06,,,,,
180,12/11/19 08:00:00 AM,6.59,11.00,,,,,
181,12/11/19 08:15:00 AM,6.38,10.96,,,,,
182,12/11/19 08:30:00 AM,6.24,10.94,,,,,
183,12/11/19 08:45:00 AM,6.25,10.94,,,,,
184,12/11/19 09:00:00 AM,6.41,10.94,,,,,
185,12/11/19 09:15:00 AM,6.55,10.96,,,,,
186,12/11/19 09:30:00 AM,6.81,11.00,,,,,
187,12/11/19 09:45:00 AM,7.03,11.08,,,,,
188,12/11/19 10:00:00 AM,7.18,11.14,,,,,
189,12/11/19 10:15:00 AM,7.20,11.26,,,,,
190,12/11/19 10:30:00 AM,7.46,11.32,,,,,
191,12/11/19 10:45:00 AM,7.49,11.38,,,,,
192,12/11/19 11:00:00 AM,7.42,11.44,,,,,
193,12/11/19 11:15:00 AM,7.44,11.52,,,,,
194,12/11/19 11:30:00 AM,7.38,11.56,,,,,
195,12/11/19 11:45:00 AM,7.35,11.56,,,,,
196,12/11/19 12:00:00 PM,7.34,11.62,,,,,
197,12/11/19 12:15:00 PM,7.38,11.66,,,,,
198,12/11/19 12:30:00 PM,7.41,11.70,,,,,
199,12/11/19 12:45:00 PM,7.39,11.72,,,,,
200,12/11/19 01:00:00 PM,7.37,11.74,,,,,
201,12/11/19 01:15:00 PM,7.27,11.82,,,,,
202,12/11/19 01:30:00 PM,7.06,11.92,,,,,
203,12/11/19 01:45:00 PM,6.98,11.98,,,,,
204,12/11/19 02:00:00 PM,6.92,12.00,,,,,
205,12/11/19 02:15:00 PM,6.85,12.00,,,,,
206,12/11/19 02:30:00 PM,6.81,11.98,,,,,
207,12/11/19 02:45:00 PM,6.78,11.96,,,,,
208,12/11/19 03:00:00 PM,6.78,11.96,,,,,
209,12/11/19 03:15:00 PM,6.77,11.98,,,,,
210,12/11/19 03:30:00 PM,6.77,11.98,,,,,
211,12/11/19 03:45:00 PM,6.77,11.98,,,,,
212,12/11/19 04:00:00 PM,6.76,11.98,,,,,
213,12/11/19 04:15:00 PM,6.72,11.98,,,,,
214,12/11/19 04:30:00 PM,6.65,11.98,,,,,
215,12/11/19 04:45:00 PM,6.62,12.00,,,,,
216,12/11/19 05:00:00 PM,6.63,12.00,,,,,
217,12/11/19 05:15:00 PM,6.71,12.00,,,,,
218,12/11/19 05:30:00 PM,6.74,12.00,,,,,
219,12/11/19 05:45:00 PM,6.74,11.98,,,,,
220,12/11/19 06:00:00 PM,6.80,11.96,,,,,
221,12/11/19 06:15:00 PM,6.76,11.94,,,,,
222,12/11/19 06:30:00 PM,6.74,11.90,,,,,
223,12/11/19 06:45:00 PM,6.81,11.86,,,,,
224,12/11/19 07:00:00 PM,6.85,11.84,,,,,
225,12/11/19 07:15:00 PM,6.94,11.82,,,,,
226,12/11/19 07:30:00 PM,6.96,11.80,,,,,
227,12/11/19 07:45:00 PM,6.90,11.82,,,,,
228,12/11/19 08:00:00 PM,6.86,11.82,,,,,
229,12/11/19 08:15:00 PM,6.79,11.80,,,,,
230,12/11/19 08:30:00 PM,6.63,11.80,,,,,
231,12/11/19 08:45:00 PM,6.53,11.78,,,,,
232,12/11/19 09:00:00 PM,6.51,11.78,,,,,
233,12/11/19 09:15:00 PM,6.45,11.76,,,,,
234,12/11/19 09:30:00 PM,6.18,11.74,,,,,
235,12/11/19 09:45:00 PM,5.85,11.70,,,,,
236,12/11/19 10:00:00 PM,5.60,11.64,,,,,
237,12/11/19 10:15:00 PM,5.41,11.48,,,,,
238,12/11/19 10:30:00 PM,11.13,11.24,,,,,
239,12/11/19 10:45:00 PM,11.16,11.10,,,,,
240,12/11/19 11:00:00 PM,11.16,11.08,,,,,
241,12/11/19 11:15:00 PM,11.15,11.06,,,,,
242,12/11/19 11:30:00 PM,11.15,11.08,,,,,
243,12/11/19 11:45:00 PM,11.15,11.10,,,,,
244,12/12/19 12:00:00 AM,11.15,11.06,,,,,
245,12/12/19 12:15:00 AM,11.16,11.04,,,,,
246,12/12/19 12:30:00 AM,11.15,11.02,,,,,
247,12/12/19 12:45:00 AM,11.16,11.02,,,,,
248,12/12/19 01:00:00 AM,11.16,11.04,,,,,
249,12/12/19 01:15:00 AM,11.16,11.04,,,,,
250,12/12/19 01:30:00 AM,11.15,11.06,,,,,
251,12/12/19 01:45:00 AM,7.15,11.10,,,,,
252,12/12/19 02:00:00 AM,7.23,11.28,,,,,
253,12/12/19 02:15:00 AM,7.28,11.42,,,,,
254,12/12/19 02:30:00 AM,7.19,11.50,,,,,
255,12/12/19 02:45:00 AM,7.17,11.56,,,,,
256,12/12/19 03:00:00 AM,7.16,11.58,,,,,
257,12/12/19 03:15:00 AM,7.16,11.60,,,,,
258,12/12/19 03:30:00 AM,7.15,11.62,,,,,
259,12/12/19 03:45:00 AM,7.13,11.62,,,,,
260,12/12/19 04:00:00 AM,7.12,11.62,,,,,
261,12/12/19 04:15:00 AM,7.09,11.64,,,,,
262,12/12/19 04:30:00 AM,7.08,11.64,,,,,
263,12/12/19 04:45:00 AM,7.11,11.66,,,,,
264,12/12/19 05:00:00 AM,7.12,11.68,,,,,
265,12/12/19 05:15:00 AM,7.11,11.74,,,,,
266,12/12/19 05:30:00 AM,7.08,11.80,,,,,
267,12/12/19 05:45:00 AM,7.00,11.84,,,,,
268,12/12/19 06:00:00 AM,6.90,11.86,,,,,
269,12/12/19 06:15:00 AM,6.86,11.90,,,,,
270,12/12/19 06:30:00 AM,6.82,11.92,,,,,
271,12/12/19 06:45:00 AM,6.84,11.92,,,,,
272,12/12/19 07:00:00 AM,6.80,11.90,,,,,
273,12/12/19 07:15:00 AM,6.82,11.88,,,,,
274,12/12/19 07:30:00 AM,6.83,11.80,,,,,
275,12/12/19 07:45:00 AM,6.82,11.74,,,,,
276,12/12/19 08:00:00 AM,6.77,11.70,,,,,
277,12/12/19 08:15:00 AM,6.74,11.66,,,,,
278,12/12/19 08:30:00 AM,6.67,11.64,,,,,
279,12/12/19 08:45:00 AM,6.58,11.64,,,,,
280,12/12/19 09:00:00 AM,6.50,11.62,,,,,
281,12/12/19 09:15:00 AM,6.46,11.64,,,,,
282,12/12/19 09:30:00 AM,6.46,11.68,,,,,
283,12/12/19 09:45:00 AM,6.51,11.72,,,,,
284,12/12/19 10:00:00 AM,6.66,11.78,,,,,
285,12/12/19 10:15:00 AM,6.85,11.86,,,,,
286,12/12/19 10:30:00 AM,7.08,11.96,,,,,
287,12/12/19 10:45:00 AM,7.18,12.10,,,,,
288,12/12/19 11:00:00 AM,7.13,12.24,,,,,
289,12/12/19 11:15:00 AM,7.54,12.36,,,,,
290,12/12/19 11:30:00 AM,7.82,12.42,,,,,
291,12/12/19 11:45:00 AM,7.86,12.52,,,,,
292,12/12/19 12:00:00 PM,8.00,12.60,,,,,
293,12/12/19 12:15:00 PM,7.96,12.64,,,,,
294,12/12/19 12:30:00 PM,7.77,12.62,,,,,
295,12/12/19 12:45:00 PM,7.58,12.52,,,,,
296,12/12/19 01:00:00 PM,7.63,12.44,,,,,
297,12/12/19 01:15:00 PM,7.52,12.46,,,,,
298,12/12/19 01:30:00 PM,7.56,12.48,,,,,
299,12/12/19 01:45:00 PM,7.45,12.52,,,,,
300,12/12/19 02:00:00 PM,7.04,12.58,,,,,
301,12/12/19 02:15:00 PM,6.97,12.56,,,,,
302,12/12/19 02:30:00 PM,6.88,12.52,,,,,
303,12/12/19 02:45:00 PM,6.79,12.44,,,,,
304,12/12/19 03:00:00 PM,6.74,12.40,,,,,
305,12/12/19 03:15:00 PM,6.71,12.38,,,,,
306,12/12/19 03:30:00 PM,6.70,12.38,,,,,
307,12/12/19 03:45:00 PM,6.72,12.40,,,,,
308,12/12/19 04:00:00 PM,6.70,12.40,,,,,
309,12/12/19 04:15:00 PM,6.66,12.40,,,,,
310,12/12/19 04:30:00 PM,6.65,12.42,,,,,
311,12/12/19 04:45:00 PM,6.64,12.42,,,,,
312,12/12/19 05:00:00 PM,6.62,12.42,,,,,
313,12/12/19 05:15:00 PM,6.54,12.44,,,,,
314,12/12/19 05:30:00 PM,6.46,12.48,,,,,
315,12/12/19 05:45:00 PM,6.65,12.50,,,,,
316,12/12/19 06:00:00 PM,6.84,12.64,,,,,
317,12/12/19 06:15:00 PM,6.76,12.76,,,,,
318,12/12/19 06:30:00 PM,6.76,12.82,,,,,
319,12/12/19 06:45:00 PM,6.75,12.88,,,,,
320,12/12/19 07:00:00 PM,6.70,12.94,,,,,
321,12/12/19 07:15:00 PM,6.67,12.92,,,,,
322,12/12/19 07:30:00 PM,6.73,12.90,,,,,
323,12/12/19 07:45:00 PM,6.73,12.88,,,,,
324,12/12/19 08:00:00 PM,6.75,12.86,,,,,
325,12/12/19 08:15:00 PM,6.72,12.82,,,,,
326,12/12/19 08:30:00 PM,6.64,12.80,,,,,
327,12/12/19 08:45:00 PM,6.56,12.76,,,,,
328,12/12/19 09:00:00 PM,6.46,12.72,,,,,
329,12/12/19 09:15:00 PM,6.31,12.68,,,,,
330,12/12/19 09:30:00 PM,6.13,12.62,,,,,
331,12/12/19 09:45:00 PM,5.96,12.56,,,,,
332,12/12/19 10:00:00 PM,5.85,12.52,,,,,
333,12/12/19 10:15:00 PM,5.61,12.44,,,,,
334,12/12/19 10:30:00 PM,5.36,12.36,,,,,
335,12/12/19 10:45:00 PM,5.19,12.30,,,,,
336,12/12/19 11:00:00 PM,10.85,12.30,,,,,
337,12/12/19 11:15:00 PM,10.84,12.44,,,,,
338,12/12/19 11:30:00 PM,10.80,12.54,,,,,
339,12/12/19 11:45:00 PM,10.78,12.50,,,,,
340,12/13/19 12:00:00 AM,10.83,12.30,,,,,
341,12/13/19 12:15:00 AM,10.84,12.26,,,,,
342,12/13/19 12:30:00 AM,10.83,12.34,,,,,
343,12/13/19 12:45:00 AM,10.82,12.42,,,,,
344,12/13/19 01:00:00 AM,10.80,12.48,,,,,
345,12/13/19 01:15:00 AM,10.77,12.54,,,,,
346,12/13/19 01:30:00 AM,10.77,12.58,,,,,
347,12/13/19 01:45:00 AM,10.77,12.58,,,,,
348,12/13/19 02:00:00 AM,10.77,12.56,,,,,
349,12/13/19 02:15:00 AM,10.76,12.54,,,,,
350,12/13/19 02:30:00 AM,8.67,12.50,,,,,
351,12/13/19 02:45:00 AM,6.70,12.42,,,,,
352,12/13/19 03:00:00 AM,6.79,12.34,,,,,
353,12/13/19 03:15:00 AM,6.87,12.32,,,,,
354,12/13/19 03:30:00 AM,6.89,12.32,,,,,
355,12/13/19 03:45:00 AM,6.85,12.32,,,,,
356,12/13/19 04:00:00 AM,6.85,12.34,,,,,
357,12/13/19 04:15:00 AM,6.83,12.34,,,,,
358,12/13/19 04:30:00 AM,6.81,12.34,,,,,
359,12/13/19 04:45:00 AM,6.79,12.36,,,,,
360,12/13/19 05:00:00 AM,6.74,12.34,,,,,
361,12/13/19 05:15:00 AM,6.70,12.36,,,,,
362,12/13/19 05:30:00 AM,6.68,12.36,,,,,
363,12/13/19 05:45:00 AM,6.70,12.38,,,,,
364,12/13/19 06:00:00 AM,6.74,12.40,,,,,
365,12/13/19 06:15:00 AM,6.65,12.42,,,,,
366,12/13/19 06:30:00 AM,6.54,12.42,,,,,
367,12/13/19 06:45:00 AM,6.47,12.44,,,,,
368,12/13/19 07:00:00 AM,6.42,12.44,,,,,
369,12/13/19 07:15:00 AM,6.41,12.48,,,,,
370,12/13/19 07:30:00 AM,6.47,12.50,,,,,
371,12/13/19 07:45:00 AM,6.57,12.50,,,,,
372,12/13/19 08:00:00 AM,6.66,12.50,,,,,
373,12/13/19 08:15:00 AM,6.61,12.48,,,,,
374,12/13/19 08:30:00 AM,6.58,12.46,,,,,
375,12/13/19 08:45:00 AM,6.51,12.42,,,,,
376,12/13/19 09:00:00 AM,6.39,12.38,,,,,
377,12/13/19 09:15:00 AM,6.29,12.38,,,,,
378,12/13/19 09:30:00 AM,6.23,12.36,,,,,
379,12/13/19 09:45:00 AM,6.13,12.36,,,,,
380,12/13/19 10:00:00 AM,6.03,12.38,,,,,
381,12/13/19 10:15:00 AM,6.02,12.40,,,,,
382,12/13/19 10:30:00 AM,6.01,12.42,,,,,
383,12/13/19 10:45:00 AM,6.09,12.44,,,,,
384,12/13/19 11:00:00 AM,6.14,12.48,,,,,
385,12/13/19 11:15:00 AM,6.17,12.52,,,,,
386,12/13/19 11:30:00 AM,6.10,12.58,,,,,
387,12/13/19 11:45:00 AM,6.34,12.60,,,,,
388,12/13/19 12:00:00 PM,6.43,12.62,,,,,
389,12/13/19 12:15:00 PM,6.42,12.66,,,,,
390,12/13/19 12:30:00 PM,6.62,12.66,,,,,
391,12/13/19 12:45:00 PM,6.70,12.66,,,,,
392,12/13/19 01:00:00 PM,6.75,12.66,,,,,
393,12/13/19 01:15:00 PM,6.82,12.70,,,,,
394,12/13/19 01:30:00 PM,6.88,12.72,,,,,
395,12/13/19 01:45:00 PM,6.94,12.74,,,,,
396,12/13/19 02:00:00 PM,7.03,12.78,,,,,
397,12/13/19 02:15:00 PM,7.02,12.80,,,,,
398,12/13/19 02:30:00 PM,6.96,12.82,,,,,
399,12/13/19 02:45:00 PM,6.90,12.80,,,,,
400,12/13/19 03:00:00 PM,6.81,12.74,,,,,
401,12/13/19 03:15:00 PM,6.66,12.68,,,,,
402,12/13/19 03:30:00 PM,6.54,12.60,,,,,
403,12/13/19 03:45:00 PM,6.46,12.56,,,,,
404,12/13/19 04:00:00 PM,6.43,12.56,,,,,
405,12/13/19 04:15:00 PM,6.39,12.56,,,,,
406,12/13/19 04:30:00 PM,6.38,12.56,,,,,
407,12/13/19 04:45:00 PM,6.30,12.56,,,,,
408,12/13/19 05:00:00 PM,6.24,12.58,,,,,
409,12/13/19 05:15:00 PM,6.18,12.58,,,,,
410,12/13/19 05:30:00 PM,6.23,12.58,,,,,
411,12/13/19 05:45:00 PM,6.33,12.58,,,,,
412,12/13/19 06:00:00 PM,6.19,12.60,,,,,
413,12/13/19 06:15:00 PM,6.39,12.64,,,,,
414,12/13/19 06:30:00 PM,6.40,12.60,,,,,
415,12/13/19 06:45:00 PM,6.35,12.62,,,,,
416,12/13/19 07:00:00 PM,6.30,12.66,,,,,
417,12/13/19 07:15:00 PM,6.28,12.68,,,,,
418,12/13/19 07:30:00 PM,6.28,12.68,,,,,
419,12/13/19 07:45:00 PM,6.18,12.68,,,,,
420,12/13/19 08:00:00 PM,6.15,12.68,,,,,
421,12/13/19 08:15:00 PM,6.20,12.68,,,,,
422,12/13/19 08:30:00 PM,6.24,12.68,,,,,
423,12/13/19 08:45:00 PM,6.27,12.66,,,,,
424,12/13/19 09:00:00 PM,4.53,12.66,,,,,
425,12/13/19 09:15:00 PM,6.32,12.64,,,,,
426,12/13/19 09:30:00 PM,6.21,12.62,,,,,
427,12/13/19 09:45:00 PM,6.10,12.60,,,,,
428,12/13/19 10:00:00 PM,5.95,12.58,,,,,
429,12/13/19 10:15:00 PM,4.69,12.54,,,,,
430,12/13/19 10:30:00 PM,5.68,12.52,,,,,
431,12/13/19 10:45:00 PM,5.65,12.46,,,,,
432,12/13/19 11:00:00 PM,5.53,12.38,,,,,
433,12/13/19 11:15:00 PM,5.37,12.24,,,,,
434,12/13/19 11:30:00 PM,5.29,11.96,,,,,
435,12/13/19 11:45:00 PM,10.93,11.68,,,,,
436,12/14/19 12:00:00 AM,10.95,11.64,,,,,
437,12/14/19 12:15:00 AM,10.97,11.54,,,,,
438,12/14/19 12:30:00 AM,11.00,11.40,,,,,
439,12/14/19 12:45:00 AM,11.06,11.18,,,,,
440,12/14/19 01:00:00 AM,11.10,10.96,,,,,
441,12/14/19 01:15:00 AM,11.17,10.72,,,,,
442,12/14/19 01:30:00 AM,11.18,10.68,,,,,
443,12/14/19 01:45:00 AM,11.22,10.58,,,,,
444,12/14/19 02:00:00 AM,11.26,10.46,,,,,
445,12/14/19 02:15:00 AM,11.32,10.26,,,,,
446,12/14/19 02:30:00 AM,11.36,10.08,,,,,
447,12/14/19 02:45:00 AM,11.40,9.92,,,,,
448,12/14/19 03:00:00 AM,11.46,9.76,,,,,
449,12/14/19 03:15:00 AM,7.75,9.88,,,,,
450,12/14/19 03:30:00 AM,7.61,10.72,,,,,
451,12/14/19 03:45:00 AM,7.51,11.32,,,,,
452,12/14/19 04:00:00 AM,7.37,11.76,,,,,
453,12/14/19 04:15:00 AM,7.36,11.96,,,,,
