SampleID,Site,Date,Type_of_Sample,Filter_Y/N,Volume_Filtered_ml,Repetition,Tin_Capsulse_g,Tin_and_Filter_g,Filter_g,Filter_mg,Zooplankton_SIA_ID_Number,Bulk/Species,Sample_Composition,Fish_Photo_ID,Pit_Tag,Fish_Number,End_Fork_Length_mm,End_Weight_g,Cage_No,Type_of_Veg,Amount_(mg) ,Tray_Name,Well_ID,Analysis,Enriched? ,?13CVPDB (‰),Total C (µg),C Comment,?15NAir (‰),Total N (µg),N Comment,Internal ID,Analysis Number,Mass Spec
Knaggs 2/12/19 #32,Knaggs,2019-02-12,Zooplankton ,N,,,,,,,32,Ostracods,SIA,,,,,,,,1.8,DRKCBN 6/17/19,B4,"13C, 15N",No,-28.76850568,407.6873603,,7.835283995,81.69883488,,1621220,374735,D
Knaggs 2/12/19 #34,Knaggs,2019-02-12,Zooplankton ,N,,,,,,,34,Bulk,"10% Pulex, 40% Cladoceran, 30% Acantho, 15% Pseudo, 5% Ostracod; SIA",,,,,,,,1.7,DRKCBN 6/17/19,B5,"13C, 15N",No,-30.46593143,481.5919451,,7.324012123,71.63554302,,1621221,374736,D
Cos Tri 2/13/19 #36,CosTri,2019-02-13,Zooplankton ,N,,,,,,,36,Bulk,"30% Pulex, 50% Bosmina, 15% Acantho, 5% Other; SIA",,,,,,,,1,DRKCBN 6/17/19,B6,"13C, 15N",No,-33.42794077,347.5218844,,8.680035664,74.15250438,,1621222,374737,D
Wendells 2/13/19 #38,Wendells,2019-02-13,Zooplankton ,N,,,,,,,38,Bulk,"40% Acantho, 20% Pseudo, 20% Pulex, 15% Other Cladoceran; SIA",,,,,,,,1.4,DRKCBN 6/17/19,B7,"13C, 15N",No,-33.49894437,643.3369643,,8.939286671,132.904135,,1621223,374738,D
Cos Beach2/14/19 #40,CosBeach,2019-02-14,Zooplankton ,N,,,,,,,40,Bulk,"50% Acantho, 20% Pseudo, 30% Cladoceran; SIA",,,,,,,,1.1,DRKCBN 6/17/19,B8,"13C, 15N",No,-32.90370066,498.0249346,,7.913436249,99.63879651,,1621224,374739,D
Luco 2/1919 #43,Luco,2019-02-19,Zooplankton ,N,,,,,,,43,Magna,SIA,,,,,,,,1.7,DRKCBN 6/17/19,B9,"13C, 15N",No,-30.51601214,344.7882225,,5.408119586,66.2394988,,1621225,374740,D
XSSAC 2/25/19 #45,XSSAC,2019-02-25,Zooplankton ,N,,,,,,,45,Pulex,SIA,,,,,,,,1,DRKCBN 6/17/19,B10,"13C, 15N",No,-31.57167577,380.3335086,,4.973517891,79.90270906,,1621226,374741,D
Cos Tri 2/26/19 #51,CosTri,2019-02-26,Zooplankton ,N,,,,,,,51,Bulk,"30% Pulex, 50% Acantho, 20% Pseudo; SIA",,,,,,,,1.8,DRKCBN 6/17/19,B11,"13C, 15N",No,-33.32915546,830.1801408,,9.642887552,187.6940998,,1621227,374742,D
Knaggs 6 2/26/19 #52,Knaggs,2019-02-26,Zooplankton ,N,,,,,,,52,Bulk,"30% Pulex, 10% Other Cladoceran, 40% Acantho, 15% Pseudo, 5% Ostracod; SIA",,,,,,,,0.4,DRKCBN 6/17/19,B12,"13C, 15N",No,-30.53494005,183.9492369,,7.197643965,40.6509367,,1621228,374743,D
Wendells 2/26/19 #54,Wendells,2019-02-26,Zooplankton ,N,,,,,,,54,Bulk,"40% Pulex, 40% Acantho, 10% Pseudo, 5% Bosmina, 5% Ostracod; SIA",,,,,,,,1.5,DRKCBN 6/17/19,C1,"13C, 15N",No,-30.54119269,596.6973139,,8.720208979,134.3318975,,1621229,374749,D
Cos Beach2/27/19 #57,CosBeach,2019-02-27,Zooplankton ,N,,,,,,,57,Bulk,"50% Pulex, 50% Acantho; SIA",,,,,,,,1.4,DRKCBN 6/17/19,C2,"13C, 15N",No,-32.99884582,657.0599243,,8.476925627,138.2569665,,1621230,374750,D
Cos Beach2/27/19 #58,CosBeach,2019-02-27,Zooplankton ,N,,,,,,,58,Pulex,SIA,,,,,,,,1.4,DRKCBN 6/17/19,C3,"13C, 15N",No,-33.95829396,717.4701937,,7.099151068,152.1580193,,1621231,374751,D
BMarsh 2/28/19 #59,BabyMarsh,2019-02-28,Zooplankton ,N,,,,,,,59,Pulex,SIA,,,,,,,,1.7,DRKCBN 6/17/19,C4,"13C, 15N",No,-31.93301122,717.4701937,,6.169128643,141.4669927,,1621232,374752,D
BMarsh  2/28/19 #61,BabyMarsh,2019-02-28,Zooplankton ,N,,,,,,,61,Bulk,"90% Pulex, 8% Acantho, 2% Ceriodaphnia; SIA",,,,,,,,1.7,DRKCBN 6/17/19,C5,"13C, 15N",No,-31.68818738,921.0181335,,6.272956877,179.1795659,,1621233,374753,D
Cos Beach3/14/19 #68,CosBeach,2019-03-14,Zooplankton ,N,,,,,,,68,Pulex,SIA,,,,,,,,0.8,DRKCBN 6/17/19,C6,"13C, 15N",No,-34.4622673,394.0092036,,6.867902388,83.49457349,,1621234,374754,D
Wendells 3/26/19 #77,Wendells,2019-03-26,Zooplankton ,N,,,,,,,77,Bulk,"40% Acantho, 30% Pseudo, 15% Ceriodaphnia, 7% Pulex, 8% Other Cladoceran; SIA",,,,,,,,1.9,DRKCBN 6/17/19,C7,"13C, 15N",No,-32.58901232,863.1997311,,9.828451038,193.7198303,,1621235,374755,D
Mok USRR 3/26/19 #79,MokUSRR,2019-03-26,Zooplankton ,N,,,,,,,79,Bulk,"75% Cerdiodaphnia, 10% Pulex, 5% Simo, 8% Acantho, 2% Pseudo; SIA",,,,,,,,1.7,DRKCBN 6/17/19,C8,"13C, 15N",No,-31.29314872,632.3603687,,4.927442462,136.4730765,,1621236,374756,D
Cos Beach3/26/19 #82,CosBeach,2019-03-26,Zooplankton ,N,,,,,,,82,Bulk,"25% Pulex, 50% Acantho, 15% Pseudo, 10% Other Cladoceran; SIA",,,,,,,,1.5,DRKCBN 6/17/19,C9,"13C, 15N",No,-32.20342735,728.4589994,,8.898628065,156.4305268,,1621237,374757,D
Knaggs 3/27/19 #84 ,Knaggs,2019-03-27,Zooplankton ,N,,,,,,,84,Bulk,"60% Ceriodaphnia, 20% Pulex, 5% Simo, 10% Acantho, 5% Other; SIA",,,,,,,,1.8,DRKCBN 6/17/19,C10,"13C, 15N",No,-35.04176503,610.4119041,,8.876943695,128.2621954,,1621238,374758,D
BMarsh 3/27/19 #86,BabyMarsh,2019-03-27,Zooplankton ,N,,,,,,,86,Bulk,"60% Acantho, 30% Pulex, 10% Pseudo; SIA",,,,,,,,1.9,DRKCBN 6/17/19,C11,"13C, 15N",No,-33.23307233,808.1749581,,8.789774316,180.5992744,,1621239,374759,D
BMarsh 4/9/19 #88,BabyMarsh,2019-04-09,Zooplankton ,N,,,,,,,88,Bulk,"97% Acantho, 1% Pulex, 1% Chydoridae, 1% Other; SIA",,,,,,,,1.3,DRKCBN 6/17/19,C12,"13C, 15N",No,-32.31055948,539.1229172,,8.85140983,125.4043162,,1621240,374760,D
Knaggs 6 4/10/19 #89,Knaggs,2019-04-10,Zooplankton ,N,,,,,,,89,Bulk,"60% Chydorus, 40% Pulex; SIA",,,,,,,,1.2,DRKCBN 6/17/19,D1,"13C, 15N",No,-34.43984079,552.8271681,,11.13712412,111.1000512,,1621241,374764,D
Knaggs 6 4/10/19 #91,Knaggs,2019-04-10,Zooplankton ,N,,,,,,,91,Pulex,SIA,,,,,,,,1.1,DRKCBN 6/17/19,D2,"13C, 15N",No,-35.78418227,511.7218004,,11.08562937,103.9386256,,1621242,374765,D
Cos Tri 2379,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2379,,,71,4.09,1,,1.6,DRKCBN 6/17/19,D3,"13C, 15N",No,-24.89746089,654.3151354,,11.21113117,199.7410846,,1621243,374766,D
Cos Tri 2378,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2378,,,67,3.27,1,,0.9,DRKCBN 6/17/19,D4,"13C, 15N",No,-25.19451208,454.2115068,,11.00131284,133.2610988,,1621244,374767,D
Knaggs 2401,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2401,,,83,6.64,1,,1.4,DRKCBN 6/17/19,D5,"13C, 15N",No,-28.06158546,657.0599243,,10.76254316,191.9480213,,1621245,374768,D
Cos Tri 2380,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2380,,,68,3.06,1,,1.5,DRKCBN 6/17/19,D6,"13C, 15N",No,-24.5474626,863.1997311,,11.36221823,258.3016086,,1621246,374769,D
Knaggs 2405,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2402,,,79,5.12,1,,1.4,DRKCBN 6/17/19,D7,"13C, 15N",No,-28.15829191,602.1828546,,10.84878728,183.0831681,,1621247,374770,D
Cos Tri 2381,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2381,,,71,4.02,1,,1.9,DRKCBN 6/17/19,D8,"13C, 15N",No,-23.68556063,783.4266604,,11.00599762,237.5368176,,1621248,374771,D
Cos Beach 2447,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2447,,,74,4.18,2,,1.6,DRKCBN 6/17/19,D9,"13C, 15N",No,-26.80735524,687.2591016,,11.08429095,211.0630675,,1621249,374772,D
Cos Beach 2446,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2446,,,70,3.77,2,,1.8,DRKCBN 6/17/19,D10,"13C, 15N",No,-27.65388789,797.17473,,10.81791869,233.3068722,,1621250,374773,D
Cos Beach 2445,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2445,,,70,3.48,2,,1.6,DRKCBN 6/17/19,D11,"13C, 15N",No,-26.76000477,722.9643996,,10.64194754,216.0114477,,1621251,374774,D
Cos Beach 2444,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2444,,,65,3.3,2,,1.6,DRKCBN 6/17/19,D12,"13C, 15N",No,-25.70113367,651.5704449,,10.90185875,193.3654995,,1621252,374775,D
Cos Beach 2443,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2443,,,65,2.88,2,,1.4,DRKCBN 6/17/19,E1,"13C, 15N",No,-26.5150292,550.086121,,11.02096646,165.3244208,,1621253,374781,D
Cos Beach 2442,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2442,,,65,2442,2,,1.5,DRKCBN 6/17/19,E2,"13C, 15N",No,-27.29373632,673.5307258,,10.75694651,201.1571998,,1621254,374782,D
Cos Beach 2441,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2441,,,65,3.72,1,,1.6,DRKCBN 6/17/19,E3,"13C, 15N",No,-25.94480842,750.4413373,,10.97169314,232.6016645,,1621255,374783,D
Cos Beach 2440,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2440,,,66,3.17,1,,1.9,DRKCBN 6/17/19,E4,"13C, 15N",No,-25.5965715,843.9365802,,10.88907957,247.7499778,,1621256,374784,D
Cos Beach 2439,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2439,,,66,3.22,1,,1.7,DRKCBN 6/17/19,E5,"13C, 15N",No,-25.10464555,772.4299772,,11.06539512,230.4856695,,1621257,374785,D
Cos Beach 2438,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2438,,,69,3.8,1,,1.6,DRKCBN 6/17/19,E6,"13C, 15N",No,-25.4205457,747.6932004,,10.94754492,222.722251,,1621258,374786,D
Cos Beach 2437,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2437,,,68,3.58,1,,1.8,DRKCBN 6/17/19,E7,"13C, 15N",No,-26.30260114,786.1760774,,10.96453935,242.1167416,,1621259,374787,D
Cos Beach 2436,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2436,,,66,3.86,1,,1.4,DRKCBN 6/17/19,E8,"13C, 15N",No,-25.94491307,670.7853461,,10.94472034,205.0502389,,1621260,374788,D
Cos Beach 2435,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2435,,,64,3.55,1,,1.8,DRKCBN 6/17/19,E9,"13C, 15N",No,-26.41897526,780.6773419,,10.79597979,240.707813,,1621261,374789,D
Cos Beach 2434,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2434,,,66,3.45,1,,1.4,DRKCBN 6/17/19,E10,"13C, 15N",No,-25.67593554,632.3603687,,10.81980875,193.3654995,,1621262,374790,D
Cos Beach 2433,CosBeach,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2433,,,75,4.54,1,,1.7,DRKCBN 6/17/19,E11,"13C, 15N",No,-26.4445226,764.1834987,,10.76930686,235.7746114,,1621263,374791,D
MOK-USRR 2432,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2432,,,62,2.33,2,,1.8,DRKCBN 6/17/19,E12,"13C, 15N",No,-23.05534795,813.675663,,10.37500141,247.3980167,,1621264,374792,D
MOK-USRR 2431,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2431,,,63,2.2,2,,1.8,DRKCBN 6/17/19,F1,"13C, 15N",No,-23.02855387,808.1749581,,10.21958609,243.1732754,,1621265,374796,D
MOK-USRR 2430,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2430,,,61,2.25,2,,1.6,DRKCBN 6/17/19,F2,"13C, 15N",No,-22.89664059,747.6932004,,10.04403539,222.722251,,1621266,374797,D
MOK-USRR 2429,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2429,,,62,2.31,2,,1.5,DRKCBN 6/17/19,F3,"13C, 15N",No,-23.08293965,607.6687891,,10.13840655,181.6638932,,1621267,374798,D
MOK-USRR 2428,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2428,,,56,1.68,2,,1.8,DRKCBN 6/17/19,F4,"13C, 15N",No,-22.00649038,813.675663,,10.96774949,250.565109,,1621268,374799,D
MOK-USRR 2427,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2427,,,61,2.13,2,,1.4,DRKCBN 6/17/19,F5,"13C, 15N",No,-22.74401439,561.0509003,,10.23691588,168.5238529,,1621269,374800,D
MOK-USRR 2426,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2426,,,61,2.13,2,,1.8,DRKCBN 6/17/19,F6,"13C, 15N",No,-23.3534835,805.4247534,,10.40734403,242.8211129,,1621270,374801,D
MOK-USRR 2425,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2425,,,59,1.73,2,,1.9,DRKCBN 6/17/19,F7,"13C, 15N",No,-22.79654534,857.6954813,,10.8794451,257.5986003,,1621271,374802,D
MOK-USRR 2424/23,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,"2424, 2423",,,65,2.53,2,,1.4,DRKCBN 6/17/19,F8,"13C, 15N",No,-23.16332725,635.1043699,,10.27229812,191.2391893,,1621272,374803,D
MOK-USRR 2422,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2422,,,57,1.92,2,,1.6,DRKCBN 6/17/19,F9,"13C, 15N",No,-22.87769063,668.0400648,,10.61297966,201.5111899,,1621273,374804,D
MOK-USRR 2421,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2421,,,58,1.76,1,,1.4,DRKCBN 6/17/19,F10,"13C, 15N",No,-23.043825,577.5010233,,10.64297137,176.6944797,,1621274,374805,D
MOK-USRR 2420,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2420,,,57,1.72,1,,1.2,DRKCBN 6/17/19,F11,"13C, 15N",No,-23.55570298,558.3095578,,10.35422741,171.0114328,,1621275,374806,D
MOK-USRR 2419,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2419,,,58,1.95,1,,1.8,DRKCBN 6/17/19,F12,"13C, 15N",No,-23.83213717,813.675663,,10.27350763,243.8775538,,1621276,374807,D
MOK-USRR 2418,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2418,,,57,1.91,1,,1.7,DRKCBN 6/17/19,G1,"13C, 15N",No,-23.04717771,635.1043699,,10.24423976,191.9480213,,1621277,374813,D
MOK-USRR 2417,MokUSRR,2019-04-03,Fish muscle tissue,N,,,,,,,,,,2417,,,58,1.85,1,,1.9,DRKCBN 6/17/19,G2,"13C, 15N",No,-24.41362046,885.2206688,,10.03520352,271.6469967,,1621278,374814,D
Knaggs 2399,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2399,,,76,4.58,1,,1.9,DRKCBN 6/17/19,G3,"13C, 15N",No,-27.9592957,832.9312317,,10.53321472,255.4892034,,1621279,374815,D
Knaggs 2400,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2400,,,83,5.75,1,,1.9,DRKCBN 6/17/19,G4,"13C, 15N",No,-28.0997205,805.4247534,,10.51651801,244.2296698,,1621280,374816,D
Knaggs 2402/03,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,"2403, 2404",,,80,5.44,1,,1.8,DRKCBN 6/17/19,G5,"13C, 15N",No,-28.49599875,791.6752068,,10.82275237,232.2490374,,1621281,374817,D
Knaggs 2404,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2405,,,70,3.77,1,,1.8,DRKCBN 6/17/19,G6,"13C, 15N",No,-28.48483979,799.9246393,,10.48958809,240.3555421,,1621282,374818,D
Knaggs 2406,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2406,,,74,4.05,1,,1.4,DRKCBN 6/17/19,G7,"13C, 15N",No,-28.85725651,700.9899392,,10.82127238,208.2340587,,1621283,374819,D
Knaggs 2407,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2407,,,79,3.77,2,,1.8,DRKCBN 6/17/19,G8,"13C, 15N",No,-28.85807443,750.4413373,,10.72727535,225.5461796,,1621284,374820,D
Knaggs 2408,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2408,,,73,4.05,2,,1.9,DRKCBN 6/17/19,G9,"13C, 15N",No,-28.04055862,758.6863388,,10.51488114,234.012018,,1621285,374821,D
Knaggs 2409,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2409,,,75,5.31,2,,1.7,DRKCBN 6/17/19,G10,"13C, 15N",No,-27.98800103,766.9322264,,10.4966115,231.1910631,,1621286,374822,D
Knaggs 2410,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2410,,,75,4.29,2,,1.5,DRKCBN 6/17/19,G11,"13C, 15N",No,-27.53404661,413.1593123,,10.5351414,122.5454457,,1621287,374823,D
Knaggs 2411,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2411,,,75,4.82,2,,1.5,DRKCBN 6/17/19,G12,"13C, 15N",No,-27.85166102,637.8484696,,10.37882684,192.3024141,,1621288,374824,D
Knaggs 2412,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2412,,,75,5.15,2,,1.4,DRKCBN 6/17/19,H1,"13C, 15N",No,-28.40033596,581.0321232,,10.76496296,161.8982826,,1621289,374901,D
Knaggs 2413,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2413,,,72,4.47,2,,1.6,DRKCBN 6/17/19,H2,"13C, 15N",No,-27.19784096,687.2488512,,10.22690056,213.591371,,1621290,374902,D
Knaggs 2414,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2414,,,65,4.8,2,,1.5,DRKCBN 6/17/19,H3,"13C, 15N",No,-27.8643007,590.1595785,,10.19445703,180.5176087,,1621291,374903,D
Knaggs 2415,Knaggs,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2415,,,79,4.75,2,,1.6,DRKCBN 6/17/19,H4,"13C, 15N",No,-28.33213702,736.8344956,,10.51044938,232.1713836,,1621292,374904,D
Cos Tri 2382,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2382,,,66,2.88,1,,1.8,DRKCBN 6/17/19,H5,"13C, 15N",No,-24.3658991,805.680307,,11.19185138,248.0972677,,1621293,374905,D
Cos Tri 2383,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2383,,,66,3.11,1,,1.3,DRKCBN 6/17/19,H6,"13C, 15N",No,-24.60723645,489.4176217,,11.04242352,151.1007226,,1621294,374906,D
Cos Tri 2384,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2384,,,67,3.22,1,,1.7,DRKCBN 6/17/19,H7,"13C, 15N",No,-24.62980677,691.1991443,,10.85320341,212.4570851,,1621295,374907,D
Cos Tri 2385,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2385,,,69,3.51,1,,1.6,DRKCBN 6/17/19,H8,"13C, 15N",No,-24.64883468,715.0685924,,10.89372395,221.7807267,,1621296,374908,D
Cos Tri 2386,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2386,,,69,3.4,1,,1.5,DRKCBN 6/17/19,H9,"13C, 15N",No,-24.6224683,612.3895779,,11.04250721,187.8302445,,1621297,374909,D
Cos Tri 2387,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2387,,,65,2.73,1,,1.9,DRKCBN 6/17/19,H10,"13C, 15N",No,-24.22604458,949.1833665,,11.04144556,293.9570581,,1621298,374910,D
Cos Tri 2388,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2388,,,65,2.74,1,,1.5,DRKCBN 6/17/19,H11,"13C, 15N",No,-23.50965786,676.6793534,,11.18847279,209.8631996,,1621299,374911,D
Cos Tri 2389,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2389,,,65,2.75,2,,1.7,DRKCBN 6/17/19,H12,"13C, 15N",No,-23.9414582,796.85029,,11.21346805,245.1919434,,1621300,374912,D
Cos_Tri_2390,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2390,,,65,3.02,2,,1.4,2019-08-02_DrkCn,A1,"13C, 15N",No,-24.24883347,594.5520586,,10.68480577,180.6165052,,1734887,415410,D
Cos_Tri_2391,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2391,,,66,3.09,2,,1.5,2019-08-02_DrkCn,A2,"13C, 15N",No,-24.39158078,593.9411912,,10.95444068,185.5152741,,1734888,415411,D
Cos_Tri_2392,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2392,,,66,2.9,2,,1.5,2019-08-02_DrkCn,A3,"13C, 15N",No,-24.38029901,624.4294066,,11.20358179,195.5654325,,1734889,415412,D
Cos_Tri_2393,CosTri,2019-04-02,Fish muscle tissue,N,,,,,,,,,,2393,,,69,3.57,2,,1.9,2019-08-02_DrkCn,A4,"13C, 15N",No,-24.29184243,875.1036636,,10.58608153,274.327978,,1734890,415413,D
