"Plot Title: 20568254"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20568254, SEN S/N: 20568254)","Temp, °C (LGR S/N: 20568254, SEN S/N: 20568254)","Expired Sensor Cap (LGR S/N: 20568254)","End Of File (LGR S/N: 20568254)"
122,09/10/19 04:15:00 PM,8.64,19.60,,
123,09/10/19 04:30:00 PM,8.64,19.62,,
124,09/10/19 04:45:00 PM,8.65,19.62,,
125,09/10/19 05:00:00 PM,8.66,19.62,,
126,09/10/19 05:15:00 PM,8.66,19.62,,
127,09/10/19 05:30:00 PM,8.66,19.64,,
128,09/10/19 05:45:00 PM,8.67,19.64,,
129,09/10/19 06:00:00 PM,8.67,19.64,,
130,09/10/19 06:15:00 PM,8.67,19.66,,
131,09/10/19 06:30:00 PM,8.67,19.66,,
132,09/10/19 06:45:00 PM,8.67,19.66,,
133,09/10/19 07:00:00 PM,8.68,19.66,,
134,09/10/19 07:15:00 PM,8.66,19.68,,
135,09/10/19 07:30:00 PM,8.67,19.68,,
136,09/10/19 07:45:00 PM,8.67,19.68,,
137,09/10/19 08:00:00 PM,8.66,19.68,,
138,09/10/19 08:15:00 PM,8.67,19.68,,
139,09/10/19 08:30:00 PM,8.65,19.70,,
140,09/10/19 08:45:00 PM,8.66,19.70,,
141,09/10/19 09:00:00 PM,8.66,19.70,,
142,09/10/19 09:15:00 PM,8.66,19.70,,
143,09/10/19 09:30:00 PM,8.65,19.70,,
144,09/10/19 09:45:00 PM,8.66,19.70,,
145,09/10/19 10:00:00 PM,8.65,19.70,,
146,09/10/19 10:15:00 PM,8.65,19.70,,
147,09/10/19 10:30:00 PM,8.65,19.70,,
148,09/10/19 10:45:00 PM,8.65,19.70,,
149,09/10/19 11:00:00 PM,8.65,19.70,,
150,09/10/19 11:15:00 PM,8.65,19.70,,
151,09/10/19 11:30:00 PM,8.65,19.70,,
152,09/10/19 11:45:00 PM,8.64,19.68,,
153,09/11/19 12:00:00 AM,8.65,19.68,,
154,09/11/19 12:15:00 AM,8.65,19.68,,
155,09/11/19 12:30:00 AM,8.65,19.66,,
156,09/11/19 12:45:00 AM,8.66,19.64,,
157,09/11/19 01:00:00 AM,8.66,19.62,,
158,09/11/19 01:15:00 AM,8.65,19.62,,
159,09/11/19 01:30:00 AM,8.66,19.60,,
160,09/11/19 01:45:00 AM,8.66,19.58,,
161,09/11/19 02:00:00 AM,8.65,19.58,,
162,09/11/19 02:15:00 AM,8.65,19.56,,
163,09/11/19 02:30:00 AM,8.65,19.54,,
164,09/11/19 02:45:00 AM,8.65,19.52,,
165,09/11/19 03:00:00 AM,8.65,19.50,,
166,09/11/19 03:15:00 AM,8.64,19.48,,
167,09/11/19 03:30:00 AM,8.64,19.48,,
168,09/11/19 03:45:00 AM,8.63,19.46,,
169,09/11/19 04:00:00 AM,8.61,19.46,,
170,09/11/19 04:15:00 AM,8.60,19.44,,
171,09/11/19 04:30:00 AM,8.58,19.44,,
172,09/11/19 04:45:00 AM,8.58,19.42,,
173,09/11/19 05:00:00 AM,8.56,19.40,,
174,09/11/19 05:15:00 AM,8.55,19.40,,
175,09/11/19 05:30:00 AM,8.55,19.36,,
176,09/11/19 05:45:00 AM,8.53,19.34,,
177,09/11/19 06:00:00 AM,8.53,19.32,,
178,09/11/19 06:15:00 AM,8.53,19.30,,
179,09/11/19 06:30:00 AM,8.54,19.28,,
180,09/11/19 06:45:00 AM,8.53,19.26,,
181,09/11/19 07:00:00 AM,8.53,19.24,,
182,09/11/19 07:15:00 AM,8.53,19.22,,
183,09/11/19 07:30:00 AM,8.53,19.20,,
184,09/11/19 07:45:00 AM,8.53,19.18,,
185,09/11/19 08:00:00 AM,8.53,19.16,,
186,09/11/19 08:15:00 AM,8.54,19.14,,
187,09/11/19 08:30:00 AM,8.53,19.12,,
188,09/11/19 08:45:00 AM,8.54,19.12,,
189,09/11/19 09:00:00 AM,8.55,19.10,,
190,09/11/19 09:15:00 AM,8.55,19.10,,
191,09/11/19 09:30:00 AM,8.55,19.10,,
192,09/11/19 09:45:00 AM,8.57,19.10,,
193,09/11/19 10:00:00 AM,8.56,19.12,,
194,09/11/19 10:15:00 AM,8.55,19.12,,
195,09/11/19 10:30:00 AM,8.57,19.12,,
196,09/11/19 10:45:00 AM,8.57,19.14,,
197,09/11/19 11:00:00 AM,8.57,19.14,,
198,09/11/19 11:15:00 AM,8.59,19.16,,
199,09/11/19 11:30:00 AM,8.59,19.18,,
200,09/11/19 11:45:00 AM,8.58,19.18,,
201,09/11/19 12:00:00 PM,8.59,19.20,,
202,09/11/19 12:15:00 PM,8.59,19.20,,
203,09/11/19 12:30:00 PM,8.61,19.22,,
204,09/11/19 12:45:00 PM,8.61,19.24,,
205,09/11/19 01:00:00 PM,8.62,19.24,,
206,09/11/19 01:15:00 PM,8.63,19.26,,
207,09/11/19 01:30:00 PM,8.63,19.26,,
208,09/11/19 01:45:00 PM,8.63,19.28,,
209,09/11/19 02:00:00 PM,8.64,19.30,,
210,09/11/19 02:15:00 PM,8.64,19.32,,
211,09/11/19 02:30:00 PM,8.64,19.32,,
212,09/11/19 02:45:00 PM,8.66,19.34,,
213,09/11/19 03:00:00 PM,8.67,19.34,,
214,09/11/19 03:15:00 PM,8.69,19.34,,
215,09/11/19 03:30:00 PM,8.70,19.36,,
216,09/11/19 03:45:00 PM,8.70,19.38,,
217,09/11/19 04:00:00 PM,8.72,19.38,,
218,09/11/19 04:15:00 PM,8.73,19.38,,
219,09/11/19 04:30:00 PM,8.73,19.40,,
220,09/11/19 04:45:00 PM,8.73,19.40,,
221,09/11/19 05:00:00 PM,8.75,19.40,,
222,09/11/19 05:15:00 PM,8.76,19.40,,
223,09/11/19 05:30:00 PM,8.76,19.40,,
224,09/11/19 05:45:00 PM,8.75,19.40,,
225,09/11/19 06:00:00 PM,8.75,19.42,,
226,09/11/19 06:15:00 PM,8.76,19.42,,
227,09/11/19 06:30:00 PM,8.77,19.42,,
228,09/11/19 06:45:00 PM,8.76,19.44,,
229,09/11/19 07:00:00 PM,8.77,19.44,,
230,09/11/19 07:15:00 PM,8.77,19.44,,
231,09/11/19 07:30:00 PM,8.76,19.44,,
232,09/11/19 07:45:00 PM,8.76,19.44,,
233,09/11/19 08:00:00 PM,8.76,19.44,,
234,09/11/19 08:15:00 PM,8.76,19.44,,
235,09/11/19 08:30:00 PM,8.76,19.44,,
236,09/11/19 08:45:00 PM,8.76,19.44,,
237,09/11/19 09:00:00 PM,8.76,19.44,,
238,09/11/19 09:15:00 PM,8.76,19.44,,
239,09/11/19 09:30:00 PM,8.77,19.44,,
240,09/11/19 09:45:00 PM,8.76,19.44,,
241,09/11/19 10:00:00 PM,8.76,19.44,,
242,09/11/19 10:15:00 PM,8.76,19.44,,
243,09/11/19 10:30:00 PM,8.76,19.44,,
244,09/11/19 10:45:00 PM,8.76,19.44,,
245,09/11/19 11:00:00 PM,8.75,19.44,,
246,09/11/19 11:15:00 PM,8.76,19.44,,
247,09/11/19 11:30:00 PM,8.75,19.44,,
248,09/11/19 11:45:00 PM,8.75,19.44,,
249,09/12/19 12:00:00 AM,8.76,19.42,,
250,09/12/19 12:15:00 AM,8.76,19.42,,
251,09/12/19 12:30:00 AM,8.75,19.40,,
252,09/12/19 12:45:00 AM,8.75,19.40,,
253,09/12/19 01:00:00 AM,8.75,19.38,,
254,09/12/19 01:15:00 AM,8.77,19.38,,
255,09/12/19 01:30:00 AM,8.76,19.36,,
256,09/12/19 01:45:00 AM,8.76,19.34,,
257,09/12/19 02:00:00 AM,8.76,19.34,,
258,09/12/19 02:15:00 AM,8.76,19.32,,
259,09/12/19 02:30:00 AM,8.76,19.30,,
260,09/12/19 02:45:00 AM,8.76,19.28,,
261,09/12/19 03:00:00 AM,8.77,19.28,,
262,09/12/19 03:15:00 AM,8.75,19.26,,
263,09/12/19 03:30:00 AM,8.75,19.26,,
264,09/12/19 03:45:00 AM,8.73,19.26,,
265,09/12/19 04:00:00 AM,8.71,19.26,,
266,09/12/19 04:15:00 AM,8.69,19.26,,
267,09/12/19 04:30:00 AM,8.67,19.24,,
268,09/12/19 04:45:00 AM,8.66,19.24,,
269,09/12/19 05:00:00 AM,8.64,19.24,,
270,09/12/19 05:15:00 AM,8.63,19.22,,
271,09/12/19 05:30:00 AM,8.62,19.22,,
272,09/12/19 05:45:00 AM,8.61,19.20,,
273,09/12/19 06:00:00 AM,8.61,19.18,,
274,09/12/19 06:15:00 AM,8.61,19.18,,
275,09/12/19 06:30:00 AM,8.61,19.14,,
276,09/12/19 06:45:00 AM,8.61,19.14,,
277,09/12/19 07:00:00 AM,8.60,19.10,,
278,09/12/19 07:15:00 AM,8.59,19.08,,
279,09/12/19 07:30:00 AM,8.59,19.06,,
280,09/12/19 07:45:00 AM,8.60,19.06,,
281,09/12/19 08:00:00 AM,8.60,19.04,,
282,09/12/19 08:15:00 AM,8.60,19.04,,
283,09/12/19 08:30:00 AM,8.60,19.02,,
284,09/12/19 08:45:00 AM,8.61,19.02,,
285,09/12/19 09:00:00 AM,8.61,19.02,,
286,09/12/19 09:15:00 AM,8.60,19.02,,
287,09/12/19 09:30:00 AM,8.61,19.02,,
288,09/12/19 09:45:00 AM,8.62,19.02,,
289,09/12/19 10:00:00 AM,8.62,19.04,,
290,09/12/19 10:15:00 AM,8.61,19.06,,
291,09/12/19 10:30:00 AM,8.64,19.08,,
292,09/12/19 10:45:00 AM,8.62,19.08,,
293,09/12/19 11:00:00 AM,8.63,19.10,,
294,09/12/19 11:15:00 AM,8.64,19.12,,
295,09/12/19 11:30:00 AM,8.65,19.14,,
296,09/12/19 11:45:00 AM,8.65,19.14,,
297,09/12/19 12:00:00 PM,8.63,19.16,,
298,09/12/19 12:15:00 PM,8.64,19.18,,
299,09/12/19 12:30:00 PM,8.65,19.20,,
300,09/12/19 12:45:00 PM,8.66,19.20,,
301,09/12/19 01:00:00 PM,8.66,19.22,,
302,09/12/19 01:15:00 PM,8.66,19.24,,
303,09/12/19 01:30:00 PM,8.66,19.26,,
304,09/12/19 01:45:00 PM,8.67,19.26,,
305,09/12/19 02:00:00 PM,8.67,19.28,,
306,09/12/19 02:15:00 PM,8.68,19.32,,
307,09/12/19 02:30:00 PM,8.67,19.34,,
308,09/12/19 02:45:00 PM,8.69,19.36,,
309,09/12/19 03:00:00 PM,8.68,19.38,,
310,09/12/19 03:15:00 PM,8.69,19.40,,
311,09/12/19 03:30:00 PM,8.70,19.42,,
312,09/12/19 03:45:00 PM,8.70,19.42,,
313,09/12/19 04:00:00 PM,8.71,19.44,,
314,09/12/19 04:15:00 PM,8.71,19.44,,
315,09/12/19 04:30:00 PM,8.73,19.46,,
316,09/12/19 04:45:00 PM,8.73,19.46,,
317,09/12/19 05:00:00 PM,8.72,19.46,,
318,09/12/19 05:15:00 PM,8.73,19.48,,
319,09/12/19 05:30:00 PM,8.73,19.48,,
320,09/12/19 05:45:00 PM,8.73,19.48,,
321,09/12/19 06:00:00 PM,8.75,19.48,,
322,09/12/19 06:15:00 PM,8.76,19.50,,
323,09/12/19 06:30:00 PM,8.76,19.50,,
324,09/12/19 06:45:00 PM,8.77,19.50,,
325,09/12/19 07:00:00 PM,8.77,19.50,,
326,09/12/19 07:15:00 PM,8.76,19.52,,
327,09/12/19 07:30:00 PM,8.77,19.52,,
328,09/12/19 07:45:00 PM,8.77,19.52,,
329,09/12/19 08:00:00 PM,8.77,19.52,,
330,09/12/19 08:15:00 PM,8.77,19.52,,
331,09/12/19 08:30:00 PM,8.77,19.52,,
332,09/12/19 08:45:00 PM,8.76,19.54,,
333,09/12/19 09:00:00 PM,8.76,19.54,,
334,09/12/19 09:15:00 PM,8.76,19.54,,
335,09/12/19 09:30:00 PM,8.76,19.56,,
336,09/12/19 09:45:00 PM,8.76,19.56,,
337,09/12/19 10:00:00 PM,8.76,19.56,,
338,09/12/19 10:15:00 PM,8.76,19.56,,
339,09/12/19 10:30:00 PM,8.76,19.56,,
340,09/12/19 10:45:00 PM,8.76,19.56,,
341,09/12/19 11:00:00 PM,8.76,19.56,,
342,09/12/19 11:15:00 PM,8.76,19.56,,
343,09/12/19 11:30:00 PM,8.75,19.56,,
344,09/12/19 11:45:00 PM,8.73,19.56,,
345,09/13/19 12:00:00 AM,8.73,19.56,,
346,09/13/19 12:15:00 AM,8.73,19.56,,
347,09/13/19 12:30:00 AM,8.73,19.54,,
348,09/13/19 12:45:00 AM,8.75,19.54,,
349,09/13/19 01:00:00 AM,8.75,19.52,,
350,09/13/19 01:15:00 AM,8.73,19.52,,
351,09/13/19 01:30:00 AM,8.73,19.50,,
352,09/13/19 01:45:00 AM,8.73,19.50,,
353,09/13/19 02:00:00 AM,8.75,19.48,,
354,09/13/19 02:15:00 AM,8.72,19.48,,
355,09/13/19 02:30:00 AM,8.73,19.46,,
356,09/13/19 02:45:00 AM,8.73,19.44,,
357,09/13/19 03:00:00 AM,8.73,19.42,,
358,09/13/19 03:15:00 AM,8.72,19.42,,
359,09/13/19 03:30:00 AM,8.72,19.40,,
360,09/13/19 03:45:00 AM,8.69,19.40,,
361,09/13/19 04:00:00 AM,8.68,19.40,,
362,09/13/19 04:15:00 AM,8.66,19.40,,
363,09/13/19 04:30:00 AM,8.65,19.40,,
364,09/13/19 04:45:00 AM,8.64,19.40,,
365,09/13/19 05:00:00 AM,8.62,19.38,,
366,09/13/19 05:15:00 AM,8.61,19.38,,
367,09/13/19 05:30:00 AM,8.61,19.36,,
368,09/13/19 05:45:00 AM,8.60,19.34,,
369,09/13/19 06:00:00 AM,8.60,19.34,,
370,09/13/19 06:15:00 AM,8.61,19.32,,
371,09/13/19 06:30:00 AM,8.62,19.30,,
372,09/13/19 06:45:00 AM,8.63,19.28,,
373,09/13/19 07:00:00 AM,8.63,19.26,,
374,09/13/19 07:15:00 AM,8.63,19.24,,
375,09/13/19 07:30:00 AM,8.65,19.20,,
376,09/13/19 07:45:00 AM,8.64,19.18,,
377,09/13/19 08:00:00 AM,8.64,19.16,,
378,09/13/19 08:15:00 AM,8.64,19.14,,
379,09/13/19 08:30:00 AM,8.65,19.14,,
380,09/13/19 08:45:00 AM,8.65,19.12,,
381,09/13/19 09:00:00 AM,8.66,19.12,,
382,09/13/19 09:15:00 AM,8.65,19.12,,
383,09/13/19 09:30:00 AM,8.66,19.12,,
384,09/13/19 09:45:00 AM,8.67,19.12,,
385,09/13/19 10:00:00 AM,8.65,19.14,,
386,09/13/19 10:15:00 AM,8.66,19.14,,
387,09/13/19 10:30:00 AM,8.66,19.16,,
388,09/13/19 10:45:00 AM,8.67,19.16,,
389,09/13/19 11:00:00 AM,8.67,19.18,,
390,09/13/19 11:15:00 AM,8.67,19.18,,
391,09/13/19 11:30:00 AM,8.68,19.20,,
392,09/13/19 11:45:00 AM,8.67,19.20,,
393,09/13/19 12:00:00 PM,8.68,19.22,,
394,09/13/19 12:15:00 PM,8.68,19.24,,
395,09/13/19 12:30:00 PM,8.67,19.26,,
396,09/13/19 12:45:00 PM,8.68,19.26,,
397,09/13/19 01:00:00 PM,8.68,19.28,,
398,09/13/19 01:15:00 PM,8.68,19.30,,
399,09/13/19 01:30:00 PM,8.69,19.32,,
400,09/13/19 01:45:00 PM,8.69,19.34,,
401,09/13/19 02:00:00 PM,8.70,19.34,,
402,09/13/19 02:15:00 PM,8.70,19.36,,
403,09/13/19 02:30:00 PM,8.70,19.38,,
404,09/13/19 02:45:00 PM,8.69,19.40,,
405,09/13/19 03:00:00 PM,8.72,19.42,,
406,09/13/19 03:15:00 PM,8.71,19.44,,
407,09/13/19 03:30:00 PM,8.72,19.46,,
408,09/13/19 03:45:00 PM,8.72,19.48,,
409,09/13/19 04:00:00 PM,8.73,19.48,,
410,09/13/19 04:15:00 PM,8.73,19.50,,
411,09/13/19 04:30:00 PM,8.72,19.52,,
412,09/13/19 04:45:00 PM,8.73,19.52,,
413,09/13/19 05:00:00 PM,8.75,19.54,,
414,09/13/19 05:15:00 PM,8.75,19.54,,
415,09/13/19 05:30:00 PM,8.76,19.54,,
416,09/13/19 05:45:00 PM,8.76,19.56,,
417,09/13/19 06:00:00 PM,8.77,19.56,,
418,09/13/19 06:15:00 PM,8.78,19.56,,
419,09/13/19 06:30:00 PM,8.78,19.56,,
420,09/13/19 06:45:00 PM,8.78,19.56,,
421,09/13/19 07:00:00 PM,8.79,19.56,,
422,09/13/19 07:15:00 PM,8.80,19.56,,
423,09/13/19 07:30:00 PM,8.79,19.56,,
424,09/13/19 07:45:00 PM,8.80,19.56,,
425,09/13/19 08:00:00 PM,8.80,19.56,,
426,09/13/19 08:15:00 PM,8.80,19.56,,
427,09/13/19 08:30:00 PM,8.81,19.56,,
428,09/13/19 08:45:00 PM,8.80,19.56,,
429,09/13/19 09:00:00 PM,8.81,19.56,,
430,09/13/19 09:15:00 PM,8.81,19.56,,
431,09/13/19 09:30:00 PM,8.81,19.56,,
432,09/13/19 09:45:00 PM,8.81,19.56,,
433,09/13/19 10:00:00 PM,8.80,19.56,,
434,09/13/19 10:15:00 PM,8.81,19.58,,
435,09/13/19 10:30:00 PM,8.81,19.58,,
436,09/13/19 10:45:00 PM,8.79,19.58,,
437,09/13/19 11:00:00 PM,8.81,19.58,,
438,09/13/19 11:15:00 PM,8.81,19.56,,
439,09/13/19 11:30:00 PM,8.80,19.56,,
440,09/13/19 11:45:00 PM,8.80,19.56,,
441,09/14/19 12:00:00 AM,8.80,19.56,,
442,09/14/19 12:15:00 AM,8.80,19.56,,
443,09/14/19 12:30:00 AM,8.80,19.56,,
444,09/14/19 12:45:00 AM,8.80,19.54,,
445,09/14/19 01:00:00 AM,8.80,19.52,,
446,09/14/19 01:15:00 AM,8.79,19.52,,
447,09/14/19 01:30:00 AM,8.79,19.52,,
448,09/14/19 01:45:00 AM,8.80,19.50,,
449,09/14/19 02:00:00 AM,8.79,19.48,,
450,09/14/19 02:15:00 AM,8.80,19.48,,
451,09/14/19 02:30:00 AM,8.79,19.46,,
452,09/14/19 02:45:00 AM,8.78,19.46,,
453,09/14/19 03:00:00 AM,8.79,19.44,,
454,09/14/19 03:15:00 AM,8.78,19.42,,
455,09/14/19 03:30:00 AM,8.77,19.40,,
456,09/14/19 03:45:00 AM,8.76,19.40,,
457,09/14/19 04:00:00 AM,8.73,19.40,,
458,09/14/19 04:15:00 AM,8.71,19.40,,
459,09/14/19 04:30:00 AM,8.70,19.38,,
460,09/14/19 04:45:00 AM,8.69,19.38,,
461,09/14/19 05:00:00 AM,8.68,19.36,,
462,09/14/19 05:15:00 AM,8.67,19.34,,
463,09/14/19 05:30:00 AM,8.65,19.32,,
464,09/14/19 05:45:00 AM,8.66,19.30,,
465,09/14/19 06:00:00 AM,8.64,19.28,,
466,09/14/19 06:15:00 AM,8.64,19.26,,
467,09/14/19 06:30:00 AM,8.65,19.24,,
468,09/14/19 06:45:00 AM,8.64,19.22,,
469,09/14/19 07:00:00 AM,8.64,19.20,,
470,09/14/19 07:15:00 AM,8.64,19.18,,
471,09/14/19 07:30:00 AM,8.64,19.16,,
472,09/14/19 07:45:00 AM,8.65,19.14,,
473,09/14/19 08:00:00 AM,8.64,19.12,,
474,09/14/19 08:15:00 AM,8.64,19.10,,
475,09/14/19 08:30:00 AM,8.65,19.10,,
476,09/14/19 08:45:00 AM,8.65,19.08,,
477,09/14/19 09:00:00 AM,8.65,19.08,,
478,09/14/19 09:15:00 AM,8.64,19.08,,
479,09/14/19 09:30:00 AM,8.66,19.08,,
480,09/14/19 09:45:00 AM,8.66,19.08,,
481,09/14/19 10:00:00 AM,8.67,19.08,,
482,09/14/19 10:15:00 AM,8.67,19.10,,
483,09/14/19 10:30:00 AM,8.68,19.10,,
484,09/14/19 10:45:00 AM,8.68,19.12,,
485,09/14/19 11:00:00 AM,8.68,19.14,,
486,09/14/19 11:15:00 AM,8.67,19.16,,
487,09/14/19 11:30:00 AM,8.70,19.18,,
488,09/14/19 11:45:00 AM,8.72,19.20,,
489,09/14/19 12:00:00 PM,8.68,19.20,,
490,09/14/19 12:15:00 PM,8.70,19.22,,
491,09/14/19 12:30:00 PM,8.70,19.24,,
492,09/14/19 12:45:00 PM,8.68,19.26,,
493,09/14/19 01:00:00 PM,8.70,19.28,,
494,09/14/19 01:15:00 PM,8.70,19.30,,
495,09/14/19 01:30:00 PM,8.71,19.30,,
496,09/14/19 01:45:00 PM,8.72,19.32,,
497,09/14/19 02:00:00 PM,8.72,19.34,,
498,09/14/19 02:15:00 PM,8.73,19.34,,
499,09/14/19 02:30:00 PM,8.72,19.36,,
500,09/14/19 02:45:00 PM,8.75,19.38,,
501,09/14/19 03:00:00 PM,8.77,19.38,,
502,09/14/19 03:15:00 PM,8.78,19.38,,
503,09/14/19 03:30:00 PM,8.79,19.40,,
504,09/14/19 03:45:00 PM,8.80,19.40,,
505,09/14/19 04:00:00 PM,8.80,19.42,,
506,09/14/19 04:15:00 PM,8.81,19.44,,
507,09/14/19 04:30:00 PM,8.81,19.44,,
508,09/14/19 04:45:00 PM,8.83,19.44,,
