"Plot Title: 20568277"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20568277, SEN S/N: 20568277)","Temp, °C (LGR S/N: 20568277, SEN S/N: 20568277)"
85,03/26/19 09:00:00 AM,8.77,21.76
86,03/26/19 09:15:00 AM,8.77,21.78
87,03/26/19 09:30:00 AM,8.76,21.80
88,03/26/19 09:45:00 AM,8.75,21.84
89,03/26/19 10:00:00 AM,8.75,21.86
90,03/26/19 10:15:00 AM,8.74,21.90
91,03/26/19 10:30:00 AM,8.74,21.94
92,03/26/19 10:45:00 AM,8.73,21.98
93,03/26/19 11:00:00 AM,8.73,22.00
94,03/26/19 11:15:00 AM,8.72,22.04
95,03/26/19 11:30:00 AM,8.73,22.06
96,03/26/19 11:45:00 AM,8.71,22.10
97,03/26/19 12:00:00 PM,8.71,22.12
98,03/26/19 12:15:00 PM,8.69,22.14
99,03/26/19 12:30:00 PM,8.69,22.16
100,03/26/19 12:45:00 PM,8.70,22.18
101,03/26/19 01:00:00 PM,8.69,22.20
102,03/26/19 01:15:00 PM,8.69,22.24
103,03/26/19 01:30:00 PM,8.68,22.26
104,03/26/19 01:45:00 PM,8.67,22.30
105,03/26/19 02:00:00 PM,8.67,22.32
106,03/26/19 02:15:00 PM,8.67,22.36
107,03/26/19 02:30:00 PM,8.65,22.38
108,03/26/19 02:45:00 PM,8.65,22.42
109,03/26/19 03:00:00 PM,8.63,22.44
110,03/26/19 03:15:00 PM,8.62,22.48
111,03/26/19 03:30:00 PM,8.62,22.50
112,03/26/19 03:45:00 PM,8.63,22.52
113,03/26/19 04:00:00 PM,8.62,22.54
114,03/26/19 04:15:00 PM,8.61,22.54
115,03/26/19 04:30:00 PM,8.61,22.56
116,03/26/19 04:45:00 PM,8.61,22.56
117,03/26/19 05:00:00 PM,8.61,22.58
118,03/26/19 05:15:00 PM,8.60,22.58
119,03/26/19 05:30:00 PM,8.60,22.60
120,03/26/19 05:45:00 PM,8.59,22.62
121,03/26/19 06:00:00 PM,8.58,22.62
122,03/26/19 06:15:00 PM,8.60,22.62
123,03/26/19 06:30:00 PM,8.60,22.60
124,03/26/19 06:45:00 PM,8.60,22.58
125,03/26/19 07:00:00 PM,8.61,22.56
126,03/26/19 07:15:00 PM,8.61,22.52
127,03/26/19 07:30:00 PM,8.62,22.48
128,03/26/19 07:45:00 PM,8.62,22.44
129,03/26/19 08:00:00 PM,8.63,22.40
130,03/26/19 08:15:00 PM,8.63,22.38
131,03/26/19 08:30:00 PM,8.64,22.36
132,03/26/19 08:45:00 PM,8.64,22.34
133,03/26/19 09:00:00 PM,8.64,22.32
134,03/26/19 09:15:00 PM,8.64,22.30
135,03/26/19 09:30:00 PM,8.65,22.28
136,03/26/19 09:45:00 PM,8.65,22.28
137,03/26/19 10:00:00 PM,8.66,22.24
138,03/26/19 10:15:00 PM,8.67,22.22
139,03/26/19 10:30:00 PM,8.66,22.20
140,03/26/19 10:45:00 PM,8.67,22.18
141,03/26/19 11:00:00 PM,8.67,22.14
142,03/26/19 11:15:00 PM,8.68,22.14
143,03/26/19 11:30:00 PM,8.68,22.12
144,03/26/19 11:45:00 PM,8.68,22.10
145,03/27/19 12:00:00 AM,8.68,22.08
146,03/27/19 12:15:00 AM,8.68,22.08
147,03/27/19 12:30:00 AM,8.69,22.06
148,03/27/19 12:45:00 AM,8.70,22.04
149,03/27/19 01:00:00 AM,8.69,22.02
150,03/27/19 01:15:00 AM,8.70,22.02
151,03/27/19 01:30:00 AM,8.69,22.00
152,03/27/19 01:45:00 AM,8.70,21.98
153,03/27/19 02:00:00 AM,8.70,21.98
154,03/27/19 02:15:00 AM,8.69,21.98
155,03/27/19 02:30:00 AM,8.70,21.98
156,03/27/19 02:45:00 AM,8.70,21.98
157,03/27/19 03:00:00 AM,8.69,21.98
158,03/27/19 03:15:00 AM,8.70,21.98
159,03/27/19 03:30:00 AM,8.69,21.98
160,03/27/19 03:45:00 AM,8.69,21.98
161,03/27/19 04:00:00 AM,8.69,21.98
162,03/27/19 04:15:00 AM,8.69,21.98
163,03/27/19 04:30:00 AM,8.70,21.98
164,03/27/19 04:45:00 AM,8.70,21.98
165,03/27/19 05:00:00 AM,8.70,21.98
166,03/27/19 05:15:00 AM,8.70,21.98
167,03/27/19 05:30:00 AM,8.70,21.96
168,03/27/19 05:45:00 AM,8.71,21.96
169,03/27/19 06:00:00 AM,8.71,21.96
170,03/27/19 06:15:00 AM,8.71,21.96
171,03/27/19 06:30:00 AM,8.71,21.94
172,03/27/19 06:45:00 AM,8.72,21.92
173,03/27/19 07:00:00 AM,8.71,21.92
174,03/27/19 07:15:00 AM,8.73,21.92
175,03/27/19 07:30:00 AM,8.72,21.90
176,03/27/19 07:45:00 AM,8.73,21.90
177,03/27/19 08:00:00 AM,8.73,21.88
178,03/27/19 08:15:00 AM,8.73,21.88
179,03/27/19 08:30:00 AM,8.73,21.88
180,03/27/19 08:45:00 AM,8.73,21.90
181,03/27/19 09:00:00 AM,8.73,21.92
182,03/27/19 09:15:00 AM,8.73,21.92
183,03/27/19 09:30:00 AM,8.73,21.92
184,03/27/19 09:45:00 AM,8.72,21.96
185,03/27/19 10:00:00 AM,8.71,22.00
186,03/27/19 10:15:00 AM,8.70,22.02
187,03/27/19 10:30:00 AM,8.70,22.06
188,03/27/19 10:45:00 AM,8.70,22.10
189,03/27/19 11:00:00 AM,8.69,22.12
190,03/27/19 11:15:00 AM,8.69,22.14
191,03/27/19 11:30:00 AM,8.68,22.16
192,03/27/19 11:45:00 AM,8.69,22.20
193,03/27/19 12:00:00 PM,8.68,22.22
194,03/27/19 12:15:00 PM,8.66,22.24
195,03/27/19 12:30:00 PM,8.67,22.26
196,03/27/19 12:45:00 PM,8.67,22.26
197,03/27/19 01:00:00 PM,8.67,22.28
198,03/27/19 01:15:00 PM,8.67,22.28
199,03/27/19 01:30:00 PM,8.67,22.28
200,03/27/19 01:45:00 PM,8.67,22.28
201,03/27/19 02:00:00 PM,8.65,22.32
202,03/27/19 02:15:00 PM,8.65,22.30
203,03/27/19 02:30:00 PM,8.65,22.28
204,03/27/19 02:45:00 PM,8.67,22.26
205,03/27/19 03:00:00 PM,8.67,22.26
206,03/27/19 03:15:00 PM,8.67,22.26
207,03/27/19 03:30:00 PM,8.66,22.26
208,03/27/19 03:45:00 PM,8.66,22.28
209,03/27/19 04:00:00 PM,8.67,22.28
210,03/27/19 04:15:00 PM,8.67,22.26
211,03/27/19 04:30:00 PM,8.68,22.24
212,03/27/19 04:45:00 PM,8.67,22.24
213,03/27/19 05:00:00 PM,8.68,22.22
214,03/27/19 05:15:00 PM,8.68,22.22
215,03/27/19 05:30:00 PM,8.68,22.22
216,03/27/19 05:45:00 PM,8.69,22.20
217,03/27/19 06:00:00 PM,8.69,22.18
218,03/27/19 06:15:00 PM,8.69,22.16
219,03/27/19 06:30:00 PM,8.71,22.12
220,03/27/19 06:45:00 PM,8.72,22.10
221,03/27/19 07:00:00 PM,8.73,22.06
222,03/27/19 07:15:00 PM,8.74,22.04
223,03/27/19 07:30:00 PM,8.74,22.00
224,03/27/19 07:45:00 PM,8.75,21.96
225,03/27/19 08:00:00 PM,8.76,21.94
226,03/27/19 08:15:00 PM,8.76,21.92
227,03/27/19 08:30:00 PM,8.77,21.90
228,03/27/19 08:45:00 PM,8.78,21.88
229,03/27/19 09:00:00 PM,8.79,21.86
230,03/27/19 09:15:00 PM,8.78,21.86
231,03/27/19 09:30:00 PM,8.79,21.84
232,03/27/19 09:45:00 PM,8.79,21.84
233,03/27/19 10:00:00 PM,8.79,21.82
234,03/27/19 10:15:00 PM,8.80,21.82
235,03/27/19 10:30:00 PM,8.80,21.80
236,03/27/19 10:45:00 PM,8.81,21.78
237,03/27/19 11:00:00 PM,8.81,21.76
238,03/27/19 11:15:00 PM,8.82,21.76
239,03/27/19 11:30:00 PM,8.82,21.74
240,03/27/19 11:45:00 PM,8.82,21.74
241,03/28/19 12:00:00 AM,8.82,21.74
242,03/28/19 12:15:00 AM,8.82,21.74
243,03/28/19 12:30:00 AM,8.83,21.72
244,03/28/19 12:45:00 AM,8.83,21.72
245,03/28/19 01:00:00 AM,8.83,21.72
246,03/28/19 01:15:00 AM,8.83,21.70
247,03/28/19 01:30:00 AM,8.84,21.70
248,03/28/19 01:45:00 AM,8.84,21.70
249,03/28/19 02:00:00 AM,8.84,21.68
250,03/28/19 02:15:00 AM,8.84,21.68
251,03/28/19 02:30:00 AM,8.84,21.68
252,03/28/19 02:45:00 AM,8.85,21.68
253,03/28/19 03:00:00 AM,8.85,21.68
254,03/28/19 03:15:00 AM,8.85,21.68
255,03/28/19 03:30:00 AM,8.85,21.66
256,03/28/19 03:45:00 AM,8.86,21.64
257,03/28/19 04:00:00 AM,8.86,21.64
258,03/28/19 04:15:00 AM,8.85,21.64
259,03/28/19 04:30:00 AM,8.85,21.62
260,03/28/19 04:45:00 AM,8.86,21.62
261,03/28/19 05:00:00 AM,8.85,21.62
262,03/28/19 05:15:00 AM,8.86,21.62
263,03/28/19 05:30:00 AM,8.85,21.62
264,03/28/19 05:45:00 AM,8.87,21.62
265,03/28/19 06:00:00 AM,8.87,21.60
266,03/28/19 06:15:00 AM,8.87,21.60
267,03/28/19 06:30:00 AM,8.87,21.60
268,03/28/19 06:45:00 AM,8.87,21.60
269,03/28/19 07:00:00 AM,8.87,21.58
270,03/28/19 07:15:00 AM,8.87,21.58
271,03/28/19 07:30:00 AM,8.88,21.58
272,03/28/19 07:45:00 AM,8.87,21.58
273,03/28/19 08:00:00 AM,8.87,21.58
274,03/28/19 08:15:00 AM,8.88,21.58
275,03/28/19 08:30:00 AM,8.88,21.58
276,03/28/19 08:45:00 AM,8.88,21.58
277,03/28/19 09:00:00 AM,8.87,21.58
278,03/28/19 09:15:00 AM,8.88,21.58
279,03/28/19 09:30:00 AM,8.87,21.62
280,03/28/19 09:45:00 AM,8.87,21.64
281,03/28/19 10:00:00 AM,8.85,21.70
282,03/28/19 10:15:00 AM,8.84,21.76
283,03/28/19 10:30:00 AM,8.83,21.82
284,03/28/19 10:45:00 AM,8.82,21.88
285,03/28/19 11:00:00 AM,8.80,21.96
286,03/28/19 11:15:00 AM,8.80,21.98
287,03/28/19 11:30:00 AM,8.80,21.96
288,03/28/19 11:45:00 AM,8.95,21.34
289,03/28/19 12:00:00 PM,9.03,20.80
290,03/28/19 12:15:00 PM,9.11,20.38
291,03/28/19 12:30:00 PM,9.14,20.14
292,03/28/19 12:45:00 PM,9.15,19.96
293,03/28/19 01:00:00 PM,9.18,19.80
294,03/28/19 01:15:00 PM,9.19,19.66
295,03/28/19 01:30:00 PM,9.22,19.54
296,03/28/19 01:45:00 PM,9.24,19.44
297,03/28/19 02:00:00 PM,9.28,19.34
298,03/28/19 02:15:00 PM,9.29,19.26
299,03/28/19 02:30:00 PM,9.30,19.18
300,03/28/19 02:45:00 PM,9.31,19.10
301,03/28/19 03:00:00 PM,9.33,19.02
302,03/28/19 03:15:00 PM,9.34,18.96
303,03/28/19 03:30:00 PM,9.35,18.90
304,03/28/19 03:45:00 PM,9.36,18.86
305,03/28/19 04:00:00 PM,9.36,18.82
306,03/28/19 04:15:00 PM,9.37,18.78
307,03/28/19 04:30:00 PM,9.37,18.76
308,03/28/19 04:45:00 PM,9.37,18.72
309,03/28/19 05:00:00 PM,9.38,18.70
310,03/28/19 05:15:00 PM,9.37,18.68
311,03/28/19 05:30:00 PM,9.38,18.66
312,03/28/19 05:45:00 PM,9.39,18.64
313,03/28/19 06:00:00 PM,9.39,18.62
314,03/28/19 06:15:00 PM,9.40,18.62
315,03/28/19 06:30:00 PM,9.40,18.60
316,03/28/19 06:45:00 PM,9.39,18.58
317,03/28/19 07:00:00 PM,9.40,18.56
318,03/28/19 07:15:00 PM,9.39,18.54
319,03/28/19 07:30:00 PM,9.42,18.52
320,03/28/19 07:45:00 PM,9.41,18.50
321,03/28/19 08:00:00 PM,9.42,18.46
322,03/28/19 08:15:00 PM,9.43,18.44
323,03/28/19 08:30:00 PM,9.43,18.40
324,03/28/19 08:45:00 PM,9.42,18.38
325,03/28/19 09:00:00 PM,9.41,18.34
326,03/28/19 09:15:00 PM,9.41,18.32
327,03/28/19 09:30:00 PM,9.41,18.30
328,03/28/19 09:45:00 PM,9.41,18.28
329,03/28/19 10:00:00 PM,9.41,18.28
330,03/28/19 10:15:00 PM,9.41,18.28
331,03/28/19 10:30:00 PM,9.41,18.28
332,03/28/19 10:45:00 PM,9.42,18.28
333,03/28/19 11:00:00 PM,9.42,18.26
334,03/28/19 11:15:00 PM,9.42,18.26
335,03/28/19 11:30:00 PM,9.43,18.24
336,03/28/19 11:45:00 PM,9.44,18.24
337,03/29/19 12:00:00 AM,9.43,18.22
338,03/29/19 12:15:00 AM,9.45,18.18
339,03/29/19 12:30:00 AM,9.45,18.14
340,03/29/19 12:45:00 AM,9.47,18.10
341,03/29/19 01:00:00 AM,9.47,18.06
342,03/29/19 01:15:00 AM,9.48,18.02
343,03/29/19 01:30:00 AM,9.49,17.98
344,03/29/19 01:45:00 AM,9.50,17.92
345,03/29/19 02:00:00 AM,9.51,17.88
346,03/29/19 02:15:00 AM,9.52,17.82
347,03/29/19 02:30:00 AM,9.53,17.76
348,03/29/19 02:45:00 AM,9.54,17.70
349,03/29/19 03:00:00 AM,9.54,17.66
350,03/29/19 03:15:00 AM,9.56,17.58
351,03/29/19 03:30:00 AM,9.58,17.52
352,03/29/19 03:45:00 AM,9.59,17.46
353,03/29/19 04:00:00 AM,9.61,17.40
354,03/29/19 04:15:00 AM,9.61,17.34
355,03/29/19 04:30:00 AM,9.62,17.28
356,03/29/19 04:45:00 AM,9.64,17.22
357,03/29/19 05:00:00 AM,9.65,17.16
358,03/29/19 05:15:00 AM,9.68,17.10
359,03/29/19 05:30:00 AM,9.68,17.02
360,03/29/19 05:45:00 AM,9.69,16.96
361,03/29/19 06:00:00 AM,9.72,16.90
362,03/29/19 06:15:00 AM,9.72,16.84
363,03/29/19 06:30:00 AM,9.74,16.78
364,03/29/19 06:45:00 AM,9.75,16.72
365,03/29/19 07:00:00 AM,9.76,16.66
366,03/29/19 07:15:00 AM,9.78,16.58
367,03/29/19 07:30:00 AM,9.79,16.52
368,03/29/19 07:45:00 AM,9.81,16.46
369,03/29/19 08:00:00 AM,9.82,16.40
370,03/29/19 08:15:00 AM,9.84,16.34
371,03/29/19 08:30:00 AM,9.84,16.28
372,03/29/19 08:45:00 AM,9.86,16.22
373,03/29/19 09:00:00 AM,9.86,16.16
374,03/29/19 09:15:00 AM,9.87,16.12
375,03/29/19 09:30:00 AM,9.88,16.08
376,03/29/19 09:45:00 AM,9.88,16.06
377,03/29/19 10:00:00 AM,9.88,16.04
378,03/29/19 10:15:00 AM,9.89,16.04
379,03/29/19 10:30:00 AM,9.90,16.04
380,03/29/19 10:45:00 AM,9.92,16.06
381,03/29/19 11:00:00 AM,9.92,16.08
382,03/29/19 11:15:00 AM,9.93,16.12
383,03/29/19 11:30:00 AM,9.94,16.14
384,03/29/19 11:45:00 AM,9.92,16.18
385,03/29/19 12:00:00 PM,9.93,16.20
386,03/29/19 12:15:00 PM,9.93,16.24
387,03/29/19 12:30:00 PM,9.92,16.28
388,03/29/19 12:45:00 PM,9.92,16.32
389,03/29/19 01:00:00 PM,9.91,16.38
390,03/29/19 01:15:00 PM,9.89,16.42
391,03/29/19 01:30:00 PM,9.88,16.48
392,03/29/19 01:45:00 PM,9.88,16.52
393,03/29/19 02:00:00 PM,9.85,16.58
394,03/29/19 02:15:00 PM,9.85,16.64
395,03/29/19 02:30:00 PM,9.84,16.70
396,03/29/19 02:45:00 PM,9.82,16.78
397,03/29/19 03:00:00 PM,9.81,16.84
398,03/29/19 03:15:00 PM,9.79,16.90
399,03/29/19 03:30:00 PM,9.59,17.62
400,03/29/19 03:45:00 PM,9.47,18.74
401,03/29/19 04:00:00 PM,9.44,19.10
402,03/29/19 04:15:00 PM,9.38,19.52
403,03/29/19 04:30:00 PM,14.42,21.14
404,03/29/19 04:45:00 PM,15.22,22.24
405,03/29/19 05:00:00 PM,15.69,22.34
406,03/29/19 05:15:00 PM,15.79,22.30
407,03/29/19 05:30:00 PM,15.75,22.18
408,03/29/19 05:45:00 PM,15.75,21.94
409,03/29/19 06:00:00 PM,15.74,21.52
410,03/29/19 06:15:00 PM,15.75,21.12
411,03/29/19 06:30:00 PM,15.67,20.80
412,03/29/19 06:45:00 PM,15.56,20.36
413,03/29/19 07:00:00 PM,15.46,20.04
414,03/29/19 07:15:00 PM,15.37,19.80
415,03/29/19 07:30:00 PM,15.31,19.50
416,03/29/19 07:45:00 PM,15.25,19.24
417,03/29/19 08:00:00 PM,15.18,19.00
418,03/29/19 08:15:00 PM,14.96,18.84
419,03/29/19 08:30:00 PM,14.81,18.64
420,03/29/19 08:45:00 PM,14.68,18.34
421,03/29/19 09:00:00 PM,14.57,18.08
422,03/29/19 09:15:00 PM,14.40,17.92
423,03/29/19 09:30:00 PM,14.20,17.74
424,03/29/19 09:45:00 PM,13.87,17.52
425,03/29/19 10:00:00 PM,13.54,17.28
426,03/29/19 10:15:00 PM,13.18,17.06
427,03/29/19 10:30:00 PM,12.94,16.78
428,03/29/19 10:45:00 PM,12.69,16.60
429,03/29/19 11:00:00 PM,12.49,16.40
430,03/29/19 11:15:00 PM,12.28,16.20
431,03/29/19 11:30:00 PM,12.13,16.08
432,03/29/19 11:45:00 PM,11.98,15.92
433,03/30/19 12:00:00 AM,11.82,15.82
434,03/30/19 12:15:00 AM,11.71,15.54
435,03/30/19 12:30:00 AM,11.50,15.28
436,03/30/19 12:45:00 AM,11.23,15.08
437,03/30/19 01:00:00 AM,11.02,14.94
438,03/30/19 01:15:00 AM,10.83,14.80
439,03/30/19 01:30:00 AM,10.66,14.58
440,03/30/19 01:45:00 AM,10.40,14.36
441,03/30/19 02:00:00 AM,10.18,14.22
442,03/30/19 02:15:00 AM,10.03,14.16
443,03/30/19 02:30:00 AM,9.97,14.12
444,03/30/19 02:45:00 AM,9.91,14.04
445,03/30/19 03:00:00 AM,9.83,13.90
446,03/30/19 03:15:00 AM,9.73,13.74
447,03/30/19 03:30:00 AM,9.61,13.58
448,03/30/19 03:45:00 AM,9.47,13.44
449,03/30/19 04:00:00 AM,9.39,13.32
450,03/30/19 04:15:00 AM,9.27,13.22
451,03/30/19 04:30:00 AM,9.14,13.10
452,03/30/19 04:45:00 AM,9.04,12.98
453,03/30/19 05:00:00 AM,8.94,12.86
454,03/30/19 05:15:00 AM,8.85,12.74
455,03/30/19 05:30:00 AM,8.77,12.60
456,03/30/19 05:45:00 AM,8.63,12.42
457,03/30/19 06:00:00 AM,8.46,12.26
458,03/30/19 06:15:00 AM,8.35,12.08
459,03/30/19 06:30:00 AM,8.38,12.10
460,03/30/19 06:45:00 AM,8.29,12.16
461,03/30/19 07:00:00 AM,8.30,12.14
462,03/30/19 07:15:00 AM,8.26,12.14
463,03/30/19 07:30:00 AM,8.31,12.08
464,03/30/19 07:45:00 AM,8.27,12.02
465,03/30/19 08:00:00 AM,8.23,11.98
466,03/30/19 08:15:00 AM,8.23,12.04
467,03/30/19 08:30:00 AM,8.40,12.06
468,03/30/19 08:45:00 AM,8.57,12.12
469,03/30/19 09:00:00 AM,8.75,12.26
470,03/30/19 09:15:00 AM,9.06,12.34
471,03/30/19 09:30:00 AM,9.15,12.52
472,03/30/19 09:45:00 AM,9.33,12.68
473,03/30/19 10:00:00 AM,9.46,12.94
474,03/30/19 10:15:00 AM,9.61,13.18
475,03/30/19 10:30:00 AM,9.67,13.44
476,03/30/19 10:45:00 AM,9.97,13.72
477,03/30/19 11:00:00 AM,10.09,14.00
478,03/30/19 11:15:00 AM,10.52,14.26
479,03/30/19 11:30:00 AM,10.69,14.54
480,03/30/19 11:45:00 AM,10.92,14.84
481,03/30/19 12:00:00 PM,11.11,15.12
482,03/30/19 12:15:00 PM,11.44,15.42
483,03/30/19 12:30:00 PM,11.66,15.68
484,03/30/19 12:45:00 PM,11.91,16.00
485,03/30/19 01:00:00 PM,12.10,16.30
486,03/30/19 01:15:00 PM,12.32,16.60
487,03/30/19 01:30:00 PM,12.36,16.90
488,03/30/19 01:45:00 PM,12.43,17.18
489,03/30/19 02:00:00 PM,12.90,17.46
490,03/30/19 02:15:00 PM,12.80,17.72
491,03/30/19 02:30:00 PM,12.97,17.94
492,03/30/19 02:45:00 PM,12.93,18.18
493,03/30/19 03:00:00 PM,13.01,18.40
494,03/30/19 03:15:00 PM,13.08,18.56
495,03/30/19 03:30:00 PM,13.13,18.72
496,03/30/19 03:45:00 PM,13.28,18.84
497,03/30/19 04:00:00 PM,13.33,18.96
498,03/30/19 04:15:00 PM,13.35,19.06
499,03/30/19 04:30:00 PM,13.38,19.18
500,03/30/19 04:45:00 PM,13.39,19.24
501,03/30/19 05:00:00 PM,13.32,19.30
502,03/30/19 05:15:00 PM,13.18,19.34
503,03/30/19 05:30:00 PM,12.83,19.36
504,03/30/19 05:45:00 PM,12.88,19.36
505,03/30/19 06:00:00 PM,12.82,19.34
506,03/30/19 06:15:00 PM,12.73,19.32
507,03/30/19 06:30:00 PM,12.66,19.28
508,03/30/19 06:45:00 PM,12.56,19.24
509,03/30/19 07:00:00 PM,12.50,19.14
510,03/30/19 07:15:00 PM,12.49,19.06
511,03/30/19 07:30:00 PM,12.39,18.98
512,03/30/19 07:45:00 PM,12.30,18.90
513,03/30/19 08:00:00 PM,12.24,18.84
514,03/30/19 08:15:00 PM,12.16,18.76
515,03/30/19 08:30:00 PM,12.13,18.66
516,03/30/19 08:45:00 PM,12.05,18.54
517,03/30/19 09:00:00 PM,12.12,18.42
518,03/30/19 09:15:00 PM,12.15,18.32
519,03/30/19 09:30:00 PM,12.11,18.22
520,03/30/19 09:45:00 PM,12.06,18.14
521,03/30/19 10:00:00 PM,12.04,18.06
522,03/30/19 10:15:00 PM,11.98,18.00
523,03/30/19 10:30:00 PM,11.95,17.90
524,03/30/19 10:45:00 PM,11.86,17.80
525,03/30/19 11:00:00 PM,11.85,17.70
526,03/30/19 11:15:00 PM,11.86,17.60
527,03/30/19 11:30:00 PM,11.84,17.50
528,03/30/19 11:45:00 PM,11.79,17.40
529,03/31/19 12:00:00 AM,11.71,17.30
530,03/31/19 12:15:00 AM,11.61,17.20
531,03/31/19 12:30:00 AM,11.57,17.10
532,03/31/19 12:45:00 AM,11.55,17.00
533,03/31/19 01:00:00 AM,11.35,16.88
534,03/31/19 01:15:00 AM,11.40,16.78
535,03/31/19 01:30:00 AM,11.47,16.68
536,03/31/19 01:45:00 AM,11.46,16.60
537,03/31/19 02:00:00 AM,11.38,16.50
538,03/31/19 02:15:00 AM,11.36,16.42
539,03/31/19 02:30:00 AM,11.33,16.34
540,03/31/19 02:45:00 AM,11.27,16.28
541,03/31/19 03:00:00 AM,11.18,16.22
542,03/31/19 03:15:00 AM,11.08,16.14
543,03/31/19 03:30:00 AM,11.03,16.08
544,03/31/19 03:45:00 AM,10.97,16.02
545,03/31/19 04:00:00 AM,10.91,15.96
546,03/31/19 04:15:00 AM,10.81,15.90
547,03/31/19 04:30:00 AM,10.57,15.84
548,03/31/19 04:45:00 AM,10.49,15.78
549,03/31/19 05:00:00 AM,10.36,15.72
550,03/31/19 05:15:00 AM,10.04,15.60
551,03/31/19 05:30:00 AM,9.61,15.46
552,03/31/19 05:45:00 AM,9.63,15.38
